stn;time;gre000m0;prestam0;sre000m0;tre200mx;hto000m0;nto000m0;rre150m0;tre200m0;tre200mn;ure200m0
ANT;186401;-;-;-;-;-;-;-;-11.0;-;-
ANT;186402;-;-;-;-;-;-;-;-5.3;-;-
ANT;186403;-;-;-;-;-;-;-;-1.3;-;-
ANT;186404;-;-;-;-;-;-;-;0.7;-;-
ANT;186405;-;-;-;-;-;-;-;6.5;-;-
ANT;186406;-;-;-;-;-;-;-;8.9;-;-
ANT;186407;-;-;-;-;-;-;-;11.6;-;-
ANT;186408;-;-;-;-;-;-;-;9.8;-;-
ANT;186409;-;-;-;-;-;-;-;7.5;-;-
ANT;186410;-;-;-;-;-;-;-;3.3;-;-
ANT;186411;-;-;-;-;-;-;-;-0.4;-;-
ANT;186412;-;-;-;-;-;-;-;-4.9;-;-
ANT;186501;-;-;-;-;-;-;-;-3.9;-;-
ANT;186502;-;-;-;-;-;-;-;-7.6;-;-
ANT;186503;-;-;-;-;-;-;-;-5.6;-;-
ANT;186504;-;-;-;-;-;-;-;5.2;-;-
ANT;186505;-;-;-;-;-;-;-;9.8;-;-
ANT;186506;-;-;-;-;-;-;-;9.9;-;-
ANT;186507;-;-;-;-;-;-;-;13.4;-;-
ANT;186508;-;-;-;-;-;-;-;10.7;-;-
ANT;186509;-;-;-;-;-;-;-;10.4;-;-
ANT;186510;-;-;-;-;-;-;-;4.7;-;-
ANT;186511;-;-;-;-;-;-;-;-0.2;-;-
ANT;186512;-;-;-;-;-;-;-;-5.5;-;-
ANT;186601;-;-;-;-;-;-;-;-3.2;-;-
ANT;186602;-;-;-;-;-;-;-;-0.7;-;-
ANT;186603;-;-;-;-;-;-;-;-0.9;-;-
ANT;186604;-;-;-;-;-;-;-;3.7;-;-
ANT;186605;-;-;-;-;-;-;-;4.9;-;-
ANT;186606;-;-;-;-;-;-;-;11.8;-;-
ANT;186607;-;-;-;-;-;-;-;11.7;-;-
ANT;186608;-;-;-;-;-;-;-;9.8;-;-
ANT;186609;-;-;-;-;-;-;-;9.5;-;-
ANT;186610;-;-;-;-;-;-;-;4.7;-;-
ANT;186611;-;-;-;-;-;-;-;-1.6;-;-
ANT;186612;-;-;-;-;-;-;-;-2.8;-;-
ANT;186701;-;-;-;-;-;-;-;-4.6;-;-
ANT;186702;-;-;-;-;-;-;-;-0.4;-;-
ANT;186703;-;-;-;-;-;-;-;0.6;-;-
ANT;186704;-;-;-;-;-;-;-;3.9;-;-
ANT;186705;-;-;-;-;-;-;-;7.2;-;-
ANT;186706;-;-;-;-;-;-;-;10.0;-;-
ANT;186707;-;-;-;-;-;-;-;10.7;-;-
ANT;186708;-;-;-;-;-;-;-;12.7;-;-
ANT;186709;-;-;-;-;-;-;-;9.7;-;-
ANT;186710;-;-;-;-;-;-;-;3.3;-;-
ANT;186711;-;-;-;-;-;-;-;-2.3;-;-
ANT;186712;-;-;-;-;-;-;-;-8.2;-;-
ANT;186801;-;-;-;-;-;-;-;-7.9;-;-
ANT;186802;-;-;-;-;-;-;-;-4.8;-;-
ANT;186803;-;-;-;-;-;-;-;-3.0;-;-
ANT;186804;-;-;-;-;-;-;-;2.2;-;-
ANT;186805;-;-;-;-;-;-;-;11.1;-;-
ANT;186806;-;-;-;-;-;-;-;11.1;-;-
ANT;186807;-;-;-;-;-;-;-;11.8;-;-
ANT;186808;-;-;-;-;-;-;-;12.0;-;-
ANT;186809;-;-;-;-;-;-;-;10.9;-;-
