stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
BAS;175501;-;-;-;-;-;-;-5.7;-;-;-
BAS;175502;-;-;-;-;-;-;-3.0;-;-;-
BAS;175503;-;-;-;-;-;-;3.4;-;-;-
BAS;175504;-;-;-;-;-;-;13.2;-;-;-
BAS;175505;-;-;-;-;-;-;10.5;-;-;-
BAS;175506;-;-;-;-;-;-;18.7;-;-;-
BAS;175507;-;-;-;-;-;-;18.0;-;-;-
BAS;175508;-;-;-;-;-;-;15.4;-;-;-
BAS;175509;-;-;-;-;-;-;12.8;-;-;-
BAS;175510;-;-;-;-;-;-;8.1;-;-;-
BAS;175511;-;-;-;-;-;-;4.7;-;-;-
BAS;175512;-;-;-;-;-;-;0.3;-;-;-
BAS;175601;-;-;-;-;-;-;2.0;-;-;-
BAS;175602;-;-;-;-;-;-;1.4;-;-;-
BAS;175603;-;-;-;-;-;-;3.9;-;-;-
BAS;175604;-;-;-;-;-;-;6.9;-;-;-
BAS;175605;-;-;-;-;-;-;11.1;-;-;-
BAS;175606;-;-;-;-;-;-;18.3;-;-;-
BAS;175607;-;-;-;-;-;-;18.0;-;-;-
BAS;175608;-;-;-;-;-;-;16.6;-;-;-
BAS;175609;-;-;-;-;-;-;14.6;-;-;-
BAS;175610;-;-;-;-;-;-;8.3;-;-;-
BAS;175611;-;-;-;-;-;-;1.5;-;-;-
BAS;175612;-;-;-;-;-;-;-2.8;-;-;-
BAS;175701;-;-;-;-;-;-;-2.8;-;-;-
BAS;175702;-;-;-;-;-;-;-0.4;-;-;-
BAS;175703;-;-;-;-;-;-;2.8;-;-;-
BAS;175704;-;-;-;-;-;-;9.5;-;-;-
BAS;175705;-;-;-;-;-;-;13.2;-;-;-
BAS;175706;-;-;-;-;-;-;17.3;-;-;-
BAS;175707;-;-;-;-;-;-;19.8;-;-;-
BAS;175708;-;-;-;-;-;-;16.8;-;-;-
