stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;tre200mn;tre200mx;sre000m0;ure200m0
BER;186401;-;-;65;956.6;24.6;-7.0;-16.8;8.0;-;93.0
BER;186402;-;-;58;945.7;28.9;-1.1;-15.8;12.4;-;87.9
BER;186403;-;-;59;941.3;62.3;4.6;-3.8;15.7;-;79.9
BER;186404;-;-;36;949.6;60.1;7.3;-5.2;23.1;-;69.6
BER;186405;-;-;50;947.6;74.7;12.8;0.3;23.8;-;73.0
BER;186406;-;-;70;950.3;159.3;14.3;4.7;27.3;-;79.2
BER;186407;-;-;45;950.7;47.3;17.8;7.0;30.3;-;74.4
BER;186408;-;-;34;951.8;59.8;15.7;3.0;30.8;-;71.6
BER;186409;-;-;49;952.1;54.4;12.6;2.9;28.0;-;84.1
BER;186410;-;-;59;944.4;29.7;6.2;-2.0;18.5;-;86.6
BER;186411;-;-;83;945.2;52.2;2.5;-3.2;12.0;-;89.6
BER;186412;-;-;80;-;5.6;-4.1;-10.0;2.1;-;95.0
BER;186501;-;-;77;-;81.6;-0.3;-10.0;11.6;-;89.1
BER;186502;-;-;75;-;54.3;-2.3;-15.5;8.5;-;86.1
BER;186503;-;-;75;-;57.0;-1.2;-11.1;7.0;-;84.3
BER;186504;-;-;31;-;16.9;12.3;-;26.4;-;67.9
BER;186505;-;-;50;-;75.9;15.1;1.7;28.2;-;73.4
BER;186506;-;-;32;-;20.2;16.3;5.5;29.0;-;62.2
BER;186507;-;-;41;-;85.8;19.1;7.6;33.7;-;68.5
BER;186508;-;-;72;-;167.1;15.8;6.0;29.5;-;81.5
BER;186509;-;-;11;-;0.7;15.8;5.0;28.2;-;75.0
BER;186510;-;-;64;-;91.6;9.2;1.0;20.5;-;83.3
BER;186511;-;-;72;-;73.7;3.5;-5.0;17.0;-;89.4
BER;186512;-;-;72;958.7;27.6;-2.5;-11.0;6.0;-;92.7
BER;186601;-;-;57;955.0;47.9;2.2;-4.1;9.9;-;86.2
BER;186602;-;-;71;947.4;118.2;3.8;-3.5;14.1;-;84.3
BER;186603;-;-;75;940.9;80.5;3.7;-5.5;14.5;-;85.0
BER;186604;-;-;55;949.3;102.8;9.5;-0.8;24.0;-;77.5
BER;186605;-;-;62;949.3;121.8;10.1;0.1;22.6;-;74.2
BER;186606;-;-;51;952.6;71.1;17.5;6.1;28.4;-;73.1
BER;186607;-;-;53;952.2;57.7;17.5;7.9;31.7;-;71.0
BER;186608;-;-;70;948.5;152.5;14.9;5.2;26.3;-;81.6
BER;186609;-;-;59;948.7;61.0;13.9;2.9;25.6;-;83.8
BER;186610;-;-;71;952.3;45.7;8.7;0.1;22.9;-;90.2
BER;186611;-;-;73;950.8;89.0;3.2;-7.0;15.3;-;86.0
BER;186612;-;-;71;955.1;87.4;1.4;-9.0;10.8;-;89.9
BER;186701;-;-;89;942.8;158.2;-1.8;-16.5;11.2;-;-
BER;186702;-;-;64;957.4;48.6;4.8;-4.4;14.5;-;86.1
BER;186703;-;-;83;942.5;131.4;3.9;-7.2;18.0;-;88.6
BER;186704;-;-;75;949.5;139.3;8.4;-2.7;19.4;-;75.4
BER;186705;-;-;55;949.1;85.8;13.1;-1.2;31.5;-;75.9
BER;186706;-;-;60;951.9;148.7;15.6;2.4;31.0;-;75.9
BER;186707;-;-;55;951.3;75.6;16.4;5.3;31.2;-;73.7
BER;186708;-;-;51;952.0;66.2;17.8;8.0;32.7;-;77.7
BER;186709;-;-;52;954.2;99.6;14.3;-0.9;28.7;-;81.2
BER;186710;-;-;80;950.7;145.0;6.5;-1.2;18.0;-;88.3
BER;186711;-;-;63;955.9;16.4;0.9;-10.0;16.3;-;85.5
BER;186712;-;-;87;947.6;86.0;-2.6;-11.8;10.9;-;89.5
BER;186801;-;-;81;948.8;36.0;-2.9;-14.9;9.8;-;80.4
BER;186802;-;-;53;957.6;11.0;2.1;-9.0;14.9;-;74.9
BER;186803;-;-;71;950.0;50.4;2.7;-6.7;13.9;-;77.6
BER;186804;-;-;73;948.8;90.9;7.5;-2.0;22.5;-;73.2
BER;186805;-;-;47;951.1;48.8;17.7;4.3;30.0;-;67.6
BER;186806;-;-;57;952.9;97.3;17.2;3.6;29.0;-;67.9
BER;186807;-;-;63;950.6;104.5;18.3;8.0;31.9;-;73.4
BER;186808;-;-;55;950.9;130.3;17.4;5.5;30.9;-;73.3
BER;186809;-;-;47;948.0;129.0;15.6;8.0;28.0;-;78.1
BER;186810;-;-;79;950.7;101.1;8.4;-2.3;17.7;-;87.3
BER;186811;-;-;81;948.9;39.8;0.3;-8.5;14.7;-;87.7
BER;186812;-;-;86;947.2;194.3;4.5;-2.9;15.0;-;84.8
BER;186901;-;-;68;955.6;31.7;-1.8;-16.3;8.5;-;84.6
BER;186902;-;-;68;955.3;46.2;4.3;-3.1;14.1;-;76.7
BER;186903;-;-;82;937.4;65.1;0.1;-10.9;8.8;-;80.3
BER;186904;-;-;54;949.8;19.4;10.1;-2.3;23.8;-;68.0
BER;186905;-;-;77;945.4;152.7;13.7;3.6;24.0;-;76.9
BER;186906;-;-;58;951.4;81.2;13.6;3.9;26.8;-;69.2
BER;186907;-;-;51;952.8;88.9;20.0;9.4;30.6;-;68.7
BER;186908;-;-;55;953.4;110.9;15.7;6.5;28.5;-;74.1
BER;186909;-;-;46;951.5;79.9;14.2;3.6;24.9;-;76.5
BER;186910;-;-;63;952.6;108.0;6.1;-11.9;21.2;-;79.4
BER;186911;-;-;81;950.2;110.6;3.6;-8.0;12.5;-;79.1
BER;186912;-;-;86;945.7;100.6;-2.2;-18.8;10.3;-;87.7
BER;187001;-;-;68;950.9;33.2;-2.2;-13.0;10.0;-;78.0
BER;187002;-;-;69;944.7;7.7;-2.2;-13.6;13.1;-;80.9
BER;187003;-;-;75;946.6;101.0;1.6;-10.5;14.8;-;77.2
BER;187004;-;-;45;953.8;51.0;8.3;-2.9;23.0;-;61.8
BER;187005;-;-;53;952.3;60.8;14.2;-1.2;28.5;-;65.7
BER;187006;-;-;52;953.1;50.9;17.3;7.1;28.9;-;54.4
BER;187007;-;-;50;950.7;105.7;19.6;8.8;33.5;-;63.1
BER;187008;-;-;72;947.9;107.1;15.2;4.6;27.4;-;75.0
BER;187009;-;-;55;954.6;132.0;12.2;2.1;23.1;-;-
BER;187010;-;-;73;948.4;296.7;8.2;-1.8;18.6;-;-
BER;187011;-;-;89;-;84.0;2.6;-3.2;11.1;-;-
BER;187012;-;-;85;-;75.0;-4.6;-16.3;10.5;-;-
BER;187101;-;-;81;943.9;47.0;-5.7;-14.1;3.7;-;87.1
BER;187102;-;-;61;955.0;46.0;0.8;-;-;-;79.0
BER;187103;-;-;56;952.0;47.0;3.6;-;-;-;75.7
BER;187104;-;-;79;947.4;110.0;9.1;-2.9;18.6;-;71.6
BER;187105;-;-;42;948.8;23.1;12.2;1.9;24.5;-;63.1
BER;187106;-;-;77;947.2;91.0;12.8;2.9;29.4;-;72.4
BER;187107;-;-;59;951.0;118.8;19.0;5.9;33.7;-;71.1
BER;187108;-;-;46;953.2;56.6;17.5;6.1;28.1;-;73.0
BER;187109;-;-;59;949.0;46.8;15.7;4.2;28.0;-;76.9
BER;187110;-;-;83;950.7;89.9;6.5;-1.1;16.5;-;85.2
BER;187111;-;-;90;945.2;28.5;-0.1;-9.0;6.3;-;85.1
BER;187112;-;-;77;953.3;8.4;-7.7;-19.8;3.9;-;86.1
BER;187201;-;-;80;945.4;47.5;-0.5;-12.1;6.3;-;90.7
BER;187202;-;-;60;950.0;54.7;0.5;-9.4;9.2;-;87.1
BER;187203;-;-;67;945.3;29.4;5.2;-3.5;21.1;-;79.0
BER;187204;-;-;65;946.0;67.1;9.0;-1.7;20.9;-;79.2
BER;187205;-;-;76;947.0;168.8;11.4;2.4;21.8;-;76.0
BER;187206;-;-;63;950.1;131.2;15.7;4.5;26.9;-;68.1
BER;187207;-;-;50;950.4;108.2;19.0;8.8;32.1;-;69.9
BER;187208;-;-;61;950.6;149.8;16.0;8.6;25.2;-;78.9
BER;187209;-;-;49;951.0;42.4;14.8;3.3;28.1;-;75.5
BER;187210;-;-;79;945.1;96.9;8.9;-1.2;19.0;-;85.7
BER;187211;-;-;72;947.2;70.4;5.7;-2.6;16.1;-;83.5
BER;187212;-;-;-;943.6;74.3;1.9;-3.6;11.6;-;86.1
BER;187301;-;-;72;949.1;30.8;0.4;-5.8;8.2;-;79.8
BER;187302;-;-;76;949.2;27.5;-0.3;-8.0;11.2;-;76.0
BER;187303;-;-;73;943.7;96.2;6.2;-2.0;17.0;-;76.1
BER;187304;-;-;74;944.9;102.5;6.9;-5.8;20.9;-;72.9
BER;187305;-;-;68;948.7;69.8;10.8;0.5;23.0;-;67.0
BER;187306;-;-;57;950.4;64.7;16.2;3.5;30.1;-;66.9
BER;187307;-;-;46;952.6;103.8;19.9;9.9;32.6;-;67.8
BER;187308;-;-;50;952.6;57.9;18.9;8.0;32.8;-;67.9
BER;187309;-;-;58;951.9;70.7;13.2;3.0;25.1;-;75.6
BER;187310;-;-;71;948.5;108.7;9.0;-2.0;22.8;-;80.5
BER;187311;-;-;75;947.8;58.8;3.6;-4.5;13.0;-;79.0
BER;187312;-;-;71;958.7;32.0;-1.9;-14.6;7.8;-;79.9
BER;187401;-;-;68;956.0;22.8;-1.2;-13.0;8.8;-;76.9
BER;187402;-;-;48;951.6;26.1;-0.4;-16.0;12.2;-;70.7
BER;187403;-;-;49;955.7;34.4;3.9;-11.0;17.2;-;64.3
BER;187404;-;-;57;946.2;94.1;10.0;-0.5;23.1;-;63.5
BER;187405;-;-;56;946.4;130.3;9.4;-1.8;28.1;-;64.4
BER;187406;-;-;56;952.3;127.0;16.7;-;29.8;-;62.9
BER;187407;-;-;48;951.8;122.2;20.4;10.2;31.8;-;63.8
BER;187408;-;-;48;952.2;63.5;15.7;6.0;26.0;-;65.8
BER;187409;-;-;44;953.2;39.9;15.2;5.0;28.3;-;69.4
BER;187410;-;-;53;952.2;47.5;8.8;-1.8;22.0;-;75.5
BER;187411;-;-;71;948.8;141.8;0.8;-10.4;10.8;-;84.4
BER;187412;-;-;77;941.9;140.6;-2.5;-16.1;6.6;-;76.1
BER;187501;-;-;74;954.6;127.1;1.3;-11.8;12.4;-;76.9
BER;187502;-;-;68;947.4;18.1;-2.9;-12.9;5.4;-;74.7
BER;187503;-;-;65;951.0;21.0;2.6;-7.1;17.0;-;70.0
BER;187504;-;-;34;949.3;48.8;8.4;-2.0;23.0;-;58.1
BER;187505;-;-;47;951.4;148.3;15.2;2.6;26.8;-;62.3
BER;187506;-;-;67;950.7;111.5;16.9;5.8;29.2;-;66.7
BER;187507;-;-;63;950.2;207.6;16.5;7.3;27.4;-;74.7
BER;187508;-;-;46;953.2;131.1;18.5;8.8;31.8;-;74.8
BER;187509;-;-;52;954.0;77.7;15.1;6.1;25.0;-;79.7
BER;187510;-;-;73;946.1;114.3;7.8;-2.3;20.8;-;84.6
BER;187511;-;-;87;945.3;194.4;3.3;-8.2;17.6;-;81.5
BER;187512;-;-;82;952.8;6.3;-3.3;-10.8;6.6;-;85.6
BER;187601;-;-;86;956.5;30.4;-2.7;-11.4;5.2;-;85.5
BER;187602;-;-;83;948.2;183.6;1.8;-11.4;15.5;-;79.1
BER;187603;-;-;79;941.1;303.2;4.1;-8.8;14.6;-;75.4
BER;187604;-;-;66;945.7;142.9;8.3;-3.0;17.4;-;74.4
BER;187605;-;-;67;947.9;89.0;10.0;1.8;23.4;-;69.6
BER;187606;-;-;62;947.9;216.4;16.1;7.9;25.9;-;72.6
BER;187607;-;-;44;953.0;55.4;19.1;12.8;27.7;-;67.7
BER;187608;-;-;53;950.7;104.3;18.4;10.6;28.4;-;72.3
BER;187609;-;-;64;949.1;176.2;12.9;5.0;24.0;-;78.0
BER;187610;-;-;60;949.5;6.4;11.1;0.2;21.2;-;82.3
BER;187611;-;-;71;948.2;81.2;3.2;-9.6;11.8;-;85.0
