stn;time;gre000m0;hto000m0;nto000m0;prestam0;tre200m0;tre200mn;ure200m0;rre150m0;sre000m0;tre200mx
CDF;190001;-;-;-;-;-;-;-;218.9;-;-
CDF;190002;-;-;-;-;-;-;-;137.0;-;-
CDF;190003;-;-;-;-;-;-;-;59.9;-;-
CDF;190004;-;-;-;-;-;-;-;83.3;-;-
CDF;190005;-;-;-;-;-;-;-;84.8;-;-
CDF;190006;-;-;-;-;-;-;-;73.4;-;-
CDF;190007;-;-;-;-;-;-;-;106.7;-;-
CDF;190008;-;-;-;-;-;-;-;155.9;-;-
CDF;190009;-;-;-;-;-;-;-;102.6;-;-
CDF;190010;-;-;-;-;-;-;-;88.1;-;-
CDF;190011;-;-;-;-;-;-;-;90.6;-;-
CDF;190012;-;-;-;-;-;-;-;150.1;-;-
CDF;190101;-;-;45;904.3;-2.6;-16.0;80.8;123.3;-;-
CDF;190102;-;-;59;898.8;-7.3;-25.6;78.3;63.1;-;-
CDF;190103;-;-;79;893.4;-0.4;-17.5;78.4;102.6;-;-
CDF;190104;-;-;68;901.2;5.6;-9.0;79.1;288.7;-;-
CDF;190105;-;-;46;903.0;10.0;0.0;70.3;42.3;-;-
CDF;190106;-;-;51;905.7;13.6;1.5;70.1;190.2;-;-
CDF;190107;-;-;52;904.7;15.7;5.5;68.0;125.9;-;-
CDF;190108;-;-;50;906.6;13.9;2.0;77.4;140.3;12564;-
CDF;190109;-;-;77;901.9;12.0;2.5;83.8;199.3;6570;-
CDF;190110;-;-;69;901.1;6.2;-2.0;83.9;142.9;5718;-
CDF;190111;-;-;58;905.1;-0.5;-10.0;79.8;49.7;5958;-
CDF;190112;-;-;80;894.7;-1.4;-12.5;86.4;138.3;2424;-
CDF;190201;-;-;63;907.3;-0.9;-9.0;84.1;100.7;5400;-
CDF;190202;-;-;74;894.6;-1.4;-12.5;83.2;97.7;3888;-
CDF;190203;-;-;59;899.5;2.1;-8.5;79.5;163.4;7721;-
CDF;190204;-;-;62;899.5;7.6;-3.5;79.3;106.6;7416;-
CDF;190205;-;-;76;901.2;5.5;-3.0;80.3;189.3;5550;-
CDF;190206;-;-;60;902.5;12.1;3.0;73.1;106.5;12246;-
CDF;190207;-;-;43;906.5;15.6;5.0;69.1;119.1;16223;-
CDF;190208;-;-;61;904.7;13.8;4.5;75.8;176.2;10770;-
CDF;190209;-;-;52;905.8;11.0;0.5;80.0;65.2;9642;-
CDF;190210;-;-;75;902.6;6.1;-2.0;84.9;151.4;4536;-
CDF;190211;-;-;64;899.8;2.0;-10.5;83.5;51.8;5892;-
CDF;190212;-;-;68;903.7;-1.9;-13.5;88.6;165.3;3288;-
CDF;190301;-;-;49;905.3;-1.6;-17.0;79.9;80.6;4062;-
CDF;190302;-;-;48;911.0;0.3;-13.5;72.4;53.6;6720;-
CDF;190303;-;-;58;903.8;2.9;-6.5;71.3;110.9;8388;-
CDF;190304;-;-;80;897.3;1.8;-8.5;80.9;124.7;4134;-
CDF;190305;-;-;50;900.7;9.9;-1.0;76.5;81.0;12390;-
CDF;190306;-;-;66;901.9;11.4;3.0;80.6;82.7;7734;-
CDF;190307;-;-;61;905.0;14.1;6.0;73.7;92.2;11304;-
CDF;190308;-;-;46;906.2;14.1;4.5;78.0;188.7;13710;-
CDF;190309;-;-;52;906.7;11.8;2.0;78.0;50.2;9174;-
CDF;190310;-;-;70;901.3;7.9;-1.5;79.1;197.0;6120;-
CDF;190311;-;-;70;903.1;1.6;-8.5;89.0;132.9;4230;-
CDF;190312;-;-;68;894.8;-2.6;-15.5;87.9;65.1;2382;-
CDF;190401;-;-;52;902.7;-3.7;-16.0;85.2;76.2;2892;-
CDF;190402;-;-;82;893.1;-1.1;-17.0;84.4;253.3;2466;-
CDF;190403;-;-;66;898.1;1.4;-9.5;80.0;85.4;5472;-
CDF;190404;-;-;71;902.5;6.9;-2.5;78.7;104.2;5982;-
CDF;190405;-;-;58;905.1;11.0;-1.0;75.2;196.4;11868;-
CDF;190406;-;-;52;905.3;14.0;3.5;74.6;112.5;12246;-
CDF;190407;-;-;34;907.4;17.9;7.0;67.2;34.2;17256;-
CDF;190408;-;-;47;906.9;15.0;4.5;72.4;118.9;15642;-
CDF;190409;-;-;59;904.5;9.6;-1.0;81.0;98.9;7644;-
CDF;190410;-;-;68;905.3;6.9;-2.5;86.2;59.5;6012;-
CDF;190411;-;-;56;903.9;1.1;-13.5;79.3;56.4;5466;-
CDF;190412;-;-;63;902.3;-1.1;-10.5;88.3;98.2;4590;-
CDF;190501;-;-;59;908.6;-4.9;-20.5;85.1;124.2;4848;-
CDF;190502;-;-;65;906.1;-2.3;-17.5;87.6;41.9;4962;-
CDF;190503;-;-;75;898.8;2.5;-8.0;81.3;152.0;5322;-
CDF;190504;-;-;75;898.5;5.4;-8.5;78.1;190.2;6696;-
CDF;190505;-;-;64;902.6;7.9;-0.5;78.6;101.5;9108;-
CDF;190506;-;-;53;903.0;13.7;3.5;75.1;94.3;11790;-
CDF;190507;-;-;35;907.3;17.6;6.0;70.2;59.0;18492;-
CDF;190508;-;-;57;904.9;14.5;5.0;80.9;265.5;11952;-
CDF;190509;-;-;71;904.0;11.2;2.5;85.1;151.2;6108;-
CDF;190510;-;-;71;902.1;1.5;-8.5;80.8;127.4;5172;-
CDF;190511;-;-;79;895.5;1.8;-7.0;82.3;156.9;3228;-
CDF;190512;-;-;40;908.3;-1.1;-8.5;82.5;70.7;6408;-
CDF;190601;-;-;67;905.2;-1.3;-18.0;82.1;127.0;4746;-
CDF;190602;-;-;81;896.0;-3.0;-17.0;82.7;150.5;3965;-
CDF;190603;-;-;61;900.5;-0.3;-15.5;77.5;134.3;8610;-
CDF;190604;-;-;67;902.4;4.9;-6.0;69.4;67.5;8184;-
CDF;190605;-;-;68;900.5;9.5;-1.0;72.5;174.1;9846;-
CDF;190606;-;-;52;906.0;12.3;1.5;72.8;80.1;13116;-
CDF;190607;-;-;55;906.3;15.5;3.0;73.0;108.3;11562;-
CDF;190608;-;-;38;908.1;15.6;2.0;63.3;33.9;16578;-
CDF;190609;-;-;37;908.2;10.8;1.0;68.0;43.1;13218;-
CDF;190610;-;-;47;903.2;9.0;-1.0;76.3;76.6;9108;-
CDF;190611;-;-;61;902.3;3.0;-8.0;81.5;169.5;5214;-
CDF;190612;-;-;70;898.5;-5.3;-23.0;87.8;185.2;2736;-
CDF;190701;-;-;69;909.0;-3.2;-20.0;83.6;135.1;3905;-
CDF;190702;-;-;61;899.5;-4.9;-23.0;85.5;86.7;4686;-
