stn;time;gre000m0;sre000m0;hto000m0;nto000m0;prestam0;tre200mn;ure200m0;rre150m0;tre200m0;tre200mx
CHD;187901;-;-;-;-;-;-;-;73.0;-4.6;-
CHD;187902;-;-;-;-;-;-;-;115.0;-1.9;-
CHD;187903;-;-;-;-;-;-;-;25.6;1.8;-
CHD;187904;-;-;-;-;-;-;-;103.2;3.7;-
CHD;187905;-;-;-;-;-;-;-;96.2;6.1;-
CHD;187906;-;-;-;-;-;-;-;128.4;13.4;-
CHD;187907;-;-;-;-;-;-;-;232.0;12.3;-
CHD;187908;-;-;-;-;-;-;-;125.4;16.1;-
CHD;187909;-;-;-;-;-;-;-;92.8;11.1;-
CHD;187910;-;-;-;-;-;-;-;100.2;4.9;-
CHD;187911;-;-;-;-;-;-;-;97.5;-1.6;-
CHD;187912;-;-;-;-;-;-;-;49.4;-7.9;-
CHD;188001;-;-;-;-;-;-;-;19.6;-7.3;-
CHD;188002;-;-;-;-;-;-;-;25.0;-0.6;-
CHD;188003;-;-;-;-;-;-;-;13.3;3.9;-
CHD;188004;-;-;-;-;-;-;-;72.0;6.3;-
CHD;188005;-;-;-;-;-;-;-;50.4;8.6;-
CHD;188006;-;-;-;-;-;-;-;133.6;11.3;-
CHD;188007;-;-;-;-;-;-;-;89.4;15.8;-
CHD;188008;-;-;-;-;-;-;-;160.6;13.4;-
CHD;188009;-;-;-;-;-;-;-;103.2;11.4;-
CHD;188010;-;-;-;-;-;-;-;244.0;7.8;-
CHD;188011;-;-;-;-;-;-;-;78.5;2.7;-
CHD;188012;-;-;-;-;-;-;-;126.9;1.4;-
CHD;188101;-;-;-;-;-;-;-;108.0;-6.1;-
CHD;188102;-;-;-;-;-;-;-;90.0;-0.4;-
CHD;188103;-;-;-;-;-;-;-;96.0;2.9;-
CHD;188104;-;-;-;-;-;-;-;99.2;5.3;-
CHD;188105;-;-;-;-;-;-;-;114.4;8.7;-
CHD;188106;-;-;-;-;-;-;-;138.5;12.0;-
CHD;188107;-;-;-;-;-;-;-;105.5;16.8;-
CHD;188108;-;-;-;-;-;-;-;201.5;14.5;-
CHD;188109;-;-;-;-;-;-;-;114.7;9.3;-
CHD;188110;-;-;-;-;-;-;-;83.9;3.1;-
CHD;188111;-;-;-;-;-;-;-;28.1;3.1;-
CHD;188112;-;-;-;-;-;-;-;56.8;-2.4;-
CHD;188201;-;-;-;-;-;-;-;20.6;-2.3;-
CHD;188202;-;-;-;-;-;-;-;33.0;-1.7;-
CHD;188203;-;-;-;-;-;-;-;53.5;3.0;-
CHD;188204;-;-;-;-;-;-;-;76.1;5.3;-
CHD;188205;-;-;-;-;-;-;-;120.6;9.7;-
CHD;188206;-;-;-;-;-;-;-;172.9;11.7;-
CHD;188207;-;-;-;-;-;-;-;126.0;13.2;-
CHD;188208;-;-;-;-;-;-;-;140.9;12.4;-
CHD;188209;-;-;-;-;-;-;-;212.9;9.4;-
CHD;188210;-;-;-;-;-;-;-;135.6;7.1;-
CHD;188211;-;-;-;-;-;-;-;203.1;2.2;-
CHD;188212;-;-;-;-;-;-;-;169.3;-1.2;-
CHD;188301;-;-;-;-;-;-;-;54.6;-1.7;-
CHD;188302;-;-;-;-;-;-;-;32.9;-0.7;-
CHD;188303;-;-;-;-;-;-;-;68.0;-2.0;-
CHD;188304;-;-;-;-;-;-;-;17.9;4.3;-
CHD;188305;-;-;-;-;-;-;-;79.7;9.3;-
CHD;188306;-;-;-;-;-;-;-;118.7;11.7;-
CHD;188307;-;-;-;-;-;-;-;206.0;13.0;-
CHD;188308;-;-;-;-;-;-;-;79.9;13.4;-
CHD;188309;-;-;-;-;-;-;-;145.6;9.9;-
CHD;188310;-;-;-;-;-;-;-;161.3;5.2;-
CHD;188311;-;-;-;-;-;-;-;95.3;1.4;-
CHD;188312;-;-;-;-;-;-;-;88.7;-4.1;-
CHD;188401;-;-;-;-;-;-;-;47.1;-0.9;-
CHD;188402;-;-;-;-;-;-;-;55.5;0.4;-
CHD;188403;-;-;-;-;-;-;-;8.9;3.1;-
CHD;188404;-;-;-;-;-;-;-;49.5;4.9;-
CHD;188405;-;-;-;-;-;-;-;103.4;10.8;-
CHD;188406;-;-;-;-;-;-;-;95.8;10.3;-
CHD;188407;-;-;-;-;-;-;-;167.6;15.2;-
CHD;188408;-;-;-;-;-;-;-;107.8;14.6;-
CHD;188409;-;-;-;-;-;-;-;135.0;11.4;-
CHD;188410;-;-;-;-;-;-;-;62.3;5.2;-
CHD;188411;-;-;-;-;-;-;-;26.1;-1.0;-
CHD;188412;-;-;-;-;-;-;-;112.7;-1.2;-
CHD;188501;-;-;-;-;-;-;-;12.9;-7.0;-
CHD;188502;-;-;-;-;-;-;-;119.3;1.6;-
CHD;188503;-;-;-;-;-;-;-;65.2;2.2;-
CHD;188504;-;-;-;-;-;-;-;58.5;6.1;-
CHD;188505;-;-;-;-;-;-;-;144.3;7.5;-
CHD;188506;-;-;-;-;-;-;-;86.4;14.6;-
CHD;188507;-;-;-;-;-;-;-;72.3;16.1;-
CHD;188508;-;-;-;-;-;-;-;111.0;14.0;-
CHD;188509;-;-;-;-;-;-;-;209.9;10.4;-
CHD;188510;-;-;-;-;-;-;-;201.3;4.7;-
CHD;188511;-;-;-;-;-;-;-;71.9;2.6;-
CHD;188512;-;-;-;-;-;-;-;74.1;-3.3;-
CHD;188601;-;-;-;-;-;-;-;57.0;-4.3;-
CHD;188602;-;-;-;-;-;-;-;46.4;-4.5;-
CHD;188603;-;-;-;-;-;-;-;82.7;0.3;-
CHD;188604;-;-;-;-;-;-;-;73.1;6.9;-
CHD;188605;-;-;-;-;-;-;-;36.9;10.2;-
CHD;188606;-;-;-;-;-;-;-;129.7;11.4;-
CHD;188607;-;-;-;-;-;-;-;140.0;15.5;-
CHD;188608;-;-;-;-;-;-;-;134.0;14.2;-
CHD;188609;-;-;-;-;-;-;-;58.8;13.0;-
CHD;188610;-;-;-;-;-;-;-;138.0;7.6;-
CHD;188611;-;-;-;-;-;-;-;69.7;2.2;-
CHD;188612;-;-;-;-;-;-;-;158.8;-1.7;-
CHD;188701;-;-;-;-;-;-;-;21.7;-6.4;-
CHD;188702;-;-;-;-;-;-;-;5.9;-4.1;-
CHD;188703;-;-;-;-;-;-;-;134.3;-0.3;-
CHD;188704;-;-;-;-;-;-;-;35.0;5.7;-
