stn;time;gre000m0;hto000m0;nto000m0;prestam0;ure200m0;rre150m0;tre200m0;sre000m0;tre200mn;tre200mx
CHM;186401;-;-;-;888.8;-;21.5;-3.8;-;-;-
CHM;186402;-;-;-;879.5;-;38.4;-2.6;-;-;-
CHM;186403;-;-;-;876.4;-;69.1;1.9;-;-;-
CHM;186404;-;-;-;884.8;-;47.8;4.3;-;-;-
CHM;186405;-;-;-;884.2;-;89.5;9.3;-;-;-
CHM;186406;-;-;-;887.1;-;192.5;10.7;-;-;-
CHM;186407;-;-;-;888.4;-;47.3;14.0;-;-;-
CHM;186408;-;-;-;889.0;-;60.2;12.6;-;-;-
CHM;186409;-;-;-;888.6;-;97.7;10.0;-;-;-
CHM;186410;-;-;-;880.0;-;63.1;4.4;-;-;-
CHM;186411;-;-;-;879.8;-;59.0;0.2;-;-;-
CHM;186412;-;-;-;882.5;-;10.2;-1.9;-;-;-
CHM;186501;-;-;-;874.8;-;77.0;-1.5;-;-;-
CHM;186502;-;-;-;879.0;-;61.8;-5.0;-;-;-
CHM;186503;-;-;-;875.1;-;40.6;-5.1;-;-;-
CHM;186504;-;-;-;888.9;-;14.0;10.2;-;-;-
CHM;186505;-;-;-;887.5;-;84.3;12.1;-;-;-
CHM;186506;-;-;-;889.8;-;53.8;12.4;-;-;-
CHM;186507;-;-;-;889.1;-;90.2;15.7;-;-;-
CHM;186508;-;-;-;886.7;-;162.4;12.4;-;-;-
CHM;186509;-;-;-;894.3;-;1.9;14.5;-;-;-
CHM;186510;-;-;-;879.3;-;190.0;6.7;-;-;-
CHM;186511;-;-;-;883.9;-;68.8;2.3;-;-;-
CHM;186512;-;-;-;890.4;-;11.6;-1.1;-;-;-
CHM;186601;-;-;-;-;-;47.8;0.6;-;-;-
CHM;186602;-;-;-;-;-;101.7;0.8;-;-;-
CHM;186603;-;-;-;-;-;105.1;-0.1;-;-;-
CHM;186604;-;-;-;-;-;85.1;5.8;-;-;-
CHM;186605;-;-;-;-;-;165.7;6.0;-;-;-
CHM;186606;-;-;-;-;-;43.9;13.9;-;-;-
CHM;186607;-;-;-;-;-;91.5;13.6;-;-;-
CHM;186608;-;-;-;-;-;173.5;11.3;-;-;-
CHM;186609;-;-;-;-;-;97.0;11.2;-;-;-
CHM;186610;-;-;-;-;-;66.0;7.2;-;-;-
CHM;186611;-;-;-;-;-;74.5;0.8;-;-;-
CHM;186612;-;-;-;-;-;73.3;2.0;-;-;-
