stn;time;gre000m0;prestam0;sre000m0;hto000m0;nto000m0;rre150m0;tre200m0;tre200mn;tre200mx;ure200m0
ELM;187802;-;-;-;-;-;20.8;0.3;-;-;-
ELM;187803;-;-;-;-;-;126.3;0.5;-;-;-
ELM;187804;-;-;-;-;-;101.3;6.6;-;-;-
ELM;187805;-;-;-;-;-;99.9;12.1;-;-;-
ELM;187806;-;-;-;-;-;151.9;14.0;-;-;-
ELM;187807;-;-;-;-;-;201.2;14.7;-;-;-
ELM;187808;-;-;-;-;-;186.4;15.1;-;-;-
ELM;187809;-;-;-;-;-;102.7;11.2;-;-;-
ELM;187810;-;-;-;-;-;136.3;8.8;-;-;-
ELM;187811;-;-;-;-;-;153.4;1.1;-;-;-
ELM;187812;-;-;-;-;-;82.1;-3.4;-;-;-
ELM;187901;-;-;-;-;-;62.1;-1.6;-;-;-
ELM;187902;-;-;-;-;-;114.1;0.4;-;-;-
ELM;187903;-;-;-;-;-;43.7;3.1;-;-;-
ELM;187904;-;-;-;-;-;141.4;4.8;-;-;-
ELM;187905;-;-;-;-;-;171.1;7.1;-;-;-
ELM;187906;-;-;-;-;-;151.3;14.4;-;-;-
ELM;187907;-;-;-;-;-;225.4;12.7;-;-;-
ELM;187908;-;-;-;-;-;167.4;16.5;-;-;-
ELM;187909;-;-;-;-;-;126.2;12.2;-;-;-
ELM;187910;-;-;-;-;-;99.3;5.4;-;-;-
ELM;187911;-;-;-;-;-;215.8;-1.0;-;-;-
ELM;187912;-;-;-;-;-;30.3;-6.5;-;-;-
ELM;188001;-;-;-;-;-;41.6;-5.9;-;-;-
ELM;188002;-;-;-;-;-;55.2;1.2;-;-;-
ELM;188003;-;-;-;-;-;81.5;4.8;-;-;-
ELM;188004;-;-;-;-;-;127.2;7.3;-;-;-
ELM;188005;-;-;-;-;-;85.4;9.4;-;-;-
ELM;188006;-;-;-;-;-;241.0;12.5;-;-;-
ELM;188007;-;-;-;-;-;143.3;16.6;-;-;-
ELM;188008;-;-;-;-;-;177.0;13.6;-;-;-
ELM;188009;-;-;-;-;-;139.2;11.9;-;-;-
ELM;188010;-;-;-;-;-;224.2;8.0;-;-;-
ELM;188011;-;-;-;-;-;81.8;2.6;-;-;-
ELM;188012;-;-;-;-;-;174.3;1.9;-;-;-
ELM;188101;-;-;-;-;-;32.5;-4.5;-;-;-
ELM;188102;-;-;-;-;-;79.2;0.8;-;-;-
ELM;188103;-;-;-;-;-;100.8;3.6;-;-;-
ELM;188104;-;-;-;-;-;107.0;6.0;-;-;-
ELM;188105;-;-;-;-;-;52.5;10.0;-;-;-
ELM;188106;-;-;-;-;-;137.2;13.2;-;-;-
ELM;188107;-;-;-;-;-;119.0;18.0;-;-;-
ELM;188108;-;-;-;-;-;223.5;15.2;-;-;-
ELM;188109;-;-;-;-;-;240.0;10.3;-;-;-
ELM;188110;-;-;-;-;-;120.0;3.6;-;-;-
ELM;188111;-;-;-;-;-;25.0;3.8;-;-;-
ELM;188112;-;-;-;-;-;56.8;-1.5;-;-;-
ELM;188201;-;-;-;-;-;19.4;-1.1;-;-;-
ELM;188202;-;-;-;-;-;32.4;-1.4;-;-;-
ELM;188203;-;-;-;-;-;69.0;4.2;-;-;-
ELM;188204;-;-;-;-;-;71.0;6.3;-;-;-
ELM;188205;-;-;-;-;-;109.9;11.2;-;-;-
ELM;188206;-;-;-;-;-;180.6;12.1;-;-;-
ELM;188207;-;-;-;-;-;169.3;13.6;-;-;-
ELM;188208;-;-;-;-;-;224.0;12.3;-;-;-
ELM;188209;-;-;-;-;-;285.6;9.8;-;-;-
ELM;188210;-;-;-;-;-;224.8;7.7;-;-;-
ELM;188211;-;-;-;-;-;149.2;1.8;-;-;-
ELM;188212;-;-;-;-;-;255.6;0.1;-;-;-
ELM;188301;-;-;-;-;-;72.9;-1.0;-;-;-
ELM;188302;-;-;-;-;-;29.3;0.5;-;-;-
ELM;188303;-;-;-;-;-;109.3;-2.1;-;-;-
ELM;188304;-;-;-;-;-;53.4;5.2;-;-;-
ELM;188305;-;-;-;-;-;127.2;10.5;-;-;-
ELM;188306;-;-;-;-;-;206.4;12.9;-;-;-
ELM;188307;-;-;-;-;-;223.7;13.6;-;-;-
ELM;188308;-;-;-;-;-;104.9;13.8;-;-;-
ELM;188309;-;-;-;-;-;174.0;10.9;-;-;-
ELM;188310;-;-;-;-;-;121.8;5.4;-;-;-
ELM;188311;-;-;-;-;-;71.0;1.1;-;-;-
ELM;188312;-;-;-;-;-;182.5;-3.6;-;-;-
ELM;188401;-;-;-;-;-;128.2;-0.9;-;-;-
ELM;188402;-;-;-;-;-;44.3;0.3;-;-;-
ELM;188403;-;-;-;-;-;27.3;2.8;-;-;-
ELM;188404;-;-;-;-;-;52.8;5.5;-;-;-
ELM;188405;-;-;-;-;-;77.5;11.7;-;-;-
ELM;188406;-;-;-;-;-;184.8;10.1;-;-;-
ELM;188407;-;-;-;-;-;227.6;15.6;-;-;-
ELM;188408;-;-;-;-;-;161.8;14.9;-;-;-
ELM;188409;-;-;-;-;-;90.7;11.8;-;-;-
ELM;188410;-;-;-;-;-;77.0;5.0;-;-;-
ELM;188411;-;-;-;-;-;38.8;-0.9;-;-;-
ELM;188412;-;-;-;-;-;122.3;-1.5;-;-;-
ELM;188501;-;-;-;-;-;6.2;-5.7;-;-;-
ELM;188502;-;-;-;-;-;83.9;2.4;-;-;-
ELM;188503;-;-;-;-;-;56.5;1.8;-;-;-
ELM;188504;-;-;-;-;-;57.9;7.4;-;-;-
ELM;188505;-;-;-;-;-;139.0;8.2;-;-;-
ELM;188506;-;-;-;-;-;73.9;15.0;-;-;-
ELM;188507;-;-;-;-;-;173.2;15.7;-;-;-
ELM;188508;-;-;-;-;-;173.9;13.5;-;-;-
ELM;188509;-;-;-;-;-;297.0;10.6;-;-;-
ELM;188510;-;-;-;-;-;236.4;4.8;-;-;-
ELM;188511;-;-;-;-;-;120.9;2.3;-;-;-
ELM;188512;-;-;-;-;-;79.7;-3.0;-;-;-
ELM;188601;-;-;-;-;-;59.6;-3.8;-;-;-
ELM;188602;-;-;-;-;-;58.2;-5.1;-;-;-
ELM;188603;-;-;-;-;-;34.5;-0.2;-;-;-
ELM;188604;-;-;-;-;-;85.0;7.9;-;-;-
ELM;188605;-;-;-;-;-;139.4;10.6;-;-;-
ELM;188606;-;-;-;-;-;183.1;11.3;-;-;-
ELM;188607;-;-;-;-;-;216.0;15.1;-;-;-
ELM;188608;-;-;-;-;-;161.1;14.3;-;-;-
ELM;188609;-;-;-;-;-;46.7;13.2;-;-;-
ELM;188610;-;-;-;-;-;99.4;9.1;-;-;-
ELM;188611;-;-;-;-;-;151.7;1.4;-;-;-
ELM;188612;-;-;-;-;-;192.2;-1.2;-;-;-
ELM;188701;-;-;-;-;-;23.1;-5.9;-;-;-
ELM;188702;-;-;-;-;-;13.0;-3.6;-;-;-
ELM;188703;-;-;-;-;-;112.7;-0.3;-;-;-
ELM;188704;-;-;-;-;-;48.2;5.6;-;-;-
ELM;188705;-;-;-;-;-;155.7;7.9;-;-;-
ELM;188706;-;-;-;-;-;73.8;14.5;-;-;-
ELM;188707;-;-;-;-;-;148.6;16.9;-;-;-
ELM;188708;-;-;-;-;-;180.3;14.3;-;-;-
ELM;188709;-;-;-;-;-;96.0;10.3;-;-;-
ELM;188710;-;-;-;-;-;95.3;2.3;-;-;-
ELM;188711;-;-;-;-;-;50.6;2.4;-;-;-
ELM;188712;-;-;-;-;-;171.6;-3.9;-;-;-
ELM;188801;-;-;-;-;-;109.8;-5.2;-;-;-
ELM;188802;-;-;-;-;-;143.8;-2.8;-;-;-
ELM;188803;-;-;-;-;-;157.5;0.2;-;-;-
ELM;188804;-;-;-;-;-;142.1;3.9;-;-;-
ELM;188805;-;-;-;-;-;69.2;11.6;-;-;-
ELM;188806;-;-;-;-;-;132.5;13.7;-;-;-
ELM;188807;-;-;-;-;-;282.1;12.8;-;-;-
ELM;188808;-;-;-;-;-;215.0;13.0;-;-;-
ELM;188809;-;-;-;-;-;243.2;11.8;-;-;-
ELM;188810;-;-;-;-;-;161.9;3.6;-;-;-
ELM;188811;-;-;-;-;-;57.2;2.9;-;-;-
ELM;188812;-;-;-;-;-;9.4;0.5;-;-;-
ELM;188901;-;-;-;-;-;33.3;-4.4;-;-;-
ELM;188902;-;-;-;-;-;276.3;-4.2;-;-;-
ELM;188903;-;-;-;-;-;60.8;-1.1;-;-;-
ELM;188904;-;-;-;-;-;82.6;4.5;-;-;-
ELM;188905;-;-;-;-;-;106.9;12.3;-;-;-
ELM;188906;-;-;-;-;-;200.4;14.8;-;-;-
ELM;188907;-;-;-;-;-;186.2;14.5;-;-;-
ELM;188908;-;-;-;-;-;181.4;13.5;-;-;-
ELM;188909;-;-;-;-;-;111.1;9.3;-;-;-
ELM;188910;-;-;-;-;-;297.2;6.7;-;-;-
ELM;188911;-;-;-;-;-;50.9;1.5;-;-;-
ELM;188912;-;-;-;-;-;33.3;-6.1;-;-;-
ELM;189001;-;-;-;-;-;80.8;1.1;-;-;-
ELM;189002;-;-;-;-;-;1.8;-4.6;-;-;-
ELM;189003;-;-;-;-;-;55.6;1.5;-;-;-
ELM;189004;-;-;-;-;-;99.9;5.4;-;-;-
ELM;189005;-;-;-;-;-;78.7;11.7;-;-;-
ELM;189006;-;-;-;-;-;295.5;11.9;-;-;-
ELM;189007;-;-;-;-;-;234.1;13.1;-;-;-
ELM;189008;-;-;-;-;-;610.9;13.5;-;-;-
ELM;189009;-;-;-;-;-;61.0;10.6;-;-;-
ELM;189010;-;-;-;-;-;177.3;4.5;-;-;-
ELM;189011;-;-;-;-;-;110.9;0.1;-;-;-
ELM;189012;-;-;-;-;-;9.9;-6.8;-;-;-
ELM;189101;-;-;-;-;-;96.6;-8.9;-;-;-
ELM;189102;-;-;-;-;-;21.7;-4.4;-;-;-
ELM;189103;-;-;-;-;-;149.8;1.6;-;-;-
ELM;189104;-;-;-;-;-;90.3;3.3;-;-;-
ELM;189105;-;-;-;-;-;99.1;10.5;-;-;-
ELM;189106;-;-;-;-;-;152.1;13.6;-;-;-
ELM;189107;-;-;-;-;-;366.3;13.5;-;-;-
ELM;189108;-;-;-;-;-;188.3;13.1;-;-;-
ELM;189109;-;-;-;-;-;152.6;11.7;-;-;-
ELM;189110;-;-;-;-;-;132.8;8.6;-;-;-
ELM;189111;-;-;-;-;-;91.5;1.0;-;-;-
ELM;189112;-;-;-;-;-;229.9;-1.3;-;-;-
ELM;189201;-;-;-;-;-;101.9;-2.7;-;-;-
ELM;189202;-;-;-;-;-;173.1;0.2;-;-;-
ELM;189203;-;-;-;-;-;66.5;-1.1;-;-;-
ELM;189204;-;-;-;-;-;94.6;5.7;-;-;-
ELM;189205;-;-;-;-;-;53.5;10.7;-;-;-
ELM;189206;-;-;-;-;-;267.4;13.3;-;-;-
ELM;189207;-;-;-;-;-;221.6;14.4;-;-;-
ELM;189208;-;-;-;-;-;98.4;16.0;-;-;-
ELM;189209;-;-;-;-;-;218.0;11.9;-;-;-
ELM;189210;-;-;-;-;-;160.1;7.1;-;-;-
ELM;189211;-;-;-;-;-;34.3;3.6;-;-;-
ELM;189212;-;-;-;-;-;59.7;-4.2;-;-;-
ELM;189301;-;-;-;-;-;146.1;-8.1;-;-;-
ELM;189302;-;-;-;-;-;129.6;-0.1;-;-;-
ELM;189303;-;-;-;-;-;50.0;2.4;-;-;-
ELM;189304;-;-;-;-;-;10.8;8.8;-;-;-
ELM;189305;-;-;-;-;-;106.8;10.1;-;-;-
ELM;189306;-;-;-;-;-;186.2;13.6;-;-;-
ELM;189307;-;-;-;-;-;264.5;15.0;-;-;-
ELM;189308;-;-;-;-;-;64.5;15.4;-;-;-
ELM;189309;-;-;-;-;-;195.7;11.5;-;-;-
ELM;189310;-;-;-;-;-;93.6;8.8;-;-;-
ELM;189311;-;-;-;-;-;107.0;0.2;-;-;-
ELM;189312;-;-;-;-;-;35.9;-2.7;-;-;-
ELM;189401;-;-;-;-;-;24.0;-2.9;-;-;-
ELM;189402;-;-;-;-;-;130.8;-1.6;-;-;-
ELM;189403;-;-;-;-;-;97.1;1.8;-;-;-
ELM;189404;-;-;-;-;-;89.7;7.9;-;-;-
ELM;189405;-;-;-;-;-;136.1;9.7;-;-;-
ELM;189406;-;-;-;-;-;132.5;12.7;-;-;-
ELM;189407;-;-;-;-;-;278.9;15.7;-;-;-
ELM;189408;-;-;-;-;-;192.3;14.0;-;-;-
ELM;189409;-;-;-;-;-;180.0;9.7;-;-;-
ELM;189410;-;-;-;-;-;91.2;6.8;-;-;-
ELM;189411;-;-;-;-;-;42.7;2.8;-;-;-
ELM;189412;-;-;-;-;-;81.5;-4.0;-;-;-
ELM;189501;-;-;-;-;-;101.3;-7.2;-;-;-
ELM;189502;-;-;-;-;-;27.6;-8.7;-;-;-
ELM;189503;-;-;-;-;-;120.6;0.4;-;-;-
ELM;189504;-;-;-;-;-;83.1;6.8;-;-;-
ELM;189505;-;-;-;-;-;164.7;10.1;-;-;-
ELM;189506;-;-;-;-;-;93.3;13.5;-;-;-
ELM;189507;-;-;-;-;-;121.3;16.1;-;-;-
ELM;189508;-;-;-;-;-;147.7;14.0;-;-;-
ELM;189509;-;-;-;-;-;14.1;14.3;-;-;-
ELM;189510;-;-;-;-;-;129.5;6.4;-;-;-
ELM;189511;-;-;-;-;-;45.3;5.0;-;-;-
ELM;189512;-;-;-;-;-;200.6;-1.5;-;-;-
ELM;189601;-;-;-;-;-;49.4;-5.5;-;-;-
ELM;189602;-;-;-;-;-;47.5;-2.4;-;-;-
ELM;189603;-;-;-;-;-;283.3;3.2;-;-;-
ELM;189604;-;-;-;-;-;212.6;3.0;-;-;-
ELM;189605;-;-;-;-;-;137.4;8.4;-;-;-
ELM;189606;-;-;-;-;-;123.1;13.7;-;-;-
ELM;189607;-;-;-;-;-;149.1;15.4;-;-;-
ELM;189608;-;-;-;-;-;185.4;11.9;-;-;-
ELM;189609;-;-;-;-;-;241.2;10.4;-;-;-
ELM;189610;-;-;-;-;-;238.4;5.9;-;-;-
ELM;189611;-;-;-;-;-;66.8;-0.8;-;-;-
ELM;189612;-;-;-;-;-;55.1;-1.2;-;-;-
ELM;189701;-;-;-;-;-;52.5;-2.3;-;-;-
ELM;189702;-;-;-;-;-;216.2;1.7;-;-;-
ELM;189703;-;-;-;-;-;138.6;3.9;-;-;-
ELM;189704;-;-;-;-;-;108.2;6.1;-;-;-
ELM;189705;-;-;-;-;-;115.1;8.4;-;-;-
ELM;189706;-;-;-;-;-;130.4;14.9;-;-;-
ELM;189707;-;-;-;-;-;157.0;15.5;-;-;-
ELM;189708;-;-;-;-;-;244.4;14.6;-;-;-
ELM;189709;-;-;-;-;-;304.7;10.1;-;-;-
ELM;189710;-;-;-;-;-;34.1;5.6;-;-;-
ELM;189711;-;-;-;-;-;25.4;2.1;-;-;-
ELM;189712;-;-;-;-;-;46.2;-2.2;-;-;-
ELM;189801;-;-;-;-;-;10.2;0.9;-;-;-
ELM;189802;-;-;-;-;-;200.0;-1.7;-;-;-
ELM;189803;-;-;-;-;-;67.4;1.0;-;-;-
ELM;189804;-;-;-;-;-;105.3;6.2;-;-;-
ELM;189805;-;-;-;-;-;200.4;9.7;-;-;-
ELM;189806;-;-;-;-;-;214.8;12.3;-;-;-
ELM;189807;-;-;-;-;-;175.6;13.8;-;-;-
ELM;189808;-;-;-;-;-;151.2;16.0;-;-;-
ELM;189809;-;-;-;-;-;49.7;12.6;-;-;-
ELM;189810;-;-;-;-;-;128.7;8.8;-;-;-
ELM;189811;-;-;-;-;-;138.6;5.0;-;-;-
ELM;189812;-;-;-;-;-;66.1;-1.8;-;-;-
ELM;189901;-;-;-;-;-;224.5;0.0;-;-;-
ELM;189902;-;-;-;-;-;11.6;0.8;-;-;-
ELM;189903;-;-;-;-;-;70.8;2.5;-;-;-
