stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;sre000m0;tre200mn;tre200mx;ure200m0
ENG;186401;-;-;-;903.4;49.2;-6.7;-;-;-;-
ENG;186402;-;-;-;893.7;71.1;-3.4;-;-;-;-
ENG;186403;-;-;-;890.6;64.2;1.8;-;-;-;-
ENG;186404;-;-;-;898.9;165.8;3.9;-;-;-;-
ENG;186405;-;-;-;897.7;251.1;9.7;-;-;-;-
ENG;186406;-;-;-;900.4;268.2;11.8;-;-;-;-
ENG;186407;-;-;-;901.5;260.3;13.9;-;-;-;-
ENG;186408;-;-;-;902.3;133.5;12.6;-;-;-;-
ENG;186409;-;-;-;902.0;132.2;10.2;-;-;-;-
ENG;186410;-;-;-;893.9;89.6;5.3;-;-;-;-
ENG;186411;-;-;-;893.9;81.6;0.4;-;-;-;-
ENG;186412;-;-;-;897.0;3.7;-4.4;-;-;-;-
ENG;186501;-;-;-;889.0;83.8;-1.5;-;-;-;-
ENG;186502;-;-;-;893.2;81.8;-4.6;-;-;-;-
ENG;186503;-;-;-;889.5;111.2;-4.3;-;-;-;-
ENG;186504;-;-;-;902.8;2.6;8.3;-;-;-;-
ENG;186505;-;-;-;901.1;121.8;12.6;-;-;-;-
ENG;186506;-;-;-;903.4;152.2;12.8;-;-;-;-
ENG;186507;-;-;-;902.4;274.2;16.0;-;-;-;-
ENG;186508;-;-;-;900.2;288.1;13.0;-;-;-;-
ENG;186509;-;-;-;907.9;4.0;12.8;-;-;-;-
ENG;186510;-;-;-;893.0;145.6;7.1;-;-;-;-
ENG;186511;-;-;-;898.3;78.2;2.6;-;-;-;-
ENG;186512;-;-;-;905.0;17.8;-2.8;-;-;-;-
ENG;186601;-;-;-;901.6;65.8;-0.3;-;-;-;-
ENG;186602;-;-;-;895.1;139.7;1.0;-;-;-;-
ENG;186603;-;-;-;888.9;109.4;1.1;-;-;-;-
ENG;186604;-;-;-;897.6;134.3;6.5;-;-;-;-
ENG;186605;-;-;-;897.5;165.6;7.3;-;-;-;-
ENG;186606;-;-;-;901.0;113.2;14.2;-;-;-;-
ENG;186607;-;-;-;900.3;219.0;14.4;-;-;-;-
ENG;186608;-;-;-;898.8;369.7;12.1;-;-;-;-
ENG;186609;-;-;-;899.0;181.2;11.7;-;-;-;-
ENG;186610;-;-;-;901.6;26.2;6.6;-;-;-;-
ENG;186611;-;-;-;898.7;209.2;1.0;-;-;-;-
ENG;186612;-;-;-;901.7;118.7;0.5;-;-;-;-
ENG;186701;-;-;-;890.0;189.7;-2.7;-;-;-;-
ENG;186702;-;-;-;904.8;98.0;2.7;-;-;-;-
ENG;186703;-;-;-;890.3;153.5;1.6;-;-;-;-
ENG;186704;-;-;-;897.5;249.8;6.1;-;-;-;-
ENG;186705;-;-;-;898.1;179.5;10.2;-;-;-;-
ENG;186706;-;-;-;901.5;218.6;13.2;-;-;-;-
ENG;186707;-;-;-;900.8;82.1;13.9;-;-;-;-
ENG;186708;-;-;-;902.2;182.4;14.8;-;-;-;-
ENG;186709;-;-;-;903.9;138.6;12.3;-;-;-;-
ENG;186710;-;-;-;899.1;226.1;4.0;-;-;-;-
ENG;186711;-;-;-;903.4;43.0;-0.6;-;-;-;-
ENG;186712;-;-;-;894.7;166.0;-4.9;-;-;-;-
ENG;186801;-;-;-;895.9;90.1;-5.9;-;-;-;-
ENG;186802;-;-;-;905.4;17.8;-0.9;-;-;-;-
ENG;186803;-;-;-;898.2;208.3;-0.5;-;-;-;-
ENG;186804;-;-;-;897.9;133.0;4.2;-;-;-;-
ENG;186805;-;-;-;901.8;77.2;15.0;-;-;-;-
ENG;186806;-;-;-;903.3;211.7;14.8;-;-;-;-
ENG;186807;-;-;-;901.2;222.9;14.8;-;-;-;-
ENG;186808;-;-;-;901.5;185.2;14.6;-;-;-;-
ENG;186809;-;-;-;898.9;134.6;13.0;-;-;-;-
ENG;186810;-;-;-;899.6;285.2;6.6;-;-;-;-
ENG;186811;-;-;-;896.9;55.4;-1.3;-;-;-;-
ENG;186812;-;-;-;895.9;188.7;3.2;-;-;-;-
ENG;186901;-;-;-;903.1;53.2;-4.2;-;-;-;-
ENG;186902;-;-;-;903.7;40.3;3.4;-;-;-;-
ENG;186903;-;-;-;885.6;159.0;-2.5;-;-;-;-
ENG;186904;-;-;-;899.5;109.4;6.3;-;-;-;-
ENG;186905;-;-;-;895.6;146.9;12.0;-;-;-;-
ENG;186906;-;-;-;901.0;206.0;10.5;-;-;-;-
ENG;186907;-;-;-;903.6;172.1;17.0;-;-;-;-
ENG;186908;-;-;-;903.5;291.0;12.7;-;-;-;-
ENG;186909;-;-;-;901.5;118.6;12.3;-;-;-;-
ENG;186910;-;-;-;900.9;135.1;3.6;-;-;-;-
ENG;186911;-;-;-;897.9;145.5;1.3;-;-;-;-
ENG;186912;-;-;-;893.2;107.3;-2.1;-;-;-;-
ENG;187001;-;-;-;-;39.0;-4.9;-;-;-;-
ENG;187002;-;-;-;-;23.6;-2.9;-;-;-;-
ENG;187003;-;-;-;-;87.8;-1.0;-;-;-;-
ENG;187004;-;-;-;-;70.6;5.0;-;-;-;-
ENG;187005;-;-;-;-;58.2;11.4;-;-;-;-
ENG;187006;-;-;-;-;140.5;13.6;-;-;-;-
ENG;187007;-;-;-;-;141.6;16.5;-;-;-;-
ENG;187008;-;-;-;-;288.9;12.1;-;-;-;-
ENG;187009;-;-;-;-;115.5;9.9;-;-;-;-
ENG;187010;-;-;-;-;321.5;6.1;-;-;-;-
ENG;187011;-;-;-;-;144.9;0.6;-;-;-;-
ENG;187012;-;-;-;-;72.4;-6.0;-;-;-;-
ENG;187101;-;-;-;-;43.9;-7.8;-;-;-;-
ENG;187102;-;-;-;-;75.1;-0.7;-;-;-;-
ENG;187103;-;-;-;-;69.8;1.8;-;-;-;-
ENG;187104;-;-;-;-;191.9;6.2;-;-;-;-
ENG;187105;-;-;-;-;114.2;9.1;-;-;-;-
ENG;187106;-;-;-;-;235.3;9.8;-;-;-;-
ENG;187107;-;-;-;-;161.5;15.4;-;-;-;-
ENG;187108;-;-;-;-;234.6;14.2;-;-;-;-
ENG;187109;-;-;-;-;56.3;13.0;-;-;-;-
ENG;187110;-;-;-;-;182.5;4.5;-;-;-;-
ENG;187111;-;-;-;-;84.4;-2.2;-;-;-;-
ENG;187112;-;-;-;-;19.9;-8.9;-;-;-;-
ENG;187201;-;-;-;-;48.8;-1.5;-;-;-;-
ENG;187202;-;-;-;-;58.7;-0.7;-;-;-;-
ENG;187203;-;-;-;-;71.2;2.6;-;-;-;-
ENG;187204;-;-;-;-;123.0;6.3;-;-;-;-
ENG;187205;-;-;-;-;352.5;8.9;-;-;-;-
ENG;187206;-;-;-;-;257.0;12.5;-;-;-;-
ENG;187207;-;-;-;-;188.0;15.2;-;-;-;-
ENG;187208;-;-;-;-;322.2;12.7;-;-;-;-
ENG;187209;-;-;-;-;122.1;11.6;-;-;-;-
ENG;187210;-;-;-;-;237.2;7.9;-;-;-;-
ENG;187211;-;-;-;-;52.1;3.3;-;-;-;-
ENG;187212;-;-;-;-;118.3;2.1;-;-;-;-
ENG;187301;-;-;-;-;20.0;0.0;-;-;-;-
ENG;187302;-;-;-;-;32.1;-2.4;-;-;-;-
ENG;187303;-;-;-;-;73.5;3.8;-;-;-;-
ENG;187304;-;-;-;-;104.7;4.1;-;-;-;-
ENG;187305;-;-;-;-;152.1;7.5;-;-;-;-
ENG;187306;-;-;-;-;162.8;13.2;-;-;-;-
ENG;187307;-;-;-;-;269.1;16.4;-;-;-;-
ENG;187308;-;-;-;-;305.3;15.3;-;-;-;-
ENG;187309;-;-;-;-;185.4;10.8;-;-;-;-
ENG;187310;-;-;-;-;153.9;6.5;-;-;-;-
ENG;187311;-;-;-;-;88.4;1.5;-;-;-;-
ENG;187312;-;-;-;-;58.9;-4.3;-;-;-;-
ENG;187401;-;-;-;-;29.7;-2.3;-;-;-;-
ENG;187402;-;-;-;-;45.5;-2.8;-;-;-;-
ENG;187403;-;-;-;-;56.5;0.4;-;-;-;-
ENG;187404;-;-;-;-;102.6;6.7;-;-;-;-
ENG;187405;-;-;-;-;164.1;6.2;-;-;-;-
ENG;187406;-;-;-;-;302.6;13.9;-;-;-;-
ENG;187407;-;-;-;-;347.0;16.8;-;-;-;-
ENG;187408;-;-;-;-;210.6;12.9;-;-;-;-
ENG;187409;-;-;-;-;87.4;12.9;-;-;-;-
ENG;187410;-;-;-;-;82.6;7.6;-;-;-;-
ENG;187411;-;-;-;-;185.6;-1.3;-;-;-;-
ENG;187412;-;-;-;-;85.1;-5.0;-;-;-;-
ENG;187501;-;-;-;-;159.4;-0.6;-;-;-;-
ENG;187502;-;-;-;-;74.4;-5.6;-;-;-;-
ENG;187503;-;-;-;-;67.1;-0.7;-;-;-;-
ENG;187504;-;-;-;-;32.2;4.8;-;-;-;-
ENG;187505;-;-;-;-;111.6;12.0;-;-;-;-
ENG;187506;-;-;-;-;225.1;13.8;-;-;-;-
ENG;187507;-;-;-;-;255.6;13.7;-;-;-;-
ENG;187508;-;-;-;-;217.2;15.4;-;-;-;-
ENG;187509;-;-;-;-;218.5;12.4;-;-;-;-
ENG;187510;-;-;-;-;255.3;5.2;-;-;-;-
ENG;187511;-;-;-;-;161.4;0.5;-;-;-;-
ENG;187512;-;-;-;-;27.6;-5.4;-;-;-;-
ENG;187601;-;-;-;-;53.6;-3.5;-;-;-;-
ENG;187602;-;-;-;-;165.8;-0.3;-;-;-;-
ENG;187603;-;-;-;-;187.9;1.7;-;-;-;-
ENG;187604;-;-;-;-;134.1;5.6;-;-;-;-
ENG;187605;-;-;-;-;113.2;6.4;-;-;-;-
ENG;187606;-;-;-;-;219.8;13.2;-;-;-;-
ENG;187607;-;-;-;-;176.6;15.4;-;-;-;-
ENG;187608;-;-;-;-;149.7;14.7;-;-;-;-
ENG;187609;-;-;-;-;183.8;10.0;-;-;-;-
ENG;187610;-;-;-;-;26.5;8.7;-;-;-;-
ENG;187611;-;-;-;-;121.2;0.2;-;-;-;-
ENG;187612;-;-;-;-;59.2;1.4;-;-;-;-
ENG;187701;-;-;-;-;69.5;0.4;-;-;-;-
ENG;187702;-;-;-;-;171.3;0.5;-;-;-;-
ENG;187703;-;-;-;-;140.6;-0.1;-;-;-;-
ENG;187704;-;-;-;-;156.6;5.3;-;-;-;-
ENG;187705;-;-;-;-;157.9;7.5;-;-;-;-
ENG;187706;-;-;-;-;210.3;15.9;-;-;-;-
ENG;187707;-;-;-;-;352.3;14.1;-;-;-;-
ENG;187708;-;-;-;-;235.5;15.5;-;-;-;-
ENG;187709;-;-;-;-;107.3;9.0;-;-;-;-
ENG;187710;-;-;-;-;104.5;4.4;-;-;-;-
ENG;187711;-;-;-;-;123.5;2.8;-;-;-;-
ENG;187712;-;-;-;-;132.8;-2.5;-;-;-;-
ENG;187801;-;-;-;-;103.1;-5.1;-;-;-;-
ENG;187802;-;-;-;-;28.0;-1.1;-;-;-;-
ENG;187803;-;-;-;-;157.7;0.0;-;-;-;-
ENG;187804;-;-;-;-;154.0;5.2;-;-;-;-
ENG;187805;-;-;-;-;200.5;11.3;-;-;-;-
ENG;187806;-;-;-;-;336.8;13.0;-;-;-;-
