stn;time;gre000m0;prestam0;sre000m0;hto000m0;nto000m0;rre150m0;tre200m0;tre200mn;tre200mx;ure200m0
GRC;186401;-;-;-;-;-;0.7;-4.9;-;-;-
GRC;186402;-;-;-;-;-;27.0;-4.5;-;-;-
GRC;186403;-;-;-;-;-;0.0;0.0;-;-;-
GRC;186404;-;-;-;-;-;18.2;2.9;-;-;-
GRC;186405;-;-;-;-;-;67.5;8.3;-;-;-
GRC;186406;-;-;-;-;-;103.9;9.8;-;-;-
GRC;186407;-;-;-;-;-;42.4;13.4;-;-;-
GRC;186408;-;-;-;-;-;15.1;11.7;-;-;-
GRC;186409;-;-;-;-;-;27.6;8.8;-;-;-
GRC;186410;-;-;-;-;-;162.1;3.6;-;-;-
GRC;186411;-;-;-;-;-;21.7;-0.4;-;-;-
GRC;186412;-;-;-;-;-;0.0;-2.6;-;-;-
GRC;186501;-;-;-;-;-;47.0;-4.0;-;-;-
GRC;186502;-;-;-;-;-;20.0;-6.8;-;-;-
GRC;186503;-;-;-;-;-;41.3;-6.7;-;-;-
GRC;186504;-;-;-;-;-;0.0;6.9;-;-;-
GRC;186505;-;-;-;-;-;57.1;9.9;-;-;-
GRC;186506;-;-;-;-;-;34.1;12.5;-;-;-
GRC;186507;-;-;-;-;-;71.8;14.6;-;-;-
GRC;186508;-;-;-;-;-;96.5;11.3;-;-;-
GRC;186509;-;-;-;-;-;0.0;12.4;-;-;-
GRC;186510;-;-;-;-;-;33.7;4.5;-;-;-
GRC;186511;-;-;-;-;-;79.6;0.8;-;-;-
GRC;186512;-;-;-;-;-;12.1;-1.5;-;-;-
GRC;186601;-;-;-;-;-;22.4;-1.3;-;-;-
GRC;186602;-;-;-;-;-;51.2;-1.2;-;-;-
GRC;186603;-;-;-;-;-;20.5;-1.5;-;-;-
GRC;186604;-;-;-;-;-;21.2;3.7;-;-;-
GRC;186605;-;-;-;-;-;78.9;5.7;-;-;-
GRC;186606;-;-;-;-;-;23.4;12.3;-;-;-
GRC;186607;-;-;-;-;-;40.7;13.5;-;-;-
GRC;186608;-;-;-;-;-;121.0;10.1;-;-;-
GRC;186609;-;-;-;-;-;111.9;9.3;-;-;-
GRC;186610;-;-;-;-;-;14.3;5.4;-;-;-
GRC;186611;-;-;-;-;-;36.6;-0.5;-;-;-
GRC;186612;-;-;-;-;-;19.2;0.4;-;-;-
GRC;186701;-;-;-;-;-;69.2;-4.2;-;-;-
GRC;186702;-;-;-;-;-;33.4;-0.5;-;-;-
GRC;186703;-;-;-;-;-;58.8;0.1;-;-;-
GRC;186704;-;-;-;-;-;36.8;3.4;-;-;-
GRC;186705;-;-;-;-;-;20.8;8.4;-;-;-
GRC;186706;-;-;-;-;-;43.8;11.2;-;-;-
