stn;time;gre000m0;sre000m0;nto000m0;ure200m0;prestam0;rre150m0;tre200m0;tre200mn;tre200mx
GSB;181801;-;-;-;-;-;-;-7.5;-;-
GSB;181802;-;-;-;-;-;-;-7.8;-;-
GSB;181803;-;-;-;-;-;-;-6.8;-;-
GSB;181804;-;-;-;-;-;-;-1.3;-;-
GSB;181805;-;-;-;-;-;-;2.0;-;-
GSB;181806;-;-;-;-;-;-;7.1;-;-
GSB;181807;-;-;-;-;-;-;7.1;-;-
GSB;181808;-;-;-;-;-;-;5.7;-;-
GSB;181809;-;-;-;-;-;-;3.0;-;-
GSB;181810;-;-;-;-;-;-;0.7;-;-
GSB;181811;-;-;-;-;-;-;-2.6;-;-
GSB;181812;-;-;-;-;-;-;-7.9;-;-
GSB;181901;-;-;-;-;-;-;-8.0;-;-
GSB;181902;-;-;-;-;-;-;-9.7;-;-
GSB;181903;-;-;-;-;-;-;-11.1;-;-
GSB;181904;-;-;-;-;-;-;-0.3;-;-
GSB;181905;-;-;-;-;-;-;1.7;-;-
GSB;181906;-;-;-;-;-;-;4.0;-;-
GSB;181907;-;-;-;-;-;-;6.3;-;-
GSB;181908;-;-;-;-;-;-;5.8;-;-
GSB;181909;-;-;-;-;-;-;4.7;-;-
GSB;181910;-;-;-;-;-;-;-0.6;-;-
GSB;181911;-;-;-;-;-;-;-6.1;-;-
GSB;181912;-;-;-;-;-;-;-7.8;-;-
GSB;182001;-;-;-;-;-;-;-9.4;-;-
GSB;182002;-;-;-;-;-;-;-7.3;-;-
GSB;182003;-;-;-;-;-;-;-8.6;-;-
GSB;182004;-;-;-;-;-;-;-1.5;-;-
GSB;182005;-;-;-;-;-;-;2.5;-;-
GSB;182006;-;-;-;-;-;-;2.9;-;-
GSB;182007;-;-;-;-;-;-;5.3;-;-
GSB;182008;-;-;-;-;-;-;8.7;-;-
GSB;182009;-;-;-;-;-;-;2.1;-;-
GSB;182010;-;-;-;-;-;-;-3.0;-;-
GSB;182011;-;-;-;-;-;-;-6.7;-;-
GSB;182012;-;-;-;-;-;-;-6.0;-;-
GSB;182101;-;-;-;-;-;-;-4.8;-;-
GSB;182102;-;-;-;-;-;-;-8.1;-;-
GSB;182103;-;-;-;-;-;-;-6.1;-;-
GSB;182104;-;-;-;-;-;-;-2.0;-;-
GSB;182105;-;-;-;-;-;-;0.5;-;-
GSB;182106;-;-;-;-;-;-;1.7;-;-
GSB;182107;-;-;-;-;-;-;4.5;-;-
GSB;182108;-;-;-;-;-;-;8.0;-;-
GSB;182109;-;-;-;-;-;-;3.9;-;-
GSB;182110;-;-;-;-;-;-;-0.7;-;-
GSB;182111;-;-;-;-;-;-;-1.5;-;-
GSB;182112;-;-;-;-;-;-;-5.2;-;-
GSB;182201;-;-;-;-;-;-;-10.2;-;-
GSB;182202;-;-;-;-;-;-;-5.1;-;-
GSB;182203;-;-;-;-;-;-;-1.6;-;-
GSB;182204;-;-;-;-;-;-;-2.5;-;-
GSB;182205;-;-;-;-;-;-;3.0;-;-
GSB;182206;-;-;-;-;-;-;8.7;-;-
GSB;182207;-;-;-;-;-;-;6.8;-;-
GSB;182208;-;-;-;-;-;-;6.4;-;-
GSB;182209;-;-;-;-;-;-;5.2;-;-
GSB;182210;-;-;-;-;-;-;1.1;-;-
GSB;182211;-;-;-;-;-;-;-0.8;-;-
GSB;182212;-;-;-;-;-;-;-9.5;-;-
GSB;182301;-;-;-;-;-;-;-9.5;-;-
GSB;182302;-;-;-;-;-;-;-7.7;-;-
GSB;182303;-;-;-;-;-;-;-7.9;-;-
GSB;182304;-;-;-;-;-;-;-3.7;-;-
GSB;182305;-;-;-;-;-;-;2.8;-;-
GSB;182306;-;-;-;-;-;-;2.1;-;-
GSB;182307;-;-;-;-;-;-;4.7;-;-
GSB;182308;-;-;-;-;-;-;8.1;-;-
GSB;182309;-;-;-;-;-;-;5.6;-;-
GSB;182310;-;-;-;-;-;-;-0.5;-;-
GSB;182311;-;-;-;-;-;-;-3.9;-;-
GSB;182312;-;-;-;-;-;-;-7.0;-;-
GSB;182401;-;-;-;-;-;-;-9.0;-;-
GSB;182402;-;-;-;-;-;-;-6.1;-;-
GSB;182403;-;-;-;-;-;-;-9.3;-;-
GSB;182404;-;-;-;-;-;-;-3.6;-;-
GSB;182405;-;-;-;-;-;-;0.4;-;-
GSB;182406;-;-;-;-;-;-;2.9;-;-
GSB;182407;-;-;-;-;-;-;8.4;-;-
GSB;182408;-;-;-;-;-;-;6.7;-;-
GSB;182409;-;-;-;-;-;-;4.6;-;-
GSB;182410;-;-;-;-;-;-;-0.6;-;-
GSB;182411;-;-;-;-;-;-;-2.3;-;-
GSB;182412;-;-;-;-;-;-;-4.0;-;-
GSB;182501;-;-;-;-;-;-;-8.8;-;-
GSB;182502;-;-;-;-;-;-;-8.7;-;-
GSB;182503;-;-;-;-;-;-;-7.8;-;-
GSB;182504;-;-;-;-;-;-;-1.7;-;-
GSB;182505;-;-;-;-;-;-;2.6;-;-
GSB;182506;-;-;-;-;-;-;4.9;-;-
GSB;182507;-;-;-;-;-;-;6.0;-;-
GSB;182508;-;-;-;-;-;-;6.2;-;-
GSB;182509;-;-;-;-;-;-;5.3;-;-
GSB;182510;-;-;-;-;-;-;0.1;-;-
GSB;182511;-;-;-;-;-;-;-4.1;-;-
GSB;182512;-;-;-;-;-;-;-6.0;-;-
GSB;182601;-;-;-;-;-;-;-11.1;-;-
GSB;182602;-;-;-;-;-;-;-6.6;-;-
GSB;182603;-;-;-;-;-;-;-7.6;-;-
