stn;time;gre000m0;hto000m0;nto000m0;prestam0;sre000m0;rre150m0;tre200mn;tre200m0;tre200mx;ure200m0
GVE;195001;-;-;-;969.9;-;88.0;0.0;-;5.1;-
GVE;195002;-;-;-;966.2;-;63.0;0.0;-;1.4;-
GVE;195003;-;-;-;969.1;-;8.0;0.0;-;1.8;-
GVE;195004;-;-;-;961.2;-;48.6;0.1;-;2.4;-
GVE;195005;-;-;-;965.9;-;50.0;0.4;-;3.0;-
GVE;195006;-;-;-;968.8;-;38.0;0.8;-;3.7;-
GVE;195007;-;-;-;966.9;-;45.0;0.9;-;3.7;-
GVE;195008;-;-;-;965.7;-;101.6;0.7;-;3.1;-
GVE;195009;-;-;-;967.4;-;129.0;0.3;-;2.8;-
GVE;195010;-;-;-;969.7;-;22.0;0.0;-;2.1;-
GVE;195011;-;-;-;963.8;-;317.3;0.0;-;1.4;-
GVE;195012;-;-;-;958.9;-;41.9;0.0;-;5.2;-
GVE;195101;-;-;-;963.4;-;67.1;0.0;-;9.8;-
GVE;195102;-;-;-;959.2;-;109.1;0.0;-;11.5;-
GVE;195103;-;-;-;960.1;-;105.4;0.1;-;19.9;-
GVE;195104;-;-;-;966.2;-;43.6;0.2;-;23.0;-
GVE;195105;-;-;-;961.4;-;93.0;1.6;-;27.6;-
GVE;195106;-;-;-;966.9;-;69.5;7.4;-;31.2;-
GVE;195107;-;-;-;968.8;-;59.4;7.0;-;32.0;-
GVE;195108;-;-;-;965.9;-;92.3;7.5;-;29.9;-
GVE;195109;-;-;-;968.0;-;54.7;3.1;-;28.4;-
GVE;195110;-;-;-;967.2;-;61.1;0.0;-;20.6;-
GVE;195111;-;-;-;961.6;-;137.8;0.4;-;15.4;-
GVE;195112;-;-;-;971.5;-;39.1;0.2;-;-;-
GVE;195201;-;-;-;965.1;-;74.1;0.0;-;-;-
GVE;195202;-;-;-;967.4;-;35.0;0.0;-;9.7;-
GVE;195203;-;-;-;962.7;-;96.9;2.0;-;19.0;-
GVE;195204;-;-;-;966.0;-;39.8;0.5;-;24.0;-
GVE;195205;-;-;-;966.2;-;58.1;3.0;-;25.7;-
GVE;195206;-;-;-;968.7;-;80.3;7.1;-;32.5;-
GVE;195207;-;-;-;967.8;-;21.2;7.2;-;36.8;-
GVE;195208;-;-;-;965.8;-;101.9;6.5;-;34.2;-
GVE;195209;-;-;-;965.7;-;96.5;0.1;-;25.2;-
GVE;195210;-;-;-;965.9;-;187.2;0.1;-;18.6;-
GVE;195211;-;-;-;963.6;-;185.5;0.0;-;15.5;-
GVE;195212;-;-;-;963.4;-;102.1;0.0;-;-;-
GVE;195301;-;-;-;-;-;1.6;0.8;-;-;-
GVE;195302;-;-;-;-;-;23.5;0.0;-;-;-
GVE;195303;-;-;-;-;-;1.3;-5.4;-;21.3;-
GVE;195304;-;-;-;-;-;39.7;-1.3;-;25.2;-
GVE;195305;-;-;-;-;-;36.4;-1.3;-;31.6;-
GVE;195306;-;-;-;-;-;195.9;2.2;-;28.4;-
GVE;195307;-;-;-;-;-;29.2;6.2;-;31.7;-
GVE;195308;-;-;-;-;-;36.1;6.7;-;32.6;-
GVE;195309;-;-;-;-;-;116.0;4.4;-;30.5;-
GVE;195310;-;-;-;-;-;50.7;-1.5;-;20.9;-
GVE;195311;-;-;-;-;-;30.0;-2.7;-;14.4;-
GVE;195312;-;-;-;-;-;17.6;-4.8;-;14.2;-
GVE;195401;-;-;-;-;-;53.9;-11.3;-0.8;11.6;-
GVE;195402;-;-;-;-;-;67.4;-12.2;0.1;11.3;-
GVE;195403;-;-;-;-;-;36.9;-5.8;6.3;18.5;-
GVE;195404;-;-;-;-;-;60.1;-2.5;7.7;20.7;-
GVE;195405;-;-;-;-;-;30.1;-0.6;12.5;26.2;-
GVE;195406;-;-;-;-;-;52.8;5.6;17.2;30.0;-
GVE;195407;-;-;-;-;-;60.7;3.6;16.9;30.1;-
GVE;195408;-;-;-;-;-;218.8;6.1;17.0;31.9;-
GVE;195409;-;-;-;-;-;89.9;0.5;15.4;27.3;-
GVE;195410;-;-;-;-;-;78.0;-1.0;10.1;22.6;-
GVE;195411;-;-;-;-;-;102.2;-3.6;6.3;16.3;-
GVE;195412;-;-;-;-;-;141.7;-2.5;3.4;10.8;-
GVE;195501;-;-;-;-;-;149.9;-5.8;2.3;14.2;-
GVE;195502;-;-;-;-;-;164.2;-8.4;1.8;11.8;-
GVE;195503;-;-;-;-;-;29.9;-7.2;3.7;21.4;-
GVE;195504;-;-;-;-;-;2.7;-1.7;10.0;25.8;-
GVE;195505;-;-;-;-;-;93.7;0.2;13.0;26.6;-
GVE;195506;-;-;-;-;-;91.2;3.4;16.6;29.0;-
GVE;195507;-;-;-;-;-;68.5;6.9;18.9;32.4;-
GVE;195508;-;-;-;-;-;122.4;5.8;17.8;28.1;-
GVE;195509;-;-;-;-;-;48.0;5.4;14.6;25.4;-
GVE;195510;-;-;-;-;-;53.7;-3.7;8.6;18.5;-
GVE;195511;-;-;-;-;-;50.5;-9.4;4.2;13.0;-
GVE;195512;-;-;-;-;-;94.3;-5.4;4.3;12.2;-
GVE;195601;-;-;-;-;-;115.9;-4.4;3.0;11.7;-
GVE;195602;-;-;-;-;-;4.1;-21.0;-6.7;9.1;-
GVE;195603;-;-;-;-;-;25.5;-6.4;5.1;18.6;-
GVE;195604;-;-;-;-;-;91.0;-4.6;7.7;19.7;-
GVE;195605;-;-;-;-;-;98.2;0.6;14.0;25.8;-
GVE;195606;-;-;-;-;-;52.0;3.6;14.8;26.8;-
GVE;195607;-;-;-;-;-;80.9;6.8;18.0;29.3;-
GVE;195608;-;-;-;-;-;140.6;6.5;16.3;30.3;-
GVE;195609;-;-;-;-;-;151.2;6.9;16.0;25.5;-
GVE;195610;-;-;-;-;-;79.7;-1.0;8.3;22.2;-
GVE;195611;-;-;-;-;-;16.6;-3.5;3.5;11.3;-
GVE;195612;-;-;-;-;-;22.5;-8.0;2.0;15.2;-
GVE;195701;-;-;-;-;-;23.0;-9.6;-1.3;11.6;-
GVE;195702;-;-;-;-;-;148.9;-4.4;5.0;15.7;-
GVE;195703;-;-;-;-;-;16.3;-4.2;8.5;21.3;-
GVE;195704;-;-;-;-;-;29.9;-3.6;9.3;21.4;-
GVE;195705;-;-;-;-;-;32.3;-2.0;11.3;25.0;-
GVE;195706;-;-;-;-;-;156.6;5.7;16.9;31.0;-
GVE;195707;-;-;-;-;-;88.3;6.2;18.8;33.4;-
GVE;195708;-;-;-;-;-;63.0;4.6;17.5;30.4;-
GVE;195709;-;-;-;-;-;56.7;1.4;14.4;28.3;-
GVE;195710;-;-;-;-;-;34.5;-2.2;8.9;21.8;-
GVE;195711;-;-;-;-;-;50.7;-2.4;5.9;17.5;-
GVE;195712;-;-;-;-;-;33.6;-7.3;1.2;10.0;-
GVE;195801;-;-;84;966.3;1488;77.9;-11.8;0.6;11.8;-
GVE;195802;-;-;75;966.1;5166;104.2;-6.0;4.6;19.0;-
GVE;195803;-;-;64;960.4;8574;50.8;-5.8;2.8;16.8;-
GVE;195804;-;-;64;964.2;9690;39.1;-2.5;6.8;20.5;-
GVE;195805;-;-;62;967.7;12876;83.0;3.0;15.1;27.5;-
