stn;time;gre000m0;nto000m0;prestam0;tre200m0;ure200m0;sre000m0;tre200mn;tre200mx
JUN;193301;-;68;648.2;-15.4;79.2;-;-;-
JUN;193302;-;67;646.6;-13.7;77.5;-;-;-
JUN;193303;-;48;651.0;-11.0;69.0;-;-;-
JUN;193304;-;66;652.9;-8.2;70.8;-;-;-
JUN;193305;-;80;653.1;-6.4;79.8;-;-;-
JUN;193306;-;77;653.2;-3.1;85.0;-;-;-
JUN;193307;-;51;663.8;2.6;68.5;-;-;-
JUN;193308;-;52;663.6;2.3;71.3;-;-;-
JUN;193309;-;73;660.0;-1.8;89.2;-;-;-
JUN;193310;-;62;654.6;-6.6;79.1;-;-;-
JUN;193311;-;77;645.5;-13.0;83.1;-;-;-
JUN;193312;-;43;645.4;-13.7;73.2;-;-;-
JUN;193401;-;58;652.2;-13.5;83.9;-;-;-
JUN;193402;-;36;654.4;-10.9;56.9;-;-;-
JUN;193403;-;73;643.5;-12.9;81.0;-;-;-
JUN;193404;-;78;649.5;-8.4;82.4;-;-;-
JUN;193405;-;64;657.6;-3.4;75.7;-;-;-
JUN;193406;-;68;658.2;-1.5;81.3;-;-;-
JUN;193407;-;55;661.8;1.0;67.6;-;-;-
JUN;193408;-;67;658.7;-0.1;75.4;-;-;-
JUN;193409;-;46;661.8;-0.9;67.9;-;-;-
JUN;193410;-;59;657.2;-5.6;69.8;-;-;-
JUN;193411;-;57;651.2;-10.1;69.6;-;-;-
JUN;193412;-;76;649.0;-9.9;85.3;-;-;-
JUN;193501;-;52;646.3;-16.4;76.5;-;-;-
JUN;193502;-;78;644.4;-14.6;84.3;-;-;-
JUN;193503;-;58;650.2;-14.1;72.5;-;-;-
JUN;193504;-;83;647.7;-12.1;88.9;-;-;-
JUN;193505;-;74;652.0;-6.9;81.9;-;-;-
JUN;193506;-;52;661.5;-0.5;72.4;-;-;-
JUN;193507;-;41;663.0;0.4;67.5;-;-;-
JUN;193508;-;56;660.0;-0.8;73.2;-;-;-
JUN;193509;-;55;660.7;-1.2;60.2;-;-;-
JUN;193510;-;86;653.0;-6.3;85.5;-;-;-
JUN;193511;-;72;650.1;-9.9;76.5;-;-;-
JUN;193512;-;74;640.8;-14.7;84.9;-;-;-
JUN;193601;-;83;645.8;-11.7;91.2;-;-;-
JUN;193602;-;69;642.2;-14.0;74.1;-;-;-
JUN;193603;-;60;647.8;-11.7;70.7;-;-;-
JUN;193604;-;81;647.3;-10.4;77.2;-;-;-
JUN;193605;-;57;652.6;-4.4;57.7;-;-;-
JUN;193606;-;75;658.0;-2.7;70.5;-;-;-
JUN;193607;-;70;659.8;-0.6;63.9;-;-;-
JUN;193608;-;46;662.8;0.0;42.1;-;-;-
JUN;193609;-;73;659.3;-3.1;71.2;-;-;-
JUN;193610;-;56;652.8;-8.6;50.9;-;-;-
JUN;193611;-;55;651.2;-11.3;63.3;-;-;-
JUN;193612;-;50;654.5;-11.4;70.0;-;-;-
JUN;193701;-;68;650.2;-11.4;78.7;-;-;-
JUN;193702;-;88;644.7;-13.2;92.8;-;-;-
JUN;193703;-;80;641.1;-14.1;87.5;-;-;-
JUN;193704;-;75;647.8;-11.1;88.5;-;-;-
JUN;193705;-;65;657.2;-4.8;78.1;-;-;-
JUN;193706;-;73;659.7;-2.1;73.5;-;-;-
JUN;193707;-;55;661.2;0.3;46.1;-;-;-
JUN;193708;-;67;660.4;-0.9;51.7;-;-;-
JUN;193709;-;69;656.9;-3.9;68.7;-;-;-
JUN;193710;-;71;655.6;-6.0;58.9;-;-;-
JUN;193711;-;57;650.4;-10.4;54.3;-;-;-
JUN;193712;-;61;643.6;-15.1;57.7;-;-;-
JUN;193801;-;73;647.7;-14.6;69.9;4230;-;-
JUN;193802;-;46;651.8;-14.4;49.6;8081;-;-
JUN;193803;-;37;658.4;-9.8;43.0;13224;-;-
JUN;193804;-;43;649.3;-14.3;51.3;12852;-;-
JUN;193805;-;70;652.0;-8.1;61.0;7680;-;-
JUN;193806;-;53;662.1;-1.2;49.9;15120;-;-
JUN;193807;-;57;661.1;-1.7;56.9;11532;-;-
JUN;193808;-;58;659.3;-1.3;57.9;11310;-;-
JUN;193809;-;57;659.6;-3.0;56.1;9162;-;-
JUN;193810;-;44;656.3;-4.9;42.2;11448;-;-
JUN;193811;-;48;656.2;-6.6;42.7;9324;-;-
JUN;193812;-;66;644.7;-14.4;66.9;4350;-;-
JUN;193901;-;70;645.2;-13.3;76.5;4392;-;-
JUN;193902;-;46;653.0;-11.4;60.4;9456;-;-
JUN;193903;-;66;643.0;-18.0;78.6;6702;-;-
JUN;193904;-;66;651.2;-8.9;75.0;9444;-;-
JUN;193905;-;79;649.5;-8.8;86.7;6396;-;-
JUN;193906;-;63;658.2;-2.4;77.0;11184;-;-
JUN;193907;-;58;660.3;-1.9;72.7;12270;-;-
JUN;193908;-;58;660.8;-1.1;76.5;11568;-;-
JUN;193909;-;42;657.5;-3.8;69.7;11700;-;-
JUN;193910;-;80;649.8;-9.1;87.3;3018;-;-
JUN;193911;-;65;654.2;-8.3;70.1;5238;-;-
JUN;193912;-;63;646.4;-15.0;72.6;5304;-;-
JUN;194001;-;49;643.8;-14.9;67.6;6972;-;-
JUN;194002;-;69;646.5;-13.5;69.8;4416;-;-
JUN;194003;-;60;648.4;-13.5;69.7;8328;-;-
JUN;194004;-;63;649.6;-10.9;74.8;9630;-;-
JUN;194005;-;64;652.7;-7.4;80.8;10026;-;-
JUN;194006;-;63;657.0;-3.9;81.8;9504;-;-
JUN;194007;-;67;659.4;-3.0;81.2;10926;-;-
JUN;194008;-;48;661.9;-2.1;71.9;15354;-;-
JUN;194009;-;60;659.5;-3.2;72.7;10716;-;-
JUN;194010;-;65;652.3;-6.8;74.1;7056;-;-
JUN;194011;-;63;650.3;-10.5;69.0;5058;-;-
JUN;194012;-;46;646.0;-16.4;58.3;6306;-;-
JUN;194101;-;73;640.0;-15.6;78.9;3792;-;-
JUN;194102;-;69;640.9;-14.9;70.3;5028;-;-
JUN;194103;-;56;647.7;-12.4;60.6;9522;-;-
JUN;194104;-;61;646.8;-11.2;73.5;8442;-;-
JUN;194105;-;76;649.4;-9.7;77.8;7968;-;-
JUN;194106;-;60;659.9;-3.0;72.7;12360;-;-
JUN;194107;-;66;661.6;-0.8;75.2;10686;-;-
JUN;194108;-;69;659.1;-2.6;76.6;8586;-;-
JUN;194109;-;46;661.9;-2.8;61.5;12750;-;-
JUN;194110;-;71;654.9;-9.8;82.7;5154;-;-
JUN;194111;-;57;650.8;-10.7;72.4;5340;-;-
JUN;194112;-;45;652.8;-13.7;54.5;7146;-;-
JUN;194201;-;60;640.6;-18.4;65.9;5706;-;-
JUN;194202;-;60;640.8;-17.7;72.5;5556;-;-
JUN;194203;-;64;649.8;-10.2;70.2;8016;-;-
JUN;194204;-;65;650.1;-9.9;72.7;8520;-;-
JUN;194205;-;73;655.0;-6.6;74.4;9828;-;-
JUN;194206;-;54;659.9;-2.3;67.7;13824;-;-
JUN;194207;-;62;661.2;-1.3;69.8;12042;-;-
JUN;194208;-;56;662.1;-0.7;69.8;12918;-;-
JUN;194209;-;63;660.7;-1.6;76.3;9360;-;-
JUN;194210;-;54;659.1;-4.4;66.3;8124;-;-
JUN;194211;-;42;652.5;-11.4;55.9;8490;-;-
JUN;194212;-;52;652.3;-11.2;57.4;6522;-;-
JUN;194301;-;65;647.0;-13.7;60.4;5184;-;-
JUN;194302;-;51;654.1;-13.9;61.2;6822;-;-
JUN;194303;-;60;652.4;-11.1;68.8;9000;-;-
JUN;194304;-;53;656.6;-9.2;51.7;10740;-;-
JUN;194305;-;63;658.2;-5.0;64.3;10746;-;-
JUN;194306;-;67;660.3;-4.4;60.1;10482;-;-
JUN;194307;-;61;661.2;-1.4;77.9;11850;-;-
JUN;194308;-;43;663.5;0.3;70.6;14784;-;-
JUN;194309;-;72;660.3;-1.7;75.6;7632;-;-
JUN;194310;-;42;657.8;-4.7;66.3;11082;-;-
JUN;194311;-;60;648.4;-13.0;76.3;4974;-;-
JUN;194312;-;57;652.0;-12.7;71.8;5760;-;-
JUN;194401;-;47;656.6;-11.4;54.7;8040;-;-
JUN;194402;-;57;641.2;-18.4;75.9;6360;-;-
JUN;194403;-;70;644.7;-17.0;75.3;7644;-;-
JUN;194404;-;66;654.1;-8.9;67.1;10116;-;-
JUN;194405;-;48;656.9;-6.3;67.6;13650;-;-
JUN;194406;-;67;656.2;-4.1;78.1;10380;-;-
JUN;194407;-;60;659.9;-1.8;79.3;11046;-;-
JUN;194408;-;54;664.3;1.7;72.7;12072;-;-
JUN;194409;-;59;660.3;-3.3;76.6;8046;-;-
JUN;194410;-;74;649.7;-9.0;80.1;5238;-;-
JUN;194411;-;69;648.2;-12.3;72.9;4140;-;-
JUN;194412;-;52;647.3;-14.8;56.5;6600;-;-
JUN;194501;-;66;638.9;-19.7;66.5;4368;-;-
JUN;194502;-;59;657.0;-10.4;62.0;6504;-;-
JUN;194503;-;49;657.0;-11.6;61.9;10530;-;-
JUN;194504;-;60;654.9;-8.9;62.6;11586;-;-
JUN;194505;-;61;656.7;-5.3;73.0;11316;-;-
JUN;194506;-;58;662.7;-1.8;71.1;13242;-;-
JUN;194507;-;51;662.9;0.3;65.2;13896;-;-
JUN;194508;-;60;658.5;-2.3;75.3;10284;-;-
JUN;194509;-;53;661.1;-2.8;70.8;10920;-;-
JUN;194510;-;45;658.3;-5.9;53.2;10584;-;-
JUN;194511;-;44;650.6;-11.0;57.7;8658;-;-
JUN;194512;-;69;646.0;-14.1;61.3;3336;-;-
JUN;194601;-;52;650.7;-14.2;54.5;6768;-;-
JUN;194602;-;75;648.7;-14.4;70.2;3324;-;-
JUN;194603;-;61;648.1;-10.8;60.8;9150;-;-
JUN;194604;-;54;654.5;-7.1;65.7;10638;-;-
JUN;194605;-;83;652.8;-5.7;86.0;5034;-;-
JUN;194606;-;70;658.4;-3.9;74.4;9360;-;-
JUN;194607;-;53;663.3;0.3;72.4;14922;-;-
JUN;194608;-;56;659.9;-1.1;88.2;11508;-;-
JUN;194609;-;45;661.6;-1.2;83.9;12228;-;-
JUN;194610;-;42;654.2;-6.9;84.7;10902;-;-
JUN;194611;-;56;649.3;-10.1;83.8;7422;-;-
JUN;194612;-;49;644.4;-15.8;81.1;6822;-;-
JUN;194701;-;50;644.7;-16.4;69.8;6714;-;-
JUN;194702;-;64;638.0;-15.7;77.8;5910;-;-
JUN;194703;-;80;645.5;-11.4;84.8;4338;-;-
JUN;194704;-;51;657.8;-7.4;65.7;13290;-;-
JUN;194705;-;68;656.8;-4.0;84.5;10416;-;-
JUN;194706;-;52;661.2;-1.4;74.3;15252;-;-
JUN;194707;-;47;663.1;1.0;75.5;15108;-;-
JUN;194708;-;54;662.8;0.5;76.8;14370;-;-
JUN;194709;-;49;662.3;-1.9;72.4;13020;-;-
JUN;194710;-;44;658.8;-4.3;64.2;10368;-;-
JUN;194711;-;69;652.0;-10.0;80.9;3606;-;-
JUN;194712;-;67;645.5;-15.4;79.9;4956;-;-
JUN;194801;-;77;644.5;-13.1;79.4;3606;-;-
JUN;194802;-;66;650.3;-15.3;77.1;5634;-;-
JUN;194803;-;33;661.4;-7.8;60.4;13986;-;-
JUN;194804;-;63;651.3;-9.0;79.9;9234;-;-
JUN;194805;-;67;654.6;-5.1;88.5;9672;-;-
JUN;194806;-;70;657.5;-4.5;84.6;9306;-;-
JUN;194807;-;75;659.2;-3.4;87.8;10356;-;-
JUN;194808;-;62;660.8;-1.2;83.1;10476;-;-
JUN;194809;-;32;661.1;-1.5;60.3;13788;-;-
JUN;194810;-;47;658.0;-4.1;68.4;10176;-;-
JUN;194811;-;41;659.8;-6.5;54.9;8286;-;-
JUN;194812;-;42;654.8;-10.8;57.3;7830;-;-
JUN;194901;-;56;654.2;-12.3;68.7;7242;-;-
JUN;194902;-;33;656.8;-11.5;56.5;10704;-;-
JUN;194903;-;59;647.4;-15.4;77.6;9138;-;-
JUN;194904;-;69;656.8;-7.5;76.6;9048;-;-
JUN;194905;-;80;652.5;-6.8;88.8;6420;-;-
JUN;194906;-;57;659.4;-3.6;78.4;11820;-;-
JUN;194907;-;45;663.2;-0.7;74.0;14988;-;-
JUN;194908;-;51;663.6;-0.6;76.8;11904;-;-
JUN;194909;-;49;663.5;-0.7;73.4;11406;-;-
JUN;194910;-;41;660.1;-3.4;61.9;11274;-;-
JUN;194911;-;62;645.6;-12.5;78.1;5298;-;-
JUN;194912;-;51;650.4;-11.0;74.3;5322;-;-
JUN;195001;-;55;650.0;-13.3;70.2;6168;-;-
JUN;195002;-;73;648.4;-12.4;72.9;3744;-;-
JUN;195003;-;37;652.6;-10.3;56.2;13422;-;-
JUN;195004;-;75;645.8;-12.5;84.8;5388;-;-
JUN;195005;-;68;656.7;-4.7;81.6;10746;-;-
JUN;195006;-;56;662.5;-0.8;76.6;14046;-;-
JUN;195007;-;51;663.3;1.2;74.5;14226;-;-
JUN;195008;-;59;661.0;0.1;75.3;10200;-;-
JUN;195009;-;67;658.2;-3.7;72.1;7758;-;-
JUN;195010;-;35;657.6;-5.4;59.4;10776;-;-
JUN;195011;-;76;648.2;-10.9;84.2;2922;-;-
JUN;195012;-;69;640.1;-15.6;83.7;2988;-;-
JUN;195101;-;70;645.5;-13.6;78.0;4170;-;-
JUN;195102;-;68;641.5;-16.0;82.4;4068;-;-
JUN;195103;-;76;642.7;-15.1;82.7;5082;-;-
JUN;195104;-;64;650.8;-11.1;76.2;9234;-;-
JUN;195105;-;75;651.0;-7.3;91.2;7404;-;-
JUN;195106;-;70;658.5;-3.5;85.9;9636;-;-
JUN;195107;-;48;662.6;-0.3;73.6;14922;-;-
JUN;195108;-;57;660.2;-0.7;75.5;11652;-;-
JUN;195109;-;48;660.7;-1.3;73.0;12444;-;-
JUN;195110;-;46;655.3;-6.2;68.5;8784;-;-
JUN;195111;-;78;648.5;-9.9;86.5;2796;-;-
JUN;195112;-;45;653.9;-9.9;65.0;7908;-;-
JUN;195201;-;66;643.6;-17.0;82.4;4536;-;-
JUN;195202;-;57;645.1;-16.1;73.1;7428;-;-
JUN;195203;-;70;647.1;-11.8;83.4;7122;-;-
JUN;195204;-;54;653.5;-8.0;82.1;11430;-;-
JUN;195205;-;65;655.4;-7.0;87.7;8838;-;-
JUN;195206;-;60;661.5;-1.9;82.3;11916;-;-
JUN;195207;-;43;664.1;1.7;69.2;17574;-;-
JUN;195208;-;58;661.1;0.0;76.4;11958;-;-
JUN;195209;-;71;654.2;-6.3;82.2;7602;-;-
JUN;195210;-;68;653.0;-8.2;81.7;4542;-;-
