stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;ure200m0;sre000m0;tre200mn;tre200mx
LUG;186401;-;-;31;991.9;8.0;-2.0;80.6;-;-;-
LUG;186402;-;-;56;980.0;99.5;1.7;75.2;-;-;-
LUG;186403;-;-;63;975.5;86.3;7.3;67.8;-;-;-
LUG;186404;-;-;36;980.8;13.7;11.2;57.3;-;-;-
LUG;186405;-;-;53;979.6;143.9;15.3;69.4;-;-;-
LUG;186406;-;-;48;980.3;181.6;18.6;72.1;-;-;-
LUG;186407;-;-;31;981.7;53.2;21.3;69.0;-;12.1;32.1
LUG;186408;-;-;32;983.1;192.5;19.8;70.3;-;7.0;32.5
LUG;186409;-;-;42;983.9;259.9;16.5;76.2;-;7.5;27.6
LUG;186410;-;-;60;979.5;330.5;10.3;81.3;-;2.9;19.1
LUG;186411;-;-;68;979.0;101.2;6.9;79.3;-;0.2;16.0
LUG;186412;-;-;57;984.5;51.0;2.9;82.5;-;-3.9;10.4
LUG;186501;-;-;52;975.4;39.5;1.6;76.4;-;-4.8;10.3
LUG;186502;-;-;43;977.3;9.4;2.2;62.3;-;-4.9;12.3
LUG;186503;-;-;62;973.4;84.2;3.8;57.5;-;-3.2;15.7
LUG;186504;-;-;38;987.6;5.6;13.9;62.4;-;-2.2;27.8
LUG;186505;-;-;50;985.2;150.3;16.7;74.5;-;5.9;28.0
LUG;186506;-;-;36;983.4;172.6;19.8;67.1;-;10.0;27.9
LUG;186507;-;-;40;983.3;141.6;22.2;67.6;-;11.1;32.2
LUG;186508;-;-;52;981.3;271.0;19.7;75.6;-;10.5;29.6
LUG;186509;-;-;21;990.0;21.5;18.8;74.2;-;9.0;29.4
LUG;186510;-;-;58;979.3;236.8;11.6;82.2;-;3.3;22.5
LUG;186511;-;-;59;985.8;260.0;7.5;85.5;-;-1.0;14.8
LUG;186512;-;-;27;993.0;98.1;2.6;80.8;-;-4.2;13.4
LUG;186601;-;-;39;989.3;46.7;2.6;82.0;-;-3.0;13.0
LUG;186602;-;-;53;982.1;86.3;5.4;78.8;-;-2.0;14.6
LUG;186603;-;-;56;974.8;222.3;6.8;71.4;-;-0.4;19.7
LUG;186604;-;-;54;983.9;199.4;11.7;71.2;-;2.5;25.3
LUG;186605;-;-;58;981.8;313.6;13.6;76.1;-;5.5;24.2
LUG;186606;-;-;40;984.3;166.2;19.5;81.7;-;10.2;31.8
LUG;186607;-;-;28;981.1;123.7;21.6;68.2;-;11.3;34.3
LUG;186608;-;-;47;981.2;107.8;19.2;71.6;-;9.7;30.8
LUG;186609;-;-;54;983.5;159.7;17.0;79.1;-;8.3;27.5
LUG;186610;-;-;43;987.8;17.1;11.2;81.1;-;1.8;25.0
