stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
LUZ;186401;-;-;-;-;37.0;-;-;-;-;-
LUZ;186402;-;-;-;-;22.0;-;-;-;-;-
LUZ;186403;-;-;-;-;60.0;-;-;-;-;-
LUZ;186404;-;-;-;-;136.0;-;-;-;-;-
LUZ;186405;-;-;-;-;149.0;-;-;-;-;-
LUZ;186406;-;-;-;-;207.0;-;-;-;-;-
LUZ;186407;-;-;-;-;157.0;-;-;-;-;-
LUZ;186408;-;-;-;-;71.0;-;-;-;-;-
LUZ;186409;-;-;-;-;100.0;-;-;-;-;-
LUZ;186410;-;-;-;-;31.0;-;-;-;-;-
LUZ;186411;-;-;-;-;66.0;-;-;-;-;-
LUZ;186412;-;-;-;-;4.0;-;-;-;-;-
LUZ;186501;-;-;-;-;65.0;-;-;-;-;-
LUZ;186502;-;-;-;-;71.0;-;-;-;-;-
LUZ;186503;-;-;-;-;68.0;-;-;-;-;-
LUZ;186504;-;-;-;-;1.0;-;-;-;-;-
LUZ;186505;-;-;-;-;89.0;-;-;-;-;-
LUZ;186506;-;-;-;-;59.0;-;-;-;-;-
LUZ;186507;-;-;-;-;176.0;-;-;-;-;-
LUZ;186508;-;-;-;-;219.0;-;-;-;-;-
LUZ;186509;-;-;-;-;0.0;-;-;-;-;-
LUZ;186510;-;-;-;-;75.0;-;-;-;-;-
LUZ;186511;-;-;-;-;87.0;-;-;-;-;-
LUZ;186512;-;-;-;-;10.0;-;-;-;-;-
LUZ;186601;-;-;-;-;28.0;-;-;-;-;-
LUZ;186602;-;-;-;-;123.0;-;-;-;-;-
LUZ;186603;-;-;-;-;139.0;-;-;-;-;-
LUZ;186604;-;-;-;-;98.0;-;-;-;-;-
LUZ;186605;-;-;-;-;121.0;-;-;-;-;-
LUZ;186606;-;-;-;-;83.0;-;-;-;-;-
LUZ;186607;-;-;-;-;88.0;-;-;-;-;-
LUZ;186608;-;-;-;-;287.0;-;-;-;-;-
LUZ;186609;-;-;-;-;103.0;-;-;-;-;-
LUZ;186610;-;-;-;-;29.0;-;-;-;-;-
LUZ;186611;-;-;-;-;87.0;-;-;-;-;-
LUZ;186612;-;-;-;-;77.0;-;-;-;-;-
LUZ;186701;-;-;-;-;169.0;-;-;-;-;-
