stn;time;gre000m0;sre000m0;hto000m0;nto000m0;prestam0;tre200mn;tre200mx;ure200m0;rre150m0;tre200m0
MER;188907;-;-;-;-;-;-;-;-;176.1;16.4
MER;188908;-;-;-;-;-;-;-;-;108.9;15.8
MER;188909;-;-;-;-;-;-;-;-;93.8;11.8
MER;188910;-;-;-;-;-;-;-;-;182.5;7.8
MER;188911;-;-;-;-;-;-;-;-;75.2;1.7
MER;188912;-;-;-;-;-;-;-;-;41.0;-4.4
MER;189001;-;-;-;-;-;-;-;-;69.7;-0.1
MER;189002;-;-;-;-;-;-;-;-;4.1;-2.6
MER;189003;-;-;-;-;-;-;-;-;55.4;3.5
MER;189004;-;-;-;-;-;-;-;-;127.3;7.7
MER;189005;-;-;-;-;-;-;-;-;78.6;13.6
MER;189006;-;-;-;-;-;-;-;-;161.5;14.6
MER;189007;-;-;-;-;-;-;-;-;140.0;15.4
MER;189008;-;-;-;-;-;-;-;-;299.2;15.7
MER;189009;-;-;-;-;-;-;-;-;29.9;13.1
MER;189010;-;-;-;-;-;-;-;-;132.9;6.1
MER;189011;-;-;-;-;-;-;-;-;82.8;2.1
MER;189012;-;-;-;-;-;-;-;-;32.5;-4.8
MER;189101;-;-;-;-;-;-;-;-;48.2;-7.1
MER;189102;-;-;-;-;-;-;-;-;7.8;-3.7
MER;189103;-;-;-;-;-;-;-;-;81.2;3.4
MER;189104;-;-;-;-;-;-;-;-;94.9;5.9
MER;189105;-;-;-;-;-;-;-;-;114.1;12.2
MER;189106;-;-;-;-;-;-;-;-;129.8;15.6
MER;189107;-;-;-;-;-;-;-;-;273.9;15.8
MER;189108;-;-;-;-;-;-;-;-;136.2;15.2
MER;189109;-;-;-;-;-;-;-;-;77.3;13.6
MER;189110;-;-;-;-;-;-;-;-;88.2;9.3
MER;189111;-;-;-;-;-;-;-;-;77.5;2.7
MER;189112;-;-;-;-;-;-;-;-;172.0;-1.4
MER;189201;-;-;-;-;-;-;-;-;84.3;-1.7
MER;189202;-;-;-;-;-;-;-;-;115.1;1.7
MER;189203;-;-;-;-;-;-;-;-;29.8;1.8
MER;189204;-;-;-;-;-;-;-;-;86.7;7.8
MER;189205;-;-;-;-;-;-;-;-;57.0;12.7
MER;189206;-;-;-;-;-;-;-;-;145.5;15.6
MER;189207;-;-;-;-;-;-;-;-;172.6;16.5
MER;189208;-;-;-;-;-;-;-;-;159.4;17.4
MER;189209;-;-;-;-;-;-;-;-;130.5;13.1
MER;189210;-;-;-;-;-;-;-;-;88.4;8.7
MER;189211;-;-;-;-;-;-;-;-;32.3;4.6
MER;189212;-;-;-;-;-;-;-;-;67.2;-3.4
MER;189301;-;-;-;-;-;-;-;-;74.9;-6.4
MER;189302;-;-;-;-;-;-;-;-;114.0;1.3
MER;189303;-;-;-;-;-;-;-;-;29.2;5.1
MER;189304;-;-;-;-;-;-;-;-;5.3;11.7
MER;189305;-;-;-;-;-;-;-;-;112.7;12.5
MER;189306;-;-;-;-;-;-;-;-;155.6;15.4
MER;189307;-;-;-;-;-;-;-;-;246.1;16.7
MER;189308;-;-;-;-;-;-;-;-;84.8;17.5
MER;189309;-;-;-;-;-;-;-;-;128.6;13.5
MER;189310;-;-;-;-;-;-;-;-;78.1;9.9
MER;189311;-;-;-;-;-;-;-;-;91.1;2.2
MER;189312;-;-;-;-;-;-;-;-;30.9;-1.6
MER;189401;-;-;-;-;-;-;-;-;26.0;-3.0
MER;189402;-;-;-;-;-;-;-;-;90.9;-0.6
MER;189403;-;-;-;-;-;-;-;-;75.7;4.4
MER;189404;-;-;-;-;-;-;-;-;60.2;10.4
MER;189405;-;-;-;-;-;-;-;-;126.5;11.6
MER;189406;-;-;-;-;-;-;-;-;109.5;14.9
MER;189407;-;-;-;-;-;-;-;-;178.4;17.8
MER;189408;-;-;-;-;-;-;-;-;186.6;15.9
MER;189409;-;-;-;-;-;-;-;-;86.1;12.1
MER;189410;-;-;-;-;-;-;-;-;111.9;8.4
MER;189411;-;-;-;-;-;-;-;-;37.8;4.0
MER;189412;-;-;-;-;-;-;-;-;94.1;-2.7
MER;189501;-;-;-;-;-;-;-;-;83.9;-5.1
MER;189502;-;-;-;-;-;-;-;-;59.8;-6.7
MER;189503;-;-;-;-;-;-;-;-;121.1;2.2
MER;189504;-;-;-;-;-;-;-;-;76.9;9.0
MER;189505;-;-;-;-;-;-;-;-;103.1;12.3
MER;189506;-;-;-;-;-;-;-;-;123.3;15.9
MER;189507;-;-;-;-;-;-;-;-;110.1;18.0
MER;189508;-;-;-;-;-;-;-;-;156.8;16.2
MER;189509;-;-;-;-;-;-;-;-;12.6;16.2
MER;189510;-;-;-;-;-;-;-;-;150.9;7.2
MER;189511;-;-;-;-;-;-;-;-;67.7;5.2
MER;189512;-;-;-;-;-;-;-;-;183.7;-0.2
MER;189601;-;-;-;-;-;-;-;-;46.7;-4.7
MER;189602;-;-;-;-;-;-;-;-;39.8;-2.5
MER;189603;-;-;-;-;-;-;-;-;251.0;5.7
MER;189604;-;-;-;-;-;-;-;-;174.1;5.8
MER;189605;-;-;-;-;-;-;-;-;61.3;10.5
MER;189606;-;-;-;-;-;-;-;-;161.5;15.0
MER;189607;-;-;-;-;-;-;-;-;205.0;17.0
MER;189608;-;-;-;-;-;-;-;-;197.4;14.0
MER;189609;-;-;-;-;-;-;-;-;192.7;12.2
MER;189610;-;-;-;-;-;-;-;-;182.6;6.9
MER;189611;-;-;-;-;-;-;-;-;72.4;1.5
MER;189612;-;-;-;-;-;-;-;-;50.0;0.2
MER;189701;-;-;-;-;-;-;-;-;27.3;-0.9
MER;189702;-;-;-;-;-;-;-;-;197.8;2.8
MER;189703;-;-;-;-;-;-;-;-;86.6;6.5
MER;189704;-;-;-;-;-;-;-;-;93.6;7.7
MER;189705;-;-;-;-;-;-;-;-;116.5;10.6
MER;189706;-;-;-;-;-;-;-;-;99.9;16.4
MER;189707;-;-;-;-;-;-;-;-;137.8;17.6
MER;189708;-;-;-;-;-;-;-;-;227.8;16.2
MER;189709;-;-;-;-;-;-;-;-;258.2;11.9
MER;189710;-;-;-;-;-;-;-;-;24.1;6.8
MER;189711;-;-;-;-;-;-;-;-;37.7;2.1
MER;189712;-;-;-;-;-;-;-;-;61.8;-1.5
MER;189801;-;-;-;-;-;-;-;-;20.2;-1.0
MER;189802;-;-;-;-;-;-;-;-;217.7;0.0
MER;189803;-;-;-;-;-;-;-;-;76.4;2.7
MER;189804;-;-;-;-;-;-;-;-;102.5;8.3
MER;189805;-;-;-;-;-;-;-;-;135.7;11.2
MER;189806;-;-;-;-;-;-;-;-;211.6;13.8
MER;189807;-;-;-;-;-;-;-;-;194.4;15.6
MER;189808;-;-;-;-;-;-;-;-;82.3;17.7
MER;189809;-;-;-;-;-;-;-;-;58.4;15.0
MER;189810;-;-;-;-;-;-;-;-;124.9;9.8
MER;189811;-;-;-;-;-;-;-;-;120.3;5.0
MER;189812;-;-;-;-;-;-;-;-;82.9;-2.5
MER;189901;-;-;-;-;-;-;-;-;196.2;0.6
MER;189902;-;-;-;-;-;-;-;-;20.9;1.3
MER;189903;-;-;-;-;-;-;-;-;49.0;3.8
MER;189904;-;-;-;-;-;-;-;-;144.6;7.5
MER;189905;-;-;-;-;-;-;-;-;141.1;11.5
MER;189906;-;-;-;-;-;-;-;-;93.5;15.6
MER;189907;-;-;-;-;-;-;-;-;94.0;17.1
MER;189908;-;-;-;-;-;-;-;-;101.1;17.6
MER;189909;-;-;-;-;-;-;-;-;159.8;13.0
MER;189910;-;-;-;-;-;-;-;-;65.9;9.1
MER;189911;-;-;-;-;-;-;-;-;25.5;3.3
MER;189912;-;-;-;-;-;-;-;-;98.1;-2.3
MER;190001;-;-;-;-;-;-;-;-;151.4;0.0
MER;190002;-;-;-;-;-;-;-;-;107.6;2.6
MER;190003;-;-;-;-;-;-;-;-;76.0;0.9
MER;190004;-;-;-;-;-;-;-;-;101.2;7.0
MER;190005;-;-;-;-;-;-;-;-;128.3;11.4
MER;190006;-;-;-;-;-;-;-;-;86.3;16.3
MER;190007;-;-;-;-;-;-;-;-;232.2;17.7
MER;190008;-;-;-;-;-;-;-;-;120.9;15.7
MER;190009;-;-;-;-;-;-;-;-;34.9;15.2
MER;190010;-;-;-;-;-;-;-;-;80.3;8.5
MER;190011;-;-;-;-;-;-;-;-;77.3;4.7
MER;190012;-;-;-;-;-;-;-;-;123.5;0.1
MER;190101;-;-;-;-;-;-;-;-;93.5;-2.4
MER;190102;-;-;-;-;-;-;-;-;46.6;-5.0
MER;190103;-;-;-;-;-;-;-;-;104.1;2.4
MER;190104;-;-;-;-;-;-;-;-;233.2;8.2
MER;190105;-;-;-;-;-;-;-;-;57.2;12.2
MER;190106;-;-;-;-;-;-;-;-;173.9;15.7
MER;190107;-;-;-;-;-;-;-;-;161.1;17.5
MER;190108;-;-;-;-;-;-;-;-;203.4;15.9
MER;190109;-;-;-;-;-;-;-;-;181.9;14.3
MER;190110;-;-;-;-;-;-;-;-;104.0;8.2
MER;190111;-;-;-;-;-;-;-;-;36.2;0.8
MER;190112;-;-;-;-;-;-;-;-;91.7;-0.3
MER;190201;-;-;-;-;-;-;-;-;68.1;-1.1
MER;190202;-;-;-;-;-;-;-;-;74.8;-0.3
MER;190203;-;-;-;-;-;-;-;-;227.8;3.3
