stn;time;gre000m0;hto000m0;nto000m0;prestam0;ure200m0;rre150m0;tre200m0;sre000m0;tre200mn;tre200mx
NEU;186401;-;-;-;-;-;23.1;-4.8;-;-;-
NEU;186402;-;-;-;-;-;24.4;0.3;-;-;-
NEU;186403;-;-;-;-;-;71.1;5.8;-;-;-
NEU;186404;-;-;-;-;-;35.0;9.0;-;-;-
NEU;186405;-;-;-;-;-;73.2;14.1;-;-;-
NEU;186406;-;-;-;-;-;195.9;15.7;-;-;-
NEU;186407;-;-;-;-;-;33.8;19.2;-;-;-
NEU;186408;-;-;-;-;-;52.3;17.6;-;-;-
NEU;186409;-;-;-;-;-;73.7;13.9;-;-;-
NEU;186410;-;-;-;-;-;59.3;8.0;-;-;-
NEU;186411;-;-;-;-;-;83.0;3.7;-;-;-
NEU;186412;-;-;-;-;-;11.0;-2.5;-;-9.1;3.1
NEU;186501;-;-;-;-;-;105.3;1.3;-;-7.2;12.3
NEU;186502;-;-;-;-;-;85.4;-0.9;-;-13.4;8.2
NEU;186503;-;-;-;-;-;43.5;0.4;-;-9.7;8.5
NEU;186504;-;-;-;-;-;12.5;13.8;-;-2.6;27.2
NEU;186505;-;-;-;-;-;65.2;16.1;-;4.2;28.0
NEU;186506;-;-;-;-;-;39.1;18.1;-;5.1;30.8
NEU;186507;-;-;-;-;-;90.6;20.3;-;6.2;33.0
NEU;186508;-;-;-;-;-;122.3;16.9;-;5.2;28.4
NEU;186509;-;-;-;-;-;0.0;18.0;-;6.4;28.5
NEU;186510;-;-;-;-;-;184.8;10.7;-;1.7;22.5
NEU;186511;-;-;-;-;-;68.8;5.3;-;-4.7;16.3
NEU;186512;-;-;-;-;-;14.3;-0.8;-;-8.4;7.0
NEU;186601;-;-;-;-;-;66.6;2.8;-;-3.6;11.2
NEU;186602;-;-;-;-;-;136.0;4.6;-;-4.2;13.2
NEU;186603;-;-;-;-;-;137.5;4.7;-;-3.6;16.2
NEU;186604;-;-;-;-;-;65.4;10.3;-;-1.2;23.5
NEU;186605;-;-;-;-;-;148.8;11.2;-;-0.7;23.5
NEU;186606;-;-;-;-;-;30.5;18.7;-;6.1;30.4
NEU;186607;-;-;-;-;-;61.3;18.6;-;7.2;32.6
NEU;186608;-;-;-;-;-;144.2;16.0;-;5.8;26.0
NEU;186609;-;-;-;-;-;70.4;15.2;-;5.4;25.6
NEU;186610;-;-;-;-;-;50.9;10.1;-;0.5;22.6
NEU;186611;-;-;-;-;-;87.5;4.9;-;-5.8;15.2
NEU;186612;-;-;-;-;-;89.3;3.1;-;-6.5;10.1
NEU;186701;-;-;-;-;-;155.4;0.0;-;-10.2;9.1
NEU;186702;-;-;-;-;-;42.7;5.8;-;-1.9;12.0
NEU;186703;-;-;-;-;-;130.2;4.6;-;-6.3;15.7
NEU;186704;-;-;-;-;-;148.8;9.1;-;-1.0;20.3
NEU;186705;-;-;-;-;-;61.7;13.6;-;-2.1;27.8
NEU;186706;-;-;-;-;-;155.0;16.9;-;2.9;28.8
NEU;186707;-;-;-;-;-;38.5;17.6;-;5.8;31.3
NEU;186708;-;-;-;-;-;62.1;19.2;-;6.5;32.0
NEU;186709;-;-;-;-;-;68.3;15.9;-;1.2;28.5
NEU;186710;-;-;-;-;-;106.1;7.6;-;-0.1;16.2
NEU;186711;-;-;-;-;-;9.0;2.5;-;-8.4;14.1
NEU;186712;-;-;-;-;-;33.5;-0.9;-;-;-
NEU;186801;-;-;-;959.0;-;46.4;-1.2;-;-12.9;10.2
NEU;186802;-;-;-;967.8;-;5.3;3.4;-;-4.7;13.8
NEU;186803;-;-;-;959.4;-;77.0;3.9;-;-5.7;13.3
NEU;186804;-;-;-;958.9;-;62.1;8.3;-;-2.0;21.3
NEU;186805;-;-;-;960.6;-;19.5;18.7;-;5.0;32.2
NEU;186806;-;-;-;962.8;-;37.5;18.9;-;6.0;31.0
NEU;186807;-;-;-;960.3;-;82.0;19.9;-;7.0;33.2
