stn;time;gre000m0;hto000m0;nto000m0;prestam0;sre000m0;tre200mn;tre200mx;ure200m0;rre150m0;tre200m0
OTL;186401;-;-;-;-;-;-;-;-;-;-1.2
OTL;186402;-;-;-;-;-;-;-;-;-;2.4
OTL;186403;-;-;-;-;-;-;-;-;-;7.7
OTL;186404;-;-;-;-;-;-;-;-;-;11.7
OTL;186405;-;-;-;-;-;-;-;-;-;15.5
OTL;186406;-;-;-;-;-;-;-;-;-;18.7
OTL;186407;-;-;-;-;-;-;-;-;-;21.4
OTL;186408;-;-;-;-;-;-;-;-;-;20.0
OTL;186409;-;-;-;-;-;-;-;-;-;16.4
OTL;186410;-;-;-;-;-;-;-;-;-;10.4
OTL;186411;-;-;-;-;-;-;-;-;-;7.6
OTL;186412;-;-;-;-;-;-;-;-;-;3.6
OTL;186501;-;-;-;-;-;-;-;-;-;2.4
OTL;186502;-;-;-;-;-;-;-;-;-;3.2
OTL;186503;-;-;-;-;-;-;-;-;-;4.4
OTL;186504;-;-;-;-;-;-;-;-;-;14.4
OTL;186505;-;-;-;-;-;-;-;-;-;16.9
OTL;186506;-;-;-;-;-;-;-;-;-;20.2
OTL;186507;-;-;-;-;-;-;-;-;-;21.7
OTL;186508;-;-;-;-;-;-;-;-;-;19.4
OTL;186509;-;-;-;-;-;-;-;-;-;19.0
OTL;186510;-;-;-;-;-;-;-;-;-;11.6
OTL;186511;-;-;-;-;-;-;-;-;-;7.8
OTL;186512;-;-;-;-;-;-;-;-;-;3.4
OTL;186601;-;-;-;-;-;-;-;-;-;3.3
OTL;186602;-;-;-;-;-;-;-;-;-;6.2
OTL;186603;-;-;-;-;-;-;-;-;-;6.9
OTL;186604;-;-;-;-;-;-;-;-;-;11.6
OTL;186605;-;-;-;-;-;-;-;-;-;13.8
OTL;186606;-;-;-;-;-;-;-;-;-;19.4
OTL;186607;-;-;-;-;-;-;-;-;-;21.3
OTL;186608;-;-;-;-;-;-;-;-;-;19.0
OTL;186609;-;-;-;-;-;-;-;-;-;16.8
OTL;186610;-;-;-;-;-;-;-;-;-;11.2
OTL;186611;-;-;-;-;-;-;-;-;-;7.0
OTL;186612;-;-;-;-;-;-;-;-;-;5.0
OTL;186701;-;-;-;-;-;-;-;-;-;2.9
OTL;186702;-;-;-;-;-;-;-;-;-;7.2
OTL;186703;-;-;-;-;-;-;-;-;-;7.9
OTL;186704;-;-;-;-;-;-;-;-;-;13.7
OTL;186705;-;-;-;-;-;-;-;-;-;15.5
OTL;186706;-;-;-;-;-;-;-;-;-;20.1
OTL;186707;-;-;-;-;-;-;-;-;-;20.8
OTL;186708;-;-;-;-;-;-;-;-;-;21.1
OTL;186709;-;-;-;-;-;-;-;-;-;18.3
OTL;186710;-;-;-;-;-;-;-;-;-;10.4
OTL;186711;-;-;-;-;-;-;-;-;-;7.2
OTL;186712;-;-;-;-;-;-;-;-;-;4.0
OTL;186801;-;-;-;-;-;-;-;-;-;1.0
OTL;186802;-;-;-;-;-;-;-;-;-;6.0
OTL;186803;-;-;-;-;-;-;-;-;-;8.2
OTL;186804;-;-;-;-;-;-;-;-;-;12.1
OTL;186805;-;-;-;-;-;-;-;-;-;19.4
OTL;186806;-;-;-;-;-;-;-;-;-;20.7
OTL;186807;-;-;-;-;-;-;-;-;-;21.5
OTL;186808;-;-;-;-;-;-;-;-;-;20.8
OTL;186809;-;-;-;-;-;-;-;-;-;17.9
OTL;186810;-;-;-;-;-;-;-;-;-;12.9
OTL;186811;-;-;-;-;-;-;-;-;-;5.4
OTL;186812;-;-;-;-;-;-;-;-;-;5.9
OTL;186901;-;-;-;-;-;-;-;-;-;2.0
OTL;186902;-;-;-;-;-;-;-;-;-;7.1
OTL;186903;-;-;-;-;-;-;-;-;-;5.4
OTL;186904;-;-;-;-;-;-;-;-;-;12.8
OTL;186905;-;-;-;-;-;-;-;-;-;16.5
OTL;186906;-;-;-;-;-;-;-;-;-;17.9
OTL;186907;-;-;-;-;-;-;-;-;-;23.1
OTL;186908;-;-;-;-;-;-;-;-;-;20.2
OTL;186909;-;-;-;-;-;-;-;-;-;18.5
OTL;186910;-;-;-;-;-;-;-;-;-;11.1
OTL;186911;-;-;-;-;-;-;-;-;-;6.3
OTL;186912;-;-;-;-;-;-;-;-;-;3.2
OTL;187001;-;-;-;-;-;-;-;-;-;1.5
OTL;187002;-;-;-;-;-;-;-;-;-;3.0
OTL;187003;-;-;-;-;-;-;-;-;-;7.4
OTL;187004;-;-;-;-;-;-;-;-;-;11.9
OTL;187005;-;-;-;-;-;-;-;-;-;17.4
OTL;187006;-;-;-;-;-;-;-;-;-;20.7
OTL;187007;-;-;-;-;-;-;-;-;-;23.0
OTL;187008;-;-;-;-;-;-;-;-;-;19.2
OTL;187009;-;-;-;-;-;-;-;-;-;16.8
OTL;187010;-;-;-;-;-;-;-;-;-;11.5
OTL;187011;-;-;-;-;-;-;-;-;-;7.2
OTL;187012;-;-;-;-;-;-;-;-;-;2.8
OTL;187101;-;-;-;-;-;-;-;-;-;1.3
OTL;187102;-;-;-;-;-;-;-;-;-;4.0
OTL;187103;-;-;-;-;-;-;-;-;-;8.5
OTL;187104;-;-;-;-;-;-;-;-;-;12.7
OTL;187105;-;-;-;-;-;-;-;-;-;15.9
OTL;187106;-;-;-;-;-;-;-;-;-;16.6
OTL;187107;-;-;-;-;-;-;-;-;-;22.1
OTL;187108;-;-;-;-;-;-;-;-;-;21.2
OTL;187109;-;-;-;-;-;-;-;-;-;19.5
OTL;187110;-;-;-;-;-;-;-;-;-;11.6
OTL;187111;-;-;-;-;-;-;-;-;-;6.6
OTL;187112;-;-;-;-;-;-;-;-;-;-0.2
OTL;187201;-;-;-;-;-;-;-;-;-;2.5
OTL;187202;-;-;-;-;-;-;-;-;-;3.9
OTL;187203;-;-;-;-;-;-;-;-;-;7.4
OTL;187204;-;-;-;-;-;-;-;-;-;12.6
OTL;187205;-;-;-;-;-;-;-;-;-;13.8
OTL;187206;-;-;-;-;-;-;-;-;-;18.5
OTL;187207;-;-;-;-;-;-;-;-;-;21.5
OTL;187208;-;-;-;-;-;-;-;-;-;19.5
OTL;187209;-;-;-;-;-;-;-;-;-;18.3
OTL;187210;-;-;-;-;-;-;-;-;-;12.7
OTL;187211;-;-;-;-;-;-;-;-;-;7.6
OTL;187212;-;-;-;-;-;-;-;-;-;5.2
OTL;187301;-;-;-;-;-;-;-;-;-;4.3
OTL;187302;-;-;-;-;-;-;-;-;-;4.1
OTL;187303;-;-;-;-;-;-;-;-;-;9.1
OTL;187304;-;-;-;-;-;-;-;-;-;11.4
OTL;187305;-;-;-;-;-;-;-;-;-;15.2
OTL;187306;-;-;-;-;-;-;-;-;-;19.1
OTL;187307;-;-;-;-;-;-;-;-;-;22.5
OTL;187308;-;-;-;-;-;-;-;-;-;21.9
OTL;187309;-;-;-;-;-;-;-;-;-;16.3
OTL;187310;-;-;-;-;-;-;-;-;-;13.3
