stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
PAY;196408;-;-;54;959.6;75.4;14406;17.3;5.7;31.6;73.1
PAY;196409;-;-;48;963.5;57.6;11508;14.4;1.4;27.5;82.3
PAY;196410;-;-;81;958.7;99.7;5238;8.0;-0.7;20.7;86.3
PAY;196411;-;-;90;962.5;44.7;1812;5.1;-1.4;14.7;90.6
PAY;196412;-;-;86;957.7;22.4;2010;-0.6;-15.1;7.0;91.1
PAY;196501;-;-;80;955.9;56.7;2520;0.2;-10.5;9.5;89.6
PAY;196502;-;-;53;962.4;11.8;9366;-2.5;-12.5;9.6;81.7
PAY;196503;-;-;63;958.8;111.5;9270;3.6;-14.2;17.8;81.0
PAY;196504;-;-;73;955.4;71.1;7374;7.0;-1.4;19.6;76.9
PAY;196505;-;-;69;958.3;96.0;11958;11.8;1.3;25.8;75.5
PAY;196506;-;-;66;959.4;68.0;12204;16.1;4.7;31.5;77.5
PAY;196507;-;-;65;958.8;235.9;12372;16.4;5.4;29.3;78.1
PAY;196508;-;-;64;959.7;95.0;12492;16.0;7.1;29.2;79.5
PAY;196509;-;-;69;956.9;172.5;8562;11.8;4.0;24.4;86.6
PAY;196510;-;-;81;963.3;38.8;3972;8.8;0.1;18.1;94.4
PAY;196511;-;-;89;953.3;147.1;1260;4.3;-7.0;17.4;87.3
PAY;196512;-;-;84;953.8;175.5;2880;3.0;-4.5;11.6;88.8
PAY;196601;-;-;70;956.4;76.7;4422;-2.4;-21.0;10.1;86.9
PAY;196602;-;-;80;952.2;112.6;3552;5.0;-3.9;15.6;88.9
PAY;196603;-;-;64;962.3;49.8;9534;3.7;-4.9;13.9;79.4
PAY;196604;-;-;73;954.5;127.4;8472;9.6;-1.3;19.5;79.9
PAY;196605;-;-;59;960.2;101.7;14196;13.0;3.0;25.8;75.0
PAY;196606;-;-;54;959.8;44.0;15804;17.2;4.6;30.3;72.5
PAY;196607;-;-;60;958.4;109.0;13422;16.4;6.0;30.1;74.7
PAY;196608;-;-;66;959.0;106.8;11292;16.0;5.6;32.5;78.0
PAY;196609;-;-;54;961.4;48.9;10662;15.1;5.4;29.4;81.8
PAY;196610;-;-;75;953.4;72.6;5784;11.7;0.7;23.8;87.8
PAY;196611;-;-;83;957.3;68.1;3042;2.1;-5.4;12.2;88.1
PAY;196612;-;-;81;957.4;98.1;2904;2.0;-9.2;10.6;88.3
PAY;196701;-;-;76;962.9;56.5;3678;-0.2;-14.5;10.2;90.5
PAY;196702;-;-;58;961.4;65.5;6630;2.3;-9.0;14.6;83.7
PAY;196703;-;-;65;962.9;100.1;7902;5.9;-2.7;17.6;79.6
PAY;196704;-;-;58;956.9;17.1;11292;7.2;-3.5;20.5;73.8
PAY;196705;-;-;66;957.0;118.5;12294;11.7;-2.7;26.0;78.2
PAY;196706;-;-;53;962.3;59.2;14844;14.8;3.0;30.0;74.3
PAY;196707;-;-;45;961.9;38.3;17766;19.5;7.8;31.8;73.0
PAY;196708;-;-;53;960.2;94.7;14172;17.4;7.2;31.0;77.7
PAY;196709;-;-;65;959.1;89.7;8610;13.6;4.5;27.8;84.8
PAY;196710;-;-;51;960.7;53.3;10302;11.4;-0.3;24.0;85.5
PAY;196711;-;-;80;960.1;169.9;3576;4.2;-5.0;13.9;92.4
PAY;196712;-;-;73;960.2;56.5;3900;-0.9;-12.7;10.5;88.0
PAY;196801;-;-;80;960.6;98.3;3462;-0.6;-19.8;9.0;87.8
PAY;196802;-;-;78;954.5;68.5;4680;1.8;-5.9;10.9;90.3
PAY;196803;-;-;58;959.7;35.1;9240;4.9;-5.5;19.8;77.4
PAY;196804;-;-;58;957.6;93.0;12108;9.2;-3.6;26.4;74.6
PAY;196805;-;-;73;957.7;85.6;10842;11.5;-0.5;23.6;77.6
PAY;196806;-;-;55;960.0;45.9;15294;15.5;3.8;31.0;72.6
PAY;196807;-;-;55;961.8;121.2;15840;17.1;7.3;32.0;75.7
PAY;196808;-;-;66;958.2;285.1;10188;15.4;5.3;25.8;82.8
