stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;tre200mn;tre200mx;ure200m0;sre000m0
RAG;187006;-;-;-;957.5;56.9;17.5;-;-;-;-
RAG;187007;-;-;-;958.7;97.0;20.3;-;-;-;-
RAG;187008;-;-;-;954.7;100.7;15.9;-;-;-;-
RAG;187009;-;-;-;961.8;95.9;13.3;-;-;-;-
RAG;187010;-;-;-;954.3;217.7;8.7;-;-;-;-
RAG;187011;-;-;-;951.4;165.4;5.6;-;-;-;-
RAG;187012;-;-;-;947.7;54.5;-2.7;-;-;-;-
RAG;187101;-;-;-;949.3;63.4;-4.8;-;-;-;-
RAG;187102;-;-;-;960.2;39.0;2.0;-;-;-;-
RAG;187103;-;-;-;958.2;68.9;6.0;-;-;-;-
RAG;187104;-;-;-;953.9;205.4;9.2;-;-;-;-
RAG;187105;-;-;-;955.8;79.7;12.6;-;-;-;-
RAG;187106;-;-;-;954.0;200.6;13.6;-;-;-;-
RAG;187107;-;-;-;958.8;210.9;19.1;-;-;-;-
RAG;187108;-;-;-;960.8;89.4;18.1;-;-;-;-
RAG;187109;-;-;-;956.5;65.5;16.8;-;-;-;-
RAG;187110;-;-;-;957.3;98.2;7.2;-;-;-;-
RAG;187111;-;-;-;950.7;64.6;1.0;-;-;-;-
RAG;187112;-;-;-;958.5;14.9;-8.1;-;-;-;-
RAG;187201;-;-;-;950.8;49.8;1.3;-;-;-;-
RAG;187202;-;-;-;955.6;43.5;2.6;-;-;-;-
RAG;187203;-;-;-;951.8;68.6;6.4;-;-;-;-
RAG;187204;-;-;-;952.7;137.0;10.4;-;-;-;-
RAG;187205;-;-;-;954.3;235.0;12.8;-;-;-;-
RAG;187206;-;-;-;957.6;242.5;16.1;-;-;-;-
RAG;187207;-;-;-;958.4;131.5;19.5;-;-;-;-
RAG;187208;-;-;-;958.1;280.7;16.2;-;-;-;-
RAG;187209;-;-;-;958.5;92.0;15.3;-;-;-;-
RAG;187210;-;-;-;952.7;268.2;11.9;-;-;-;-
RAG;187211;-;-;-;953.8;37.4;7.5;-;-;-;-
RAG;187212;-;-;-;950.5;164.2;5.6;-;-;-;-
RAG;187301;-;-;-;955.4;24.7;2.4;-;-;-;-
RAG;187302;-;-;-;955.7;20.2;1.0;-;-;-;-
RAG;187303;-;-;-;950.4;46.9;8.6;-;-;-;-
RAG;187304;-;-;-;951.4;109.8;8.5;-;-;-;-
RAG;187305;-;-;-;955.7;147.2;11.0;-;-;-;-
RAG;187306;-;-;-;958.4;79.3;17.3;-;-;-;-
RAG;187307;-;-;-;961.1;202.1;20.4;-;-;-;-
RAG;187308;-;-;-;961.1;183.9;19.2;-;-;-;-
RAG;187309;-;-;-;959.7;217.1;13.9;-;-;-;-
RAG;187310;-;-;-;956.0;279.0;10.7;-;-;-;-
RAG;187311;-;-;-;954.2;90.3;5.6;-;-;-;-
RAG;187312;-;-;-;965.0;71.5;-1.7;-;-;-;-
RAG;187401;-;-;-;962.1;34.0;0.1;-;-;-;-
RAG;187402;-;-;-;958.2;17.7;1.1;-;-;-;-
RAG;187403;-;-;-;961.8;58.5;4.0;-;-;-;-
RAG;187404;-;-;-;953.2;131.8;10.9;-;-;-;-
RAG;187405;-;-;-;953.1;115.7;10.0;-;-;-;-
RAG;187406;-;-;-;960.3;171.5;17.6;-;-;-;-
RAG;187407;-;-;-;960.1;340.4;21.1;-;-;-;-
RAG;187408;-;-;-;959.5;307.1;16.4;-;-;-;-
RAG;187409;-;-;-;960.8;76.5;17.4;-;-;-;-
RAG;187410;-;-;-;959.1;29.5;10.8;-;-;-;-
RAG;187411;-;-;-;954.2;233.0;0.8;-;-;-;-
RAG;187412;-;-;-;947.2;123.0;-0.2;-;-;-;-
RAG;187501;-;-;-;959.8;201.2;0.7;-;-;-;-
RAG;187502;-;-;-;953.0;48.6;-3.4;-;-;-;-
RAG;187503;-;-;-;957.0;49.9;2.0;-;-;-;-
RAG;187504;-;-;-;956.1;39.0;9.4;-;-;-;-
RAG;187505;-;-;-;958.7;113.0;15.9;-;-;-;-
RAG;187506;-;-;-;958.0;221.5;17.9;-;-;-;-
RAG;187507;-;-;-;957.6;186.8;17.8;-;-;-;-
RAG;187508;-;-;-;960.7;179.1;19.3;-;-;-;-
RAG;187509;-;-;-;961.2;201.5;16.1;-;-;-;-
RAG;187510;-;-;-;952.6;262.5;8.7;-;-;-;-
RAG;187511;-;-;-;950.9;161.0;3.5;-;-;-;-
RAG;187512;-;-;-;958.4;35.5;-3.9;-;-;-;-
RAG;187601;-;-;-;962.4;105.0;-2.0;-;-;-;-
RAG;187602;-;-;-;953.7;243.0;1.7;-;-;-;-
RAG;187603;-;-;-;947.0;302.0;5.2;-;-;-;-
RAG;187604;-;-;-;953.1;178.5;10.2;-;-;-;-
RAG;187605;-;-;-;955.2;157.0;10.2;-;-;-;-
RAG;187606;-;-;-;955.7;278.0;17.0;-;-;-;-
RAG;187607;-;-;-;961.3;83.5;19.4;-;-;-;-
RAG;187608;-;-;-;958.8;63.0;18.8;-;-;-;-
RAG;187609;-;-;-;956.1;94.5;13.8;-;-;-;-
RAG;187610;-;-;-;956.9;24.0;12.8;-;-;-;-
RAG;187611;-;-;-;954.0;108.0;3.8;-;-;-;-
RAG;187612;-;-;-;946.9;66.8;4.4;-;-;-;-
RAG;187701;-;-;-;957.0;52.0;3.9;-;-;-;-
RAG;187702;-;-;-;955.1;247.0;2.6;-;-;-;-
RAG;187703;-;-;-;947.8;143.5;3.3;-;-;-;-
RAG;187704;-;-;-;948.5;171.5;8.5;-;-;-;-
RAG;187705;-;-;-;952.9;85.9;11.4;-;-;-;-
RAG;187706;-;-;-;960.9;57.0;19.9;-;-;-;-
RAG;187707;-;-;-;959.6;279.5;17.2;-;-;-;-
RAG;187708;-;-;-;959.1;171.0;19.2;-;-;-;-
RAG;187709;-;-;-;958.1;13.0;12.7;-;-;-;-
RAG;187710;-;-;-;958.9;69.0;7.7;-;-;-;-
RAG;187711;-;-;-;952.9;132.5;5.2;-;-;-;-
RAG;187712;-;-;-;955.9;182.4;-0.6;-;-;-;-
RAG;187801;-;-;-;958.9;118.5;-3.3;-;-;-;-
RAG;187802;-;-;-;964.4;13.0;-1.0;-;-;-;-
RAG;187803;-;-;-;954.7;166.5;2.5;-;-;-;-
RAG;187804;-;-;-;951.7;71.0;9.4;-;-;-;-
RAG;187805;-;-;-;954.6;110.0;14.5;-;-;-;-
RAG;187806;-;-;-;957.6;140.0;15.8;-;-;-;-
RAG;187807;-;-;-;958.4;161.0;16.5;-;-;-;-
RAG;187808;-;-;-;955.5;174.1;17.3;-;-;-;-
RAG;187809;-;-;-;958.4;88.5;14.0;-;-;-;-
RAG;187810;-;-;-;955.4;139.0;10.2;-;-;-;-
RAG;187811;-;-;-;949.1;98.5;3.5;-;-;-;-
RAG;187812;-;-;-;946.5;39.5;-0.6;-;-;-;-
RAG;187901;-;-;-;953.4;54.5;0.6;-;-;-;-
RAG;187902;-;-;-;942.8;36.0;2.9;-;-;-;-
RAG;187903;-;-;-;955.0;34.0;5.4;-;-;-;-
RAG;187904;-;-;-;945.4;95.0;8.1;-;-;-;-
RAG;187905;-;-;-;954.0;106.0;10.2;-;-;-;-
RAG;187906;-;-;-;957.9;85.5;16.9;-;-;-;-
RAG;187907;-;-;-;957.1;161.3;15.4;-;-;-;-
RAG;187908;-;-;-;959.0;118.0;19.4;-;-;-;-
RAG;187909;-;-;-;959.5;74.5;14.6;-;-;-;-
RAG;187910;-;-;-;960.1;56.0;7.3;-;-;-;-
RAG;187911;-;-;-;957.5;146.5;1.3;-;-;-;-
RAG;187912;-;-;-;964.1;35.0;-8.4;-;-;-;-
RAG;188001;-;-;-;965.5;34.0;-6.7;-;-;-;-
RAG;188002;-;-;-;955.7;38.0;1.9;-;-;-;-
RAG;188003;-;-;-;959.7;67.0;7.2;-;-;-;-
RAG;188004;-;-;-;951.8;94.5;9.8;-;-;-;-
RAG;188005;-;-;-;954.9;29.5;11.9;-;-;-;-
RAG;188006;-;-;-;956.0;238.0;14.8;-;-;-;-
RAG;188007;-;-;-;959.2;108.5;19.0;-;-;-;-
RAG;188008;-;-;-;956.3;247.0;16.2;-;-;-;-
RAG;188009;-;-;-;959.8;230.0;14.4;-;-;-;-
RAG;188010;-;-;-;954.4;224.5;10.2;-;-;-;-
RAG;188011;-;-;-;957.0;109.5;5.3;-;-;-;-
RAG;188012;-;-;-;957.1;91.5;4.2;-;-;-;-
RAG;188101;-;-;-;949.4;10.0;-1.6;-;-;-;-
RAG;188102;-;-;-;950.9;32.5;2.7;-;-;-;-
RAG;188103;-;-;-;953.7;76.0;6.5;-;-;-;-
RAG;188104;-;-;-;950.5;110.5;8.7;-;-;-;-
RAG;188105;-;-;-;952.0;48.0;10.9;-;-;-;-
RAG;188106;-;-;-;954.6;78.0;16.5;-;-;-;-
