stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;ure200m0;sre000m0;tre200m0;tre200mn;tre200mx
SAE;186401;-;-;-;-;-;-;-;-9.4;-;-
SAE;186402;-;-;-;-;-;-;-;-9.9;-;-
SAE;186403;-;-;-;-;-;-;-;-6.7;-;-
SAE;186404;-;-;-;-;-;-;-;-6.0;-;-
SAE;186405;-;-;-;-;-;-;-;-0.8;-;-
SAE;186406;-;-;-;-;-;-;-;1.5;-;-
SAE;186407;-;-;-;-;-;-;-;4.6;-;-
SAE;186408;-;-;-;-;-;-;-;3.7;-;-
SAE;186409;-;-;-;-;-;-;-;2.3;-;-
SAE;186410;-;-;-;-;-;-;-;-2.2;-;-
SAE;186411;-;-;-;-;-;-;-;-6.5;-;-
SAE;186412;-;-;-;-;-;-;-;-7.0;-;-
SAE;186501;-;-;-;-;-;-;-;-9.2;-;-
SAE;186502;-;-;-;-;-;-;-;-12.6;-;-
SAE;186503;-;-;-;-;-;-;-;-13.7;-;-
SAE;186504;-;-;-;-;-;-;-;0.5;-;-
SAE;186505;-;-;-;-;-;-;-;3.4;-;-
SAE;186506;-;-;-;-;-;-;-;2.4;-;-
SAE;186507;-;-;-;-;-;-;-;6.7;-;-
SAE;186508;-;-;-;-;-;-;-;4.2;-;-
SAE;186509;-;-;-;-;-;-;-;6.7;-;-
SAE;186510;-;-;-;-;-;-;-;-1.0;-;-
SAE;186511;-;-;-;-;-;-;-;-4.0;-;-
SAE;186512;-;-;-;-;-;-;-;-5.3;-;-
SAE;186601;-;-;-;-;-;-;-;-6.1;-;-
SAE;186602;-;-;-;-;-;-;-;-7.2;-;-
SAE;186603;-;-;-;-;-;-;-;-8.2;-;-
SAE;186604;-;-;-;-;-;-;-;-2.9;-;-
SAE;186605;-;-;-;-;-;-;-;-3.3;-;-
SAE;186606;-;-;-;-;-;-;-;4.4;-;-
SAE;186607;-;-;-;-;-;-;-;4.6;-;-
SAE;186608;-;-;-;-;-;-;-;2.5;-;-
SAE;186609;-;-;-;-;-;-;-;3.6;-;-
SAE;186610;-;-;-;-;-;-;-;0.2;-;-
SAE;186611;-;-;-;-;-;-;-;-6.9;-;-
SAE;186612;-;-;-;-;-;-;-;-4.7;-;-
SAE;186701;-;-;-;-;-;-;-;-9.3;-;-
SAE;186702;-;-;-;-;-;-;-;-5.9;-;-
SAE;186703;-;-;-;-;-;-;-;-6.9;-;-
SAE;186704;-;-;-;-;-;-;-;-4.6;-;-
SAE;186705;-;-;-;-;-;-;-;0.2;-;-
SAE;186706;-;-;-;-;-;-;-;2.7;-;-
