stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
SAM;198001;-;103;59;823.1;26.2;5958;-11.4;-32.4;5.6;83.0
SAM;198002;-;84;40;829.2;4.5;9012;-7.8;-26.2;7.3;74.2
SAM;198003;-;59;60;820.7;14.0;7998;-4.1;-22.5;9.9;77.6
SAM;198004;-;25;66;825.0;6.3;7416;-2.2;-17.3;8.8;68.2
SAM;198005;-;0;76;824.1;39.2;7698;4.3;-5.1;15.1;71.4
SAM;198006;-;0;69;828.2;115.3;8808;7.7;-3.4;22.5;67.8
SAM;198007;-;0;63;829.3;98.8;10098;9.0;-3.2;23.0;72.2
SAM;198008;-;0;50;832.6;47.5;12942;11.7;-6.7;25.1;71.1
SAM;198009;-;0;40;834.9;16.8;12342;8.2;-6.4;22.3;64.5
SAM;198010;-;2;59;826.4;182.7;7152;0.5;-14.5;18.3;76.6
SAM;198011;-;6;54;826.0;13.7;6030;-3.9;-24.8;7.3;77.3
SAM;198012;-;21;49;827.2;7.3;6162;-10.1;-27.2;4.5;77.0
SAM;198101;70;41;50;826.8;23.5;6427;-11.2;-31.0;7.2;73.7
SAM;198102;124;34;33;825.9;2.0;9446;-10.8;-29.3;7.6;77.1
SAM;198103;149;14;64;824.4;79.5;7546;-1.4;-22.9;12.5;76.0
SAM;198104;226;0;56;827.2;10.1;11386;2.8;-15.0;16.7;66.4
SAM;198105;209;1;73;826.6;125.6;8233;5.4;-7.8;19.4;70.6
SAM;198106;253;0;58;831.9;46.6;11767;9.3;-4.9;23.6;64.2
SAM;198107;226;0;65;832.6;180.6;9996;9.8;-1.5;23.9;68.1
SAM;198108;236;0;48;833.9;32.5;14034;11.0;-4.7;25.0;64.1
SAM;198109;119;0;76;831.9;145.7;5299;8.5;-2.7;20.5;76.3
SAM;198110;112;10;60;827.6;55.2;7505;2.2;-21.4;17.7;73.4
SAM;198111;84;21;39;833.1;14.5;7964;-5.8;-29.9;11.4;72.8
SAM;198112;51;56;69;814.7;57.9;3798;-7.7;-34.4;4.8;74.8
SAM;198201;67;85;54;827.9;35.4;6401;-7.2;-27.6;4.9;77.0
SAM;198202;116;101;41;828.4;3.3;7898;-9.6;-30.3;6.8;74.4
SAM;198203;169;77;63;826.6;17.8;7903;-5.2;-25.6;8.9;68.8
SAM;198204;253;17;44;826.1;0.4;13884;0.4;-14.2;10.9;58.2
SAM;198205;257;1;54;832.3;62.1;12349;6.0;-6.6;18.0;61.1
SAM;198206;229;0;69;831.3;139.4;9509;10.3;-3.0;20.3;62.4
SAM;198207;242;0;60;833.8;85.4;12191;12.8;-0.6;25.4;59.4
SAM;198208;182;0;64;832.6;146.8;9028;10.3;-4.4;22.8;67.5
SAM;198209;162;0;56;835.0;47.5;10486;9.2;-3.1;22.7;66.7
SAM;198210;107;0;59;827.8;84.3;7575;2.6;-8.7;15.2;66.9
SAM;198211;68;4;59;830.2;56.9;5904;-2.1;-19.9;14.9;71.8
SAM;198212;56;20;50;826.0;45.9;5962;-8.0;-27.7;7.0;68.8
SAM;198301;66;45;48;835.5;42.5;6664;-7.3;-26.0;7.5;67.0
