stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;tre200mn;tre200mx;ure200m0;sre000m0
SBE;196801;-;70;70;829.7;67.9;-5.3;-19.0;13.0;64.7;-
SBE;196802;-;137;83;828.7;201.3;-3.7;-13.0;4.5;78.2;-
SBE;196803;-;141;69;833.1;57.9;-2.1;-13.5;11.2;65.5;-
SBE;196804;-;103;76;834.2;329.4;1.7;-8.2;15.1;74.3;-
SBE;196805;-;16;85;834.6;294.0;4.7;-4.8;16.4;74.3;-
SBE;196806;-;0;80;837.8;147.6;9.2;1.2;25.0;70.9;-
SBE;196807;-;0;67;839.8;142.5;11.1;2.2;23.4;70.3;-
SBE;196808;-;0;78;836.0;206.7;10.3;2.0;21.0;69.7;-
SBE;196809;-;0;70;836.4;322.3;7.6;0.5;16.8;79.4;-
SBE;196810;-;0;54;839.9;84.1;6.0;-4.9;18.5;74.0;-
SBE;196811;-;22;62;831.3;322.8;0.6;-11.2;9.1;78.5;-
SBE;196812;-;36;61;827.2;35.1;-6.3;-21.5;7.4;80.3;-
SBE;196901;-;68;59;831.0;96.1;-4.0;-14.8;5.5;74.5;-
SBE;196902;-;89;76;823.7;95.9;-7.7;-19.9;1.5;77.2;-
SBE;196903;-;97;74;827.8;55.2;-1.9;-12.3;7.0;77.2;-
SBE;196904;-;58;80;832.8;51.1;0.7;-11.5;11.8;72.1;-
SBE;196905;-;0;74;834.8;400.1;6.9;-0.9;20.0;77.5;-
SBE;196906;-;0;77;834.3;217.2;8.4;-1.8;17.6;73.1;-
SBE;196907;-;0;64;842.2;134.7;12.8;1.5;24.2;72.8;-
SBE;196908;-;0;75;837.5;159.3;10.8;1.0;21.8;73.0;8670
SBE;196909;-;0;64;838.8;118.0;9.4;1.0;18.4;81.9;8004
SBE;196910;-;0;34;841.5;1.2;6.5;-1.5;18.2;64.3;11754
SBE;196911;-;18;76;830.3;329.3;-1.2;-12.5;12.3;79.9;3846
SBE;196912;-;25;64;825.9;24.3;-7.3;-15.2;2.5;67.9;5106
SBE;197001;-;79;68;827.5;147.6;-4.0;-17.2;5.0;72.8;4362
SBE;197002;-;104;75;825.6;99.7;-5.9;-16.7;6.7;70.5;4674
SBE;197003;-;99;72;826.7;125.6;-4.6;-16.8;8.2;73.6;6804
SBE;197004;-;121;74;830.9;151.2;-1.0;-11.8;12.1;67.0;8070
SBE;197005;-;42;82;834.4;124.4;4.3;-4.5;13.8;75.1;8562
SBE;197006;-;0;76;838.8;136.4;10.6;0.8;19.5;76.6;10056
SBE;197007;-;0;68;838.2;94.7;11.7;2.5;21.1;76.1;11460
SBE;197008;-;0;74;838.0;163.5;11.8;3.4;21.4;80.4;9066
SBE;197009;-;0;54;840.4;128.8;10.1;-0.5;20.5;75.5;9714
SBE;197010;-;0;60;838.5;89.5;4.6;-5.6;18.8;70.1;7566
SBE;197011;-;37;56;834.7;281.5;1.3;-11.6;17.0;68.8;5862
SBE;197012;-;62;49;834.4;119.8;-4.1;-19.5;8.1;69.7;6882
SBE;197101;-;87;56;829.9;125.3;-4.8;-18.5;6.8;76.9;5268
SBE;197102;-;115;46;831.8;37.1;-3.4;-13.5;7.5;62.6;8592
SBE;197103;-;134;66;826.9;157.0;-5.4;-21.4;5.2;72.8;9102
SBE;197104;-;95;70;831.2;137.1;2.7;-8.0;11.6;80.8;8070
SBE;197105;-;8;88;833.5;226.4;6.1;-1.1;18.0;88.6;5172
SBE;197106;-;0;78;834.5;252.8;7.9;0.1;20.0;82.6;7296
SBE;197107;-;0;49;840.4;104.7;12.4;2.4;22.5;79.0;14280
SBE;197108;-;0;65;839.5;250.0;12.4;4.8;22.9;86.1;10896
SBE;197109;-;0;44;840.6;37.3;7.8;-2.6;18.8;74.7;13296
SBE;197110;-;0;41;843.5;15.7;5.6;-4.8;18.6;68.1;11196
SBE;197111;-;12;59;830.4;191.1;-0.8;-14.8;14.4;71.8;5316
SBE;197112;-;25;39;840.3;37.4;0.7;-10.4;12.8;60.8;7284
SBE;197201;-;55;70;829.6;94.5;-4.9;-14.2;5.0;81.1;2304
SBE;197202;-;99;89;830.2;170.2;-2.7;-11.8;4.5;85.8;2172
SBE;197203;-;125;65;832.1;176.6;-0.3;-9.5;10.0;84.0;8256
SBE;197204;-;50;79;828.4;144.8;1.3;-8.3;13.2;78.2;6996
SBE;197205;-;4;78;833.1;168.4;4.7;-3.3;15.6;80.9;6564
SBE;197206;-;0;75;835.9;223.1;8.4;2.0;19.6;84.1;6792
SBE;197207;-;0;71;838.5;90.4;11.5;0.0;22.0;78.2;8724
SBE;197208;-;0;66;838.9;92.7;10.7;2.5;21.5;80.9;10434
SBE;197209;-;0;65;836.8;162.0;5.0;-2.6;17.0;81.6;7224
SBE;197210;-;0;58;836.9;67.6;3.1;-4.4;16.0;75.7;7260
SBE;197211;-;4;56;836.0;67.0;-0.4;-11.4;14.5;69.7;5514
SBE;197212;-;43;51;840.4;127.6;-3.3;-12.3;7.1;77.3;4800
SBE;197301;-;74;54;835.8;52.8;-3.0;-15.5;5.4;67.7;5010
SBE;197302;-;66;51;828.7;35.8;-4.6;-16.0;10.5;59.8;7362
SBE;197303;-;50;60;835.4;14.5;-1.9;-13.0;11.2;57.7;9906
SBE;197304;-;43;70;829.9;137.2;-1.0;-10.3;9.2;68.1;8724
SBE;197305;-;2;75;837.6;263.1;6.1;-3.4;16.6;80.0;8118
SBE;197306;-;0;75;838.9;211.4;10.6;1.3;20.8;66.5;9036
SBE;197307;-;0;73;836.4;324.6;11.5;4.5;22.0;66.0;9510
SBE;197308;-;0;68;841.6;104.0;13.0;5.0;23.1;79.0;9366
SBE;197309;-;0;60;838.7;171.3;9.6;0.1;21.5;74.9;9240
SBE;197310;-;0;50;837.1;116.5;4.1;-5.8;15.5;68.2;8892
SBE;197311;-;0;44;837.0;46.9;0.4;-12.9;13.8;61.7;7308
SBE;197312;-;35;56;831.8;143.4;-3.7;-18.9;5.9;72.3;4572
SBE;197401;-;70;61;837.3;63.5;-1.0;-12.0;10.4;70.9;4710
SBE;197402;-;138;78;828.2;197.3;-3.3;-12.2;4.5;80.1;3264
SBE;197403;-;127;79;832.3;127.2;-1.1;-13.1;9.6;80.1;5148
SBE;197404;-;44;74;829.6;107.4;1.0;-6.5;9.4;74.0;8202
SBE;197405;-;4;68;832.8;121.8;5.2;-1.0;16.5;71.1;10602
SBE;197406;-;0;68;835.1;285.1;8.0;-0.3;19.1;70.5;9480
SBE;197407;-;0;61;839.0;198.8;11.5;4.2;20.3;69.1;12264
SBE;197408;-;0;65;839.8;132.0;12.4;2.2;25.0;72.4;10128
SBE;197409;-;0;68;836.5;205.1;7.3;-2.3;20.0;76.2;7392
SBE;197410;-;17;69;828.8;104.5;-1.1;-8.7;9.0;65.6;7644
SBE;197411;-;31;66;833.6;183.2;-1.1;-8.3;8.3;73.9;4602
SBE;197412;-;46;44;838.0;26.0;-0.7;-15.7;11.8;57.6;6366
SBE;197501;-;74;60;837.4;175.0;-1.5;-10.6;8.5;77.5;5178
SBE;197502;-;108;35;837.5;32.6;-3.3;-15.8;8.4;58.7;8934
SBE;197503;-;142;83;825.2;211.1;-3.1;-12.5;5.5;77.2;4500
SBE;197504;-;192;56;832.0;269.1;1.0;-9.6;12.0;72.7;10752
SBE;197505;-;51;74;834.2;214.1;4.9;-4.0;18.3;78.3;7272
SBE;197506;-;0;70;836.4;151.8;8.4;-0.1;19.4;70.2;9594
SBE;197507;-;0;60;839.0;103.1;11.9;3.2;21.5;69.8;12090
SBE;197508;-;0;69;839.5;163.6;11.5;3.9;22.3;73.4;8328
SBE;197509;-;0;74;840.5;273.8;9.5;1.3;21.2;82.9;5880
SBE;197510;-;9;41;838.4;89.6;3.9;-4.5;17.2;64.3;8898
SBE;197511;-;20;64;833.2;130.4;-1.6;-15.4;9.8;75.1;3882
SBE;197512;-;66;35;837.0;32.3;-1.5;-11.6;10.5;61.9;6420
SBE;197601;-;42;43;832.9;16.9;-2.3;-17.5;11.2;61.0;7464
SBE;197602;-;60;58;835.1;33.9;-2.0;-13.4;12.4;69.5;5550
SBE;197603;-;50;49;832.5;24.0;-2.1;-15.6;11.6;61.7;10086
SBE;197604;-;6;70;831.3;84.3;1.3;-7.2;10.7;73.8;8856
SBE;197605;-;0;59;836.0;75.8;6.9;-4.7;17.9;67.1;12198
SBE;197606;-;0;54;840.1;41.3;11.4;1.2;20.9;55.5;13314
SBE;197607;-;0;73;838.4;128.9;12.3;2.9;21.7;58.1;10368
