stn;time;gre000m0;prestam0;sre000m0;hto000m0;nto000m0;ure200m0;rre150m0;tre200m0;tre200mn;tre200mx
SIA;186312;-;-;-;-;-;-;23.5;-4.4;-;-
SIA;186401;-;817.9;-;-;17;79.9;4.9;-11.3;-;-
SIA;186402;-;809.5;-;-;50;81.6;54.0;-7.8;-;-
SIA;186403;-;810.4;-;-;52;78.3;68.1;-3.6;-;-
SIA;186404;-;813.8;-;-;31;67.8;35.1;-0.9;-;-
SIA;186405;-;814.7;-;-;-;73.0;46.5;5.4;-;-
SIA;186406;-;817.7;-;-;58;74.1;117.8;8.6;-;-
SIA;186407;-;819.3;-;-;43;73.5;84.8;10.9;-;-
SIA;186408;-;820.0;-;-;39;73.7;151.9;9.1;-;-
SIA;186409;-;819.7;-;-;43;77.9;147.7;6.9;-;-
SIA;186410;-;812.1;-;-;-;82.4;140.3;1.4;-;-
SIA;186411;-;810.5;-;-;56;83.4;63.0;-2.6;-;-
SIA;186412;-;813.4;-;-;38;80.1;9.0;-7.9;-;-
SIA;186501;-;805.5;-;-;51;80.4;51.2;-8.0;-;-
SIA;186502;-;806.6;-;-;48;74.7;7.8;-9.8;-;-
SIA;186503;-;803.2;-;-;57;78.0;46.6;-8.5;-;-
SIA;186504;-;820.2;-;-;30;74.6;5.3;3.0;-;-
SIA;186505;-;819.9;-;-;52;78.6;114.6;7.6;-;-
SIA;186506;-;819.9;-;-;49;66.5;79.7;9.6;-;-
SIA;186507;-;821.2;-;-;45;76.0;119.3;11.9;-;-
SIA;186508;-;818.7;-;-;61;83.1;233.6;9.7;-;-
SIA;186509;-;826.1;-;-;23;77.3;11.1;8.9;-;-
SIA;186510;-;813.0;-;-;60;86.8;173.0;2.4;-;-
SIA;186511;-;817.1;-;-;65;82.2;140.0;-1.4;-;-
SIA;186512;-;822.2;-;-;27;75.7;38.0;-6.5;-;-
SIA;186601;-;819.0;-;-;40;79.8;32.0;-5.7;-;-
SIA;186602;-;813.2;-;-;-;81.5;54.9;-3.9;-;-
SIA;186603;-;806.8;-;-;68;82.4;102.7;-3.7;-;-
SIA;186604;-;816.4;-;-;61;77.8;172.9;1.0;-;-
