stn;time;gre000m0;hto000m0;nto000m0;prestam0;tre200mn;tre200mx;rre150m0;tre200m0;sre000m0;ure200m0
SIO;195307;-;-;-;960.7;6.0;30.8;-;-;-;-
SIO;195308;-;-;-;963.0;5.5;30.5;-;-;-;-
SIO;195309;-;-;-;961.3;4.0;28.8;-;-;-;-
SIO;195310;-;-;-;962.0;-1.4;22.0;-;-;-;-
SIO;195311;-;-;-;968.8;-5.5;14.8;-;-;-;-
SIO;195312;-;-;-;966.1;-11.0;14.5;-;-;-;-
SIO;195401;-;-;-;959.9;-14.2;10.0;-;-;-;-
SIO;195402;-;-;-;954.1;-12.5;13.0;-;-;-;-
SIO;195403;-;-;-;954.3;-4.5;20.2;-;-;-;-
SIO;195404;-;-;-;960.0;-2.1;21.0;-;-;-;-
SIO;195405;-;-;-;957.1;-1.0;28.5;-;-;-;-
SIO;195406;-;-;-;959.2;4.0;31.2;-;-;-;-
SIO;195407;-;-;-;959.7;2.6;29.8;-;-;-;-
SIO;195408;-;-;-;958.9;4.9;31.0;-;-;-;-
SIO;195409;-;-;-;963.2;-0.5;28.2;-;-;-;-
SIO;195410;-;-;-;964.1;-1.2;21.0;-;-;-;-
SIO;195411;-;-;-;960.7;-8.8;16.6;-;-;-;-
SIO;195412;-;-;-;962.1;-7.4;11.4;-;-;-;-
SIO;195501;-;-;-;955.3;-11.5;15.6;-;-;-;-
SIO;195502;-;-;-;949.9;-11.5;15.0;-;-;-;-
SIO;195503;-;-;-;956.2;-10.8;21.5;-;-;-;-
SIO;195504;-;-;-;962.8;-4.0;26.4;-;-;-;-
SIO;195505;-;-;-;960.8;-0.2;29.0;-;-;-;-
SIO;195506;-;-;-;960.3;2.0;29.4;-;-;-;-
SIO;195507;-;-;-;960.0;4.8;31.5;-;-;-;-
SIO;195508;-;-;-;961.5;4.2;28.4;-;-;-;-
SIO;195509;-;-;-;961.8;0.1;24.6;-;-;-;-
SIO;195510;-;-;-;959.8;-4.8;18.8;-;-;-;-
