stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;ure200m0;sre000m0;tre200mn;tre200mx
SMA;186401;-;-;76;968.5;23.6;-5.7;93.8;-;-;-
SMA;186402;-;-;-;957.0;31.8;-0.6;88.1;-;-;-
SMA;186403;-;-;50;952.4;51.9;5.4;79.1;-;-;-
SMA;186404;-;-;36;960.9;54.1;8.0;74.3;-;-;-
SMA;186405;-;-;48;958.5;90.8;13.6;80.2;-;-;-
SMA;186406;-;-;65;960.9;173.0;15.9;84.9;-;-;-
SMA;186407;-;-;49;961.7;86.8;18.0;81.5;-;-;-
SMA;186408;-;-;39;962.8;38.2;16.3;81.1;-;-;-
SMA;186409;-;-;47;962.9;80.2;13.9;84.5;-;-;-
SMA;186410;-;-;60;955.6;17.9;7.7;83.8;-;-;-
SMA;186411;-;-;82;956.5;79.7;3.4;88.5;-;-;-
SMA;186412;-;-;89;961.2;3.7;-3.4;95.7;-;-;-
SMA;186501;-;-;78;951.3;58.5;0.9;86.8;-;-;-
SMA;186502;-;-;76;956.8;51.0;-2.0;90.0;-;-;-
SMA;186503;-;-;74;952.7;52.8;-0.3;85.5;-;-;-
SMA;186504;-;-;30;963.5;4.5;13.1;71.0;-;-;-
SMA;186505;-;-;48;961.4;69.3;16.5;75.2;-;-;-
SMA;186506;-;-;46;964.3;51.1;17.2;69.3;-;-;-
SMA;186507;-;-;47;962.0;89.2;20.1;75.9;-;-;-
SMA;186508;-;-;68;960.4;201.0;16.8;84.7;-;-;-
SMA;186509;-;-;16;968.5;0.0;16.4;72.5;-;-;-
SMA;186510;-;-;62;954.0;79.8;10.3;81.5;-;-;-
SMA;186511;-;-;73;960.5;63.8;5.1;87.7;-;-;-
SMA;186512;-;-;85;970.0;16.0;-1.1;93.5;-;-;-
SMA;186601;-;-;63;964.8;74.7;2.6;85.6;-;-;-
SMA;186602;-;-;76;957.6;163.4;4.6;80.9;-;-;-
SMA;186603;-;-;80;951.2;113.5;4.6;82.5;-;-;-
SMA;186604;-;-;61;959.4;120.3;10.3;74.3;-;-;-
SMA;186605;-;-;63;959.7;119.5;11.0;69.2;-;-;-
SMA;186606;-;-;51;961.6;41.1;18.7;68.2;-;-;-
SMA;186607;-;-;55;961.1;62.0;18.5;67.1;-;-;-
SMA;186608;-;-;73;959.7;244.5;15.7;80.8;-;-;-
SMA;186609;-;-;63;959.8;105.4;15.3;81.1;-;-;-
SMA;186610;-;-;74;964.0;31.0;9.0;90.5;-;-;-
SMA;186611;-;-;77;961.8;109.8;4.5;89.1;-;-;-
SMA;186612;-;-;-;965.0;122.3;2.5;87.8;-;-;-
SMA;186701;-;-;-;953.6;123.5;-0.3;93.1;-;-;-
SMA;186702;-;-;64;967.7;72.8;5.6;80.4;-;-;-
SMA;186703;-;-;79;953.0;107.2;4.6;87.0;-;-;-
SMA;186704;-;-;77;959.1;145.6;9.4;78.5;-;-;-
SMA;186705;-;-;50;959.2;125.8;14.1;79.1;-;-;-
SMA;186706;-;-;60;962.6;221.6;16.9;78.9;-;-;-
SMA;186707;-;-;59;961.7;52.6;17.4;80.3;-;-;-
SMA;186708;-;-;56;962.7;192.2;18.6;80.2;-;-;-
SMA;186709;-;-;53;965.2;140.1;15.2;86.9;-;-;-
SMA;186710;-;-;78;961.6;193.3;7.7;90.6;-;-;-
SMA;186711;-;-;64;967.5;28.1;1.8;90.4;-;-;-
SMA;186712;-;-;90;959.0;54.6;-1.8;92.5;-;-;-
SMA;186801;-;-;77;960.1;33.7;-1.6;88.8;-;-;-
SMA;186802;-;-;50;968.9;6.2;3.2;78.4;-;-;-
SMA;186803;-;-;66;961.4;64.0;3.5;80.3;-;-;-
SMA;186804;-;-;69;959.9;92.8;8.5;74.6;-;-;-
SMA;186805;-;-;39;962.0;10.6;18.9;65.5;-;-;-
SMA;186806;-;-;58;964.4;104.8;18.5;69.5;-;-;-
SMA;186807;-;-;60;961.6;100.1;19.2;75.4;-;-;-
SMA;186808;-;-;54;962.0;84.8;18.5;75.3;-;-;-
SMA;186809;-;-;42;959.3;93.3;16.6;80.3;-;-;-
SMA;186810;-;-;78;961.6;186.1;9.8;87.1;-;-;-
SMA;186811;-;-;78;960.3;52.2;1.5;90.6;-;-;-
SMA;186812;-;-;84;957.9;121.6;5.9;84.4;-;-;-
SMA;186901;-;-;74;967.3;19.5;-0.8;90.2;-;-;-
SMA;186902;-;-;68;966.3;18.8;5.8;77.8;-;-;-
SMA;186903;-;-;85;948.7;45.0;1.4;84.8;-;-;-
SMA;186904;-;-;47;961.0;90.6;11.3;69.0;-;-;-
SMA;186905;-;-;76;956.5;125.5;15.2;72.3;-;-;-
SMA;186906;-;-;57;962.6;143.3;14.6;70.5;-;-;-
SMA;186907;-;-;46;963.7;149.1;20.7;74.5;-;-;-
SMA;186908;-;-;60;964.4;235.4;16.5;77.6;-;-;-
SMA;186909;-;-;43;962.2;100.8;15.4;78.6;-;-;-
SMA;186910;-;-;65;963.7;73.8;7.0;85.2;-;-;-
SMA;186911;-;-;83;960.7;68.4;4.7;83.0;-;-;-
SMA;186912;-;-;88;956.8;44.6;-1.1;92.9;-;-;-
SMA;187001;-;-;75;962.6;8.7;-1.5;91.9;-;-;-
SMA;187002;-;-;69;956.3;18.4;-2.2;81.8;-;-;-
SMA;187003;-;-;75;958.3;74.3;2.6;85.6;-;-;-
SMA;187004;-;-;49;965.1;8.8;9.2;67.8;-;-;-
SMA;187005;-;-;52;963.3;56.4;15.3;67.9;-;-;-
SMA;187006;-;-;54;963.8;64.6;18.1;65.2;-;-;-
SMA;187007;-;-;49;961.6;106.8;20.8;66.7;-;-;-
SMA;187008;-;-;70;958.5;113.9;16.1;74.7;-;-;-
SMA;187009;-;-;54;965.6;92.6;12.9;79.0;-;-;-
SMA;187010;-;-;75;958.7;215.9;9.1;81.0;-;-;-
SMA;187011;-;-;89;957.0;65.1;3.8;87.4;-;-;-
SMA;187012;-;-;89;954.2;84.8;-3.5;94.4;-;-;-
SMA;187101;-;-;92;955.8;36.0;-4.2;97.1;-;-;-
SMA;187102;-;-;67;966.1;35.8;1.8;84.3;-;-;-
SMA;187103;-;-;54;963.5;31.7;5.0;77.8;-;-;-
SMA;187104;-;-;77;958.5;125.5;9.7;74.0;-;-;-
SMA;187105;-;-;36;960.3;31.3;12.9;62.3;-;-;-
SMA;187106;-;-;67;958.3;157.8;13.8;74.8;-;-;-
SMA;187107;-;-;48;962.0;114.3;19.2;72.8;-;-;-
SMA;187108;-;-;42;964.0;111.5;18.5;74.8;-;-;-
SMA;187109;-;-;39;959.9;39.7;16.3;77.9;-;-;-
SMA;187110;-;-;74;962.2;147.5;7.2;86.6;-;-;-
SMA;187111;-;-;89;957.1;37.3;0.7;90.8;-;-;-
SMA;187112;-;-;85;965.4;7.6;-6.4;92.4;-;-;-
SMA;187201;-;-;79;956.9;40.2;0.4;87.4;-;-;-
SMA;187202;-;-;63;961.7;76.8;1.2;82.5;-;-;-
SMA;187203;-;-;62;956.8;40.8;6.2;75.1;-;-;-
SMA;187204;-;-;57;957.6;81.4;10.2;72.4;-;-;-
SMA;187205;-;-;72;958.5;257.7;12.6;77.4;-;-;-
SMA;187206;-;-;62;961.4;200.2;16.3;77.4;-;-;-
SMA;187207;-;-;41;961.4;131.7;19.6;72.2;-;-;-
SMA;187208;-;-;58;961.5;230.2;16.5;80.3;-;-;-
SMA;187209;-;-;43;962.0;24.2;15.1;78.0;-;-;-
SMA;187210;-;-;66;956.4;103.4;10.3;83.8;-;-;-
SMA;187211;-;-;70;958.2;124.5;6.5;85.9;-;-;-
SMA;187212;-;-;77;955.0;116.9;3.0;88.3;-;-;-
SMA;187301;-;-;72;960.6;29.7;1.2;87.5;-;-;-
SMA;187302;-;-;82;960.9;32.7;0.8;87.0;-;-;-
SMA;187303;-;-;67;955.3;156.2;6.9;82.1;-;-;-
SMA;187304;-;-;70;956.2;206.4;7.7;77.2;-;-;-
SMA;187305;-;-;63;960.0;146.3;11.1;77.3;-;-;-
SMA;187306;-;-;52;961.7;62.4;17.4;70.4;-;-;-
SMA;187307;-;-;39;963.8;176.4;20.8;71.9;-;-;-
