stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200mx;tre200m0;tre200mn;ure200m0
STG;186401;-;-;-;-;-;-;-;-6.3;-;-
STG;186402;-;-;-;-;-;-;-;-1.4;-;-
STG;186403;-;-;-;-;-;-;-;4.5;-;-
STG;186404;-;-;-;-;-;-;-;5.9;-;-
STG;186405;-;-;-;-;-;-;-;11.8;-;-
STG;186406;-;-;-;-;-;-;-;14.4;-;-
STG;186407;-;-;-;-;-;-;-;16.4;-;-
STG;186408;-;-;-;-;-;-;-;15.5;-;-
STG;186409;-;-;-;-;-;-;-;13.1;-;-
STG;186410;-;-;-;-;-;-;-;6.9;-;-
STG;186411;-;-;-;-;-;-;-;2.1;-;-
STG;186412;-;-;-;-;-;-;-;-4.7;-;-
STG;186501;-;-;-;-;-;-;-;0.1;-;-
STG;186502;-;-;-;-;-;-;-;-3.3;-;-
STG;186503;-;-;-;-;-;-;-;-2.0;-;-
STG;186504;-;-;-;-;-;-;-;12.0;-;-
STG;186505;-;-;-;-;-;-;-;15.5;-;-
STG;186506;-;-;-;-;-;-;-;15.5;-;-
STG;186507;-;-;-;-;-;-;-;19.0;-;-
STG;186508;-;-;-;-;-;-;-;15.5;-;-
STG;186509;-;-;-;-;-;-;-;15.5;-;-
STG;186510;-;-;-;-;-;-;-;9.5;-;-
STG;186511;-;-;-;-;-;-;-;5.5;-;-
STG;186512;-;-;-;-;9.2;-;-;-2.7;-;-
STG;186601;-;-;-;-;39.7;-;-;2.0;-;-
STG;186602;-;-;-;-;124.1;-;-;3.3;-;-
STG;186603;-;-;-;-;127.8;-;-;3.2;-;-
STG;186604;-;-;-;-;104.4;-;-;8.8;-;-
STG;186605;-;-;-;-;89.6;-;-;9.2;-;-
STG;186606;-;-;-;-;130.1;-;-;16.6;-;-
STG;186607;-;-;-;-;119.8;-;-;16.4;-;-
STG;186608;-;-;-;-;291.4;-;-;14.3;-;-
STG;186609;-;-;-;-;104.7;-;-;14.4;-;-
STG;186610;-;-;-;-;11.0;-;-;7.6;-;-
STG;186611;-;-;-;-;133.8;-;-;3.3;-;-
STG;186612;-;-;-;-;87.0;-;-;2.0;-;-
STG;186701;-;-;-;-;141.7;-;-;-0.7;-;-
STG;186702;-;-;-;-;111.9;-;-;4.9;-;-
STG;186703;-;-;-;-;106.0;-;-;2.9;-;-
STG;186704;-;-;-;-;126.3;-;-;8.3;-;-
STG;186705;-;-;-;-;145.6;-;-;12.3;-;-
STG;186706;-;-;-;-;163.4;-;-;14.9;-;-
STG;186707;-;-;-;-;103.1;-;-;15.1;-;-
STG;186708;-;-;-;-;159.9;-;-;16.9;-;-
STG;186709;-;-;-;-;82.3;-;-;13.8;-;-
STG;186710;-;-;-;-;184.6;-;-;6.1;-;-
STG;186711;-;-;-;-;46.2;-;-;1.0;-;-
STG;186712;-;-;-;-;119.9;-;-;-3.3;-;-
STG;186801;-;-;-;-;59.2;-;-;-2.8;-;-
STG;186802;-;-;-;-;17.1;-;-;2.1;-;-
STG;186803;-;-;-;-;113.0;-;-;1.7;-;-
STG;186804;-;-;-;-;100.1;-;-;6.6;-;-
STG;186805;-;-;-;-;23.9;-;-;16.8;-;-
STG;186806;-;-;-;-;135.6;-;-;16.0;-;-
STG;186807;-;-;-;-;152.1;-;-;17.0;-;-
STG;186808;-;-;-;-;67.4;-;-;16.7;-;-
STG;186809;-;-;-;-;81.1;-;-;14.8;-;-
STG;186810;-;-;-;-;138.9;-;-;8.6;-;-
STG;186811;-;-;-;-;52.2;-;-;0.3;-;-
STG;186812;-;-;-;-;96.1;-;-;4.7;-;-
STG;186901;-;-;-;-;41.7;-;-;-1.8;-;-
STG;186902;-;-;-;-;16.8;-;-;5.2;-;-
STG;186903;-;-;-;-;65.9;-;-;-0.1;-;-
STG;186904;-;-;-;-;112.6;-;-;9.0;-;-
STG;186905;-;-;-;-;127.2;-;-;13.8;-;-
STG;186906;-;-;-;-;136.7;-;-;12.1;-;-
STG;186907;-;-;-;-;153.1;-;-;18.6;-;-
STG;186908;-;-;-;-;210.3;-;-;14.5;-;-
STG;186909;-;-;-;-;79.3;-;-;14.3;-;-
STG;186910;-;-;-;-;82.2;-;-;5.4;-;-
STG;186911;-;-;-;-;99.7;-;-;3.8;-;-
STG;186912;-;-;-;-;74.0;-;-;-1.9;-;-
STG;187001;-;-;-;-;28.2;-;-;-2.5;-;-
STG;187002;-;-;-;-;32.9;-;-;-3.4;-;-
STG;187003;-;-;-;-;93.3;-;-;0.7;-;-
STG;187004;-;-;-;-;50.6;-;-;6.8;-;-
STG;187005;-;-;-;-;38.5;-;-;13.3;-;-
STG;187006;-;-;-;-;74.2;-;-;15.4;-;-
STG;187007;-;-;-;-;110.1;-;-;18.4;-;-
STG;187008;-;-;-;-;163.1;-;-;14.1;-;-
