stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
ALT;201901;48;2;72;965.0;122.9;3325;0.8;-7.3;9.0;74.3
ALT;201902;108;0;45;972.1;20.9;8630;3.3;-4.7;17.6;74.5
ALT;201903;142;0;59;968.6;80.9;8984;6.8;-3.1;18.8;66.9
ALT;201904;181;2;73;961.7;136.1;7597;10.2;-2.4;23.3;65.1
ALT;201905;187;0;77;963.5;102.3;6233;11.1;-1.4;23.7;73.9
ALT;201906;264;0;50;965.6;116.9;13326;19.2;8.7;34.2;70.3
ALT;201907;214;0;66;964.6;70.3;10086;20.4;10.6;33.2;73.7
ALT;201908;186;0;63;966.8;107.0;9178;18.9;10.0;29.8;77.5
ALT;201909;140;0;63;968.3;88.0;7530;15.2;6.2;26.4;80.2
ALT;201910;91;0;67;965.1;164.6;6145;12.8;3.7;25.7;79.4
ALT;201911;44;0;80;955.1;92.6;2227;6.7;-2.5;17.2;82.1
ALT;201912;32;0;81;964.2;80.6;2090;5.6;-4.3;18.7;75.8
ALT;202001;52;0;52;973.9;28.3;4943;1.8;-5.6;13.7;83.2
ALT;202002;80;0;71;968.2;91.4;5452;5.8;-4.6;18.1;69.4
ALT;202003;138;0;68;965.2;47.7;8067;6.2;-3.5;17.9;71.0
ANT;201901;62;92;-;851.8;119.8;3887;-7.3;-26.6;3.4;77.9
ANT;201902;122;113;-;860.8;32.4;8428;-4.6;-23.3;9.7;72.5
ANT;201903;176;108;-;857.9;101.5;9007;-0.5;-15.4;10.9;68.9
ANT;201904;204;83;-;853.0;198.1;6302;2.7;-16.1;12.3;74.2
ANT;201905;245;3;-;854.2;55.3;7957;5.1;-5.4;16.0;74.3
ANT;201906;267;0;-;860.1;216.1;13672;13.7;1.1;28.5;69.3
ANT;201907;252;0;-;859.1;54.3;12426;14.3;3.3;27.6;75.8
ANT;201908;214;0;-;860.8;152.0;11425;13.6;2.3;23.9;77.8
ANT;201909;168;0;-;860.7;110.2;9702;9.5;0.0;21.1;79.6
ANT;201910;98;0;-;857.7;194.4;5868;8.4;-2.6;18.9;73.2
ANT;201911;57;24;-;846.3;168.2;2430;1.4;-12.9;9.1;77.5
ANT;201912;42;38;-;854.3;121.1;2942;-1.4;-18.8;8.1;74.8
ANT;202001;68;52;-;862.1;30.8;7005;-3.2;-19.2;8.9;69.1
ANT;202002;105;68;-;857.5;101.5;5308;-0.7;-16.7;13.1;67.1
ANT;202003;181;70;-;854.4;51.0;9136;-0.4;-15.0;11.4;74.0
RAG;201901;55;-;-;958.2;128.7;4588;-0.2;-7.4;7.9;73.6
RAG;201902;113;-;-;965.6;39.4;9709;4.7;-6.3;18.8;63.7
RAG;201903;149;-;-;962.1;77.6;9605;7.4;-0.5;19.9;61.6
RAG;201904;181;-;-;955.4;85.6;8231;10.8;0.6;24.4;61.3
RAG;201905;187;-;-;957.0;138.6;7708;11.4;1.0;23.3;69.6
RAG;201906;281;-;-;959.3;66.9;16461;20.8;9.8;34.9;61.0
RAG;201907;228;-;-;958.5;106.9;12593;20.5;11.2;33.4;70.0
RAG;201908;205;-;-;960.7;209.7;12394;19.3;9.5;32.0;76.2
RAG;201909;153;-;-;962.1;97.4;9728;15.2;5.4;26.4;78.1
RAG;201910;99;-;-;959.0;109.2;7112;13.0;5.5;26.5;75.4
RAG;201911;50;-;-;948.9;86.7;3160;6.8;-1.4;19.4;78.7
RAG;201912;42;-;-;958.1;86.7;4627;4.8;-4.1;18.8;74.6
RAG;202001;60;-;-;967.4;37.2;7044;2.4;-4.8;11.5;73.2
RAG;202002;82;-;-;961.7;87.2;5870;6.0;-2.8;18.8;66.0
RAG;202003;152;-;-;958.8;36.8;10140;6.6;-3.6;20.2;64.7
BAS;201901;43;0;81;979.9;22.2;3558;1.6;-5.9;10.1;78.4
BAS;201902;107;0;47;986.3;28.0;10137;5.1;-4.1;19.7;69.3
BAS;201903;143;0;57;982.9;39.5;9977;8.5;-2.3;20.6;61.8
BAS;201904;169;0;76;976.2;65.4;8718;9.9;0.0;25.1;70.6
BAS;201905;216;0;70;978.1;77.7;10729;12.2;-0.2;25.4;69.3
BAS;201906;271;0;51;979.4;86.2;16788;20.4;8.6;35.9;67.0
BAS;201907;278;0;58;978.6;84.7;17044;21.6;9.2;37.4;60.9
BAS;201908;229;0;56;980.5;108.0;14992;20.2;9.9;34.3;70.7
BAS;201909;169;0;58;982.5;57.8;11825;16.1;4.9;28.9;70.5
BAS;201910;84;0;76;979.1;110.3;5702;12.5;6.1;25.6;83.7
BAS;201911;44;0;83;969.1;55.1;2435;6.3;-0.9;17.2;83.0
BAS;201912;38;0;70;978.3;50.9;4129;4.9;-3.9;15.5;81.1
BAS;202001;58;0;55;988.0;16.5;6880;3.6;-4.5;15.1;80.4
BAS;202002;83;0;72;982.2;69.8;6455;7.6;-4.3;18.3;66.6
BAS;202003;147;0;59;979.8;47.9;10901;7.3;-3.4;19.8;64.8
BER;201901;53;1;-;952.0;32.5;4480;0.1;-6.5;8.0;82.6
BER;201902;115;2;-;958.8;43.7;10588;2.5;-9.5;17.7;78.9
BER;201903;149;0;-;955.8;63.9;11027;6.2;-3.6;18.4;69.8
BER;201904;192;0;-;948.7;52.6;10712;8.6;-1.6;22.5;72.4
BER;201905;209;0;-;950.8;133.0;10002;10.6;-2.6;22.4;74.6
BER;201906;281;0;-;953.0;81.7;16580;19.0;7.1;34.4;71.0
BER;201907;274;0;-;952.2;73.2;16679;20.7;10.1;35.4;65.1
BER;201908;223;0;-;954.2;124.1;14075;18.8;8.8;31.2;74.2
BER;201909;179;0;-;955.6;73.8;13179;15.0;4.6;27.2;76.7
BER;201910;95;0;-;952.5;147.6;6935;11.1;2.2;22.6;88.7
BER;201911;46;0;-;942.2;89.7;2110;4.6;-2.9;15.5;89.5
BER;201912;36;0;-;951.4;83.5;2726;3.1;-3.7;13.0;87.4
BER;202001;63;0;-;960.6;42.5;8241;1.3;-6.4;13.4;86.6
BER;202002;88;0;-;955.7;123.3;7086;5.5;-5.2;17.6;73.0
BER;202003;156;0;-;952.1;51.3;11626;5.4;-4.5;18.1;71.9
CHD;201901;65;17;-;897.4;86.2;5612;-3.5;-14.0;4.8;82.5
CHD;201902;128;39;-;904.8;54.1;10678;0.7;-10.3;14.4;73.2
CHD;201903;158;5;-;902.5;104.6;9852;3.8;-8.6;17.0;69.8
CHD;201904;203;1;-;895.6;60.1;9432;6.3;-8.0;21.1;71.5
CHD;201905;205;0;-;897.8;172.0;8259;7.8;-3.5;20.9;77.0
CHD;201906;280;0;-;901.7;132.2;14606;16.2;5.4;33.1;73.3
CHD;201907;283;0;-;901.2;123.7;15121;17.8;7.8;32.8;69.9
CHD;201908;237;0;-;903.0;197.9;13947;16.2;6.5;29.7;79.1
CHD;201909;177;0;-;903.5;55.9;11257;12.8;4.7;25.1;80.6
CHD;201910;101;0;-;900.2;141.5;6878;9.8;0.8;22.7;84.9
CHD;201911;60;1;-;889.2;131.6;4389;2.7;-4.7;14.8;86.5
CHD;201912;47;4;-;898.0;130.2;4999;1.9;-7.7;15.3;81.5
CHD;202001;73;2;-;906.3;31.5;8751;0.3;-8.4;9.5;75.7
CHD;202002;92;4;-;902.7;140.6;6256;3.3;-6.7;18.4;70.3
CHD;202003;159;1;-;898.3;89.1;9640;3.2;-5.6;17.1;78.3
CHM;201901;48;21;76;884.9;87.1;3885;-3.4;-11.5;3.9;88.1
CHM;201902;118;36;31;892.4;41.9;11133;2.8;-6.9;13.9;62.5
CHM;201903;147;1;51;889.9;71.4;10288;3.5;-4.8;14.1;69.1
CHM;201904;178;3;66;883.9;64.6;8618;5.6;-5.2;17.2;72.5
CHM;201905;203;0;64;886.2;89.9;9747;6.9;-3.4;17.4;76.4
CHM;201906;268;0;46;890.3;152.1;15752;15.9;4.6;29.3;71.0
CHM;201907;263;0;49;889.9;81.4;15204;17.5;8.6;30.2;64.2
CHM;201908;220;0;52;891.5;97.2;13680;15.9;7.8;25.6;73.7
CHM;201909;172;0;45;891.9;35.3;11662;12.2;3.8;23.9;73.5
CHM;201910;86;0;64;888.2;161.8;6061;9.1;1.9;18.9;85.9
CHM;201911;41;1;83;877.0;113.9;1828;2.1;-3.3;11.0;90.1
CHM;201912;39;4;66;885.3;135.9;4321;2.2;-6.3;11.5;77.6
CHM;202001;65;1;41;893.7;40.8;8282;1.9;-6.7;8.9;73.3
CHM;202002;82;4;67;889.6;116.8;6234;2.7;-5.3;12.7;72.6
CHM;202003;149;1;52;886.3;86.0;10377;2.4;-6.9;13.3;74.0
GSB;201901;56;-;59;744.5;280.0;3155;-10.1;-18.1;0.7;73.7
GSB;201902;136;-;29;754.7;99.7;9721;-3.5;-14.4;6.6;50.1
GSB;201903;207;-;49;752.2;266.7;11442;-4.4;-13.4;4.9;65.7
GSB;201904;223;-;79;747.7;284.0;6806;-3.5;-11.6;2.8;84.2
GSB;201905;297;-;71;749.4;242.9;9692;-1.2;-11.4;7.4;82.4
GSB;201906;279;-;60;758.3;128.6;13832;8.6;-0.9;21.6;69.7
GSB;201907;286;-;60;757.9;114.4;15489;10.2;-0.3;20.0;69.3
GSB;201908;225;-;65;759.3;131.4;12623;9.8;0.7;17.1;72.1
GSB;201909;178;-;56;757.9;64.0;11003;6.0;-3.0;15.3;75.3
GSB;201910;97;-;68;754.6;340.3;6488;3.0;-5.1;11.1;80.5
GSB;201911;58;-;79;741.7;276.5;1675;-5.1;-11.1;2.9;87.9
GSB;201912;37;-;58;749.2;354.3;1618;-4.0;-12.9;2.1;70.1
GSB;202001;54;-;38;755.8;39.8;3655;-4.4;-14.7;3.3;57.7
GSB;202002;112;-;58;752.7;175.5;5994;-3.9;-14.8;5.9;64.0
GSB;202003;191;-;68;748.7;121.8;8491;-4.9;-16.2;6.8;79.8
DAV;201901;66;97;-;834.2;170.8;5463;-7.6;-17.9;2.1;78.1
DAV;201902;130;113;-;843.6;33.5;9958;-1.8;-12.7;11.1;63.5
DAV;201903;179;111;-;840.6;94.1;10961;-0.2;-11.2;12.4;65.5
DAV;201904;210;64;-;836.0;71.9;8376;3.1;-6.4;15.6;68.2
DAV;201905;208;1;-;837.2;135.4;6096;4.2;-7.1;15.4;73.2
