lexicon_id,lexicon_word,occurrences,modified_lexicon_entry,med_id,med_word,year,french_etymology,other_etymology,unknown_etymology,french_occurrences,other_occurrences,unknown_occurrences,pos_tag
0,a,4300,,5,a,1400,1,0,0,4300.0,,,prep.(2)
1,abac,1,,26,abak,1175,0,1,0,,1.0,,adv.
2,abad,1,,136,abōd,1225,0,1,0,,1.0,,n.
4,abade,7,,88,abīden,1121,0,1,0,,7.0,,v.
5,abandoun,1,,30,abandǒun,1250,1,0,0,1.0,,,adv.
6,abast,1,,22,abaishen,1387,1,1,0,1.0,1.0,,v.
7,abat,1,abaten,36,abāten,1300,1,0,0,1.0,,,v.
8,abate,3,,34,abatailment,1400,0,0,1,,,3.0,n.
9,abated,2,abaten,36,abāten,1300,1,0,0,2.0,,,v.
10,abaten,1,,36,abāten,1300,1,0,0,1.0,,,v.
11,abaten,1,,36,abāten,1300,1,0,0,1.0,,,v.
12,abaundoun,1,abaundun,30,abandǒun,1250,1,0,0,1.0,,,adv.
13,abbai,2,,39,abbā,1384,0,1,0,,2.0,,n.
14,abbay,14,,39,abbā,1384,0,1,0,,14.0,,n.
15,abbays,1,abbay,39,abbā,1384,0,1,0,,1.0,,n.
16,abbesse,14,,45,abbes(se,1300,1,0,0,14.0,,,n.
17,abbeys,1,abey,92,abīen,1126,0,1,0,,1.0,,v.
18,abbot,6,,50,abbot,1121,0,1,0,,6.0,,n.
19,abbotes,4,,51,abbotes horn,1410,0,0,1,,,4.0,phr.
20,abed,2,,86,abidden,1150,0,1,0,,2.0,,v.
21,abedde,2,,59,abedde,1175,0,0,1,,,2.0,adv.
22,abegge,2,abeggen,92,abīen,1126,0,1,0,,2.0,,v.
23,abegge(d),1,,61,abeggeþ,1395,0,0,1,,,1.0,adv.
25,abet,1,,76,abet(te,1330,1,1,0,1.0,1.0,,n.
26,abey,1,,92,abīen,1126,0,1,0,,1.0,,v.
27,abeye,1,,92,abīen,1126,0,1,0,,1.0,,v.
29,abid,2,,88,abīden,1121,0,1,0,,2.0,,v.
30,abide,146,,87,abīde,1330,0,0,1,,,146.0,n.
31,abiden,10,,88,abīden,1121,0,1,0,,10.0,,v.
33,abideþ,2,,88,abīden,1121,0,1,0,,2.0,,v.
34,abie,4,,63,abeien,1300,0,1,0,,4.0,,v.
36,abigge,24,abiggen,92,abīen,1126,0,1,0,,24.0,,v.
38,abist,1,ab,12,a-angred,1450,0,0,1,,,1.0,ppl.
39,abite,2,,19738,habī̆t,1230,1,0,0,2.0,,,n.
40,abland,1,,123,ablē̆nden,1175,0,1,0,,1.0,,v.
41,ablent,3,,123,ablē̆nden,1175,0,1,0,,3.0,,v.
43,ablod,1,,128,ablọ̄d(e,1225,0,0,1,,,1.0,adv. & predicate adj.
44,ablode,1,,128,ablọ̄d(e,1225,0,0,1,,,1.0,adv. & predicate adj.
45,abobbed,1,,134,abobbed,1390,1,0,0,1.0,,,ppl. as n.
46,abod,27,,136,abōd,1225,0,1,0,,27.0,,n.
47,abode,5,,60,abẹ̄den,1275,0,1,0,,5.0,,v.
48,abone,1,aboune,173,abǒve(n,1200,0,1,0,,1.0,,adv.
49,abood,8,abod,136,abōd,1225,0,1,0,,8.0,,n.
50,abot,8,,88,abīden,1121,0,1,0,,8.0,,v.
51,abotes,1,aboten,160,abǒute(n,1121,0,1,0,,1.0,,adv.
52,aboue,55,,170,abǒve-,1382,0,1,0,,55.0,,pref.
53,abouen,5,,172,abǒven,1500,0,0,1,,,5.0,v.
54,abouȝt,9,abought,160,abǒute(n,1121,0,1,0,,9.0,,adv.
55,about,129,,168,abǒut(e)-wā̆rd,1425,0,0,1,,,129.0,adj.
56,aboute,96,,160,abǒute(n,1121,0,1,0,,96.0,,adv.
57,abouten,31,,160,abǒute(n,1121,0,1,0,,31.0,,adv.
58,abrad,1,,179,abrēden,1275,0,1,0,,1.0,,v.
60,abraid,2,,184,abreiden,1175,0,1,0,,2.0,,v.(1)
61,abraide,1,,184,abreiden,1175,0,1,0,,1.0,,v.(1)
62,abrayd,2,,184,abreiden,1175,0,1,0,,2.0,,v.(1)
63,abreidest,1,abreiden,184,abreiden,1175,0,1,0,,1.0,,v.(1)
64,abreke,1,abreken,187,abrēken,1155,0,1,0,,1.0,,v.
65,abrod,4,,197,abrōd,1425,0,0,1,,,4.0,prep.
66,abrode,2,,198,abrōd(e,1300,0,0,1,,,2.0,adv.(1)
68,abugge,2,,92,abīen,1126,0,1,0,,2.0,,v.
69,abuten,1,,160,abǒute(n,1121,0,1,0,,1.0,,adv.
70,abye,3,,63,abeien,1300,0,1,0,,3.0,,v.
72,ac,705,,248,ac,1121,0,1,0,,705.0,,conj.
73,acast,1,,253,acasten,1225,0,0,1,,,1.0,v.
74,acc,1,ac,248,ac,1121,0,1,0,,1.0,,conj.
76,acent,3,,2576,assent,1330,1,0,0,3.0,,,n.
